India Smart City Profile,,,,
City: Kakinada,,,,
State: Andhra Pradesh,,,,
"Category: Port City, Tier 3 and below",,,,
"Kakinada is Andhra Pradesh’s fourth largest city, adjacent to the mouth of major regional river, the Godavari. The city has the state’s second",,,,
"largest port, and the country’s first to be built as a PPP initiative. A similar mechanism is bringing a new shipyard to the city. The city primarily",,,,
exports seafood and fertilizers.,,,,
1. Demographic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Total Population,312538,14610410,"377,106,125",
Total Population of UA (if),443028,,,
Share of ULB population in District Urban population (%),23.79,,,
Population Growth Rate (AEGR) 2001-11,0.53,2.88,2.76,
Area (sq. km)*,57.36,,,
Share of ULB area in district (%)*,0.53,,,
Density of population (person per sq. km)*,5449,,,
Literacy Rate (%),80.62,79.17,84.11,
Schedule Caste (%),8.70,11.60,12.60,
Schedule Tribes (%),0.54,2.31,2.77,
"Youth, 15 - 24 years (%)",20.25,19.95,19.68,
Slum Population (%),35.85,7.57,17.36,
"Working Age Group, 15-59 years (%)",68.13,66.06,65.27,
"Source: Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
2. Economic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Per Capita Income (Rs.) at 2004-05 constant price *,37712,33350,"Rs. 35, 947",a
Urban Poverty Ratio (% of urban population)**,4.64,8.1,13.7,
"Unemployment Rate, 2011-12***",4.94,2.9,3.4,
"Work Participation Rate, 2011-12***",37.07,38.2,35.5,
"Work Status, 2011-12 (%) ***
Self-employed:
Regular/wage salaried employees:
Casual labour:","45.37
43.85
10.78","40.1
40.1
19.8","42.0
43.4
14.6",
"Sectoral Distribution of Workers, 2011-12 (%) ***
Primary
Secondary
Tertiary","9.69
28.06
62.25","8.7
29.8
61.5","7.5
34.2
58.3",
"Workers Classified by Major Occupation, 2011-12(%)",,,,
***,,,,
"Legislators, senior officials and managers",17.78,12.7,15.8,
Professionals,9.95,6.5,8.8,
Technicians and associate professionals,5.60,7.1,6.7,
Clerks,5.85,4.5,5.0,
Service workers and shop and market sales workers,10.31,15.2,14.7,
Skilled agricultural and fishery workers,5.06,4.4,4.6,
Craft and related trades workers,18.47,21.6,19.2,
