India Smart City Profile,,,,
City: Vishakhapatnam,,,,
State: Andhra Pradesh,,,,
"Category: Port City, Tier 2",,,,
"Vishakhapatnam is Andhra Pradesh’s largest city, both by population and economy. It has an international airport, and India’s fifth busiest sea port.",,,,
"It is also a popular tourist destination. The city is an industrial hub, with a host of SEZs, and is one of the world’s fastest growing - population-wise -",,,,
city.,,,,
1. Demographic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Total Population,1728128,14610410,"377,106,125",
Total Population of UA (if),,,,
Share of ULB population in District Urban population (%),84.88,,,
Population Growth Rate (AEGR) 2001-11,5.64,2.88,2.76,
Area (sq. km)*,513.61,,,
Share of ULB area in district (%)*,4.60,,,
Density of population (person per sq. km)*,3365,,,
Literacy Rate (%),81.79,79.17,84.11,
Schedule Caste (%),8.49,11.60,12.60,
Schedule Tribes (%),1.21,2.31,2.77,
"Youth, 15 - 24 years (%)",18.62,19.95,19.68,
Slum Population (%),44.61,7.57,17.36,
"Working Age Group, 15-59 years (%)",67.71,66.06,65.27,
"Source: Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
2. Economic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Per Capita Income (Rs.) at 2004-05 constant price *,50580,33350,"Rs. 35, 947",a
Urban Poverty Ratio (% of urban population)**,6.35,8.1,13.7,
"Unemployment Rate, 2011-12***",3.95,2.9,3.4,
"Work Participation Rate, 2011-12***",36.78,38.2,35.5,
"Work Status, 2011-12 (%) ***
Self-employed:
Regular/wage salaried employees:
Casual labour:","25.77
55.42
18.82","40.1
40.1
19.8","42.0
43.4
14.6",
"Sectoral Distribution of Workers, 2011-12 (%) ***
Primary
Secondary
Tertiary","1.76
33.06
65.18","8.7
29.8
61.5","7.5
34.2
58.3",
"Workers Classified by Major Occupation, 2011-12(%)",,,,
***,,,,
"Legislators, senior officials and managers",11.07,12.7,15.8,
Professionals,6.86,6.5,8.8,
Technicians and associate professionals,9.72,7.1,6.7,
Clerks,4.48,4.5,5.0,
Service workers and shop and market sales workers,17.01,15.2,14.7,
Skilled agricultural and fishery workers,1.70,4.4,4.6,
Craft and related trades workers,24.12,21.6,19.2,
Plant and machine operators and assemblers,10.50,9.8,9.2,
Elementary occupations,14.54,18.5,16.1,
Workers not classified by occupation,0,0,0.1,
Primary Commodity Manufactured#,"Steel
Ships
Petroleum Products",,,
Major Industries##,Ship Building,,,
1,,,,

India Smart City Profile,,,,
,"Alloy Wheels
Food Processing
Chemicals",,,
No. of sanctioned SEZ,11,35,413,
"Note: 3 years average of 2007-08, 2008-09 and 2009-10",,,,
Source: * Directorate of Economics and Statistics of respective State Governments and for all India- Central Statistics Office,,,,
"**Unit Level Data of National Sample Survey Organization, Household Consumer Expenditure in India, 68th Round, 2011-12",,,,
"***Unit Level Data of National Sample Survey Organization, Employment and Unemployment Situation in India, 68th Round, 2011-12",,,,
"#District Census Handbook, Census of India, 2011",,,,
"##District Industrial Profile, Micro, Small and Medium Enterprises, Government of India",,,,
"∞ Department of Commerce, Ministry of Commerce and Industry",,,,
3. Infrastructure Status,,,,
Indicator,,City (Denomination),State (Urban),India (Urban)
"% of households with access to tap water
treated source) within Premises",(from,71.18,71.52,84.14
% of households with access to electricity,,96.86,97.29,92.68
"% of households having toilet facilities within
premises",,83.58,79.44,72.57
"% of household Waste water outlet connected to
drainage",,92.29,85.38,81.77
Type of sewerage system*,,"Underground sewerage
system",,
Type of solid Waste system*,,Door to Door,,
"% of households with access to computer/laptop
with internet
without internet",,"8.93
11.39","4.25
7.81","8.27
10.40"
% of households with access to mobile phones,,66.90,62.68,64.33
"Ownership Pattern of Housing (%)
Owned
Rented",,"50.69
47.31","53.15
45.05","69.16
27.55"
% of households living in congested houses,,32.54,36.34,32.94
Indicator,,City (Denomination),,
"No. of Hospitals per 1,00,000 people *",,3,,
"No of Schools per 1,00,000 people",,,,
Primary,,8,,
Middle,,7,,
Secondary,,12,,
College,,2,,
"Source: Tables of Houses, Household Amenities and Assets, Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
4. Political Profile: Leadership and Administrative Structure,,,,
Architecture of Governance,"Visakhapatnam, popularly known as Vizag is a multi-faceted city located in south",,,
Structure of Elected and Executive Bodies. Give,east India. It has a civic body as Greater Visakhapatnam Municipal Corporation,,,
indication of hierarchies,(GVMC) consisting of 72 municipal wards. GVMC functions with Commissioner,,,
,as Head and organized under different subheads.,,,
,The areas of the erstwhile Visakhapatnam Municipal Corporation along with the,,,
,Gajuwaka Municipality and 32 villages (includes few Panchayats) are now,,,
,governed under Greater Visakhapatnam Municipal Corporation (GVMC).,,,
,Greater Visakhapatnam Municipal Corporation is serving drinking water to 20.35,,,
,lakhs population of the city and also serving industrial water needs through SPV,,,
,VISWCO (Special Purpose Vehicle Visakhapatnam Industrial Water Supply,,,
,Company). GVMC has taken up seven water supply projects under JNNURM,,,
,scheme and completed four projects to provide drinking water infrastructure in,,,
,"Merged Panchayats, Gajuwaka area and for refurbishment of the existing water",,,
,supply systems in central and old city of Visakhapatnam. Several ongoing and,,,
,"proposed and projects are Yeleru Canal Project, Raiwada Canal (pipe line),",,,
,Anakapalle Water Supply Improvements and De-Salination Plant.,,,
,The Corporation does scientific disposal of existing waste in a designated landfill,,,
2,,,,

India Smart City Profile,,
,"site involving private operators. It does on-site segregation of waste and 100%
door-to-door collection of garbage. Zone –wise waste transfer station, 8 Urban
Infrastructure and Governance (UIG) projects under JNNURM on water supply,
sewerage and urban transport are completed. A Smart Traffic Signals and
Surveillance System at 94 junctions on BOOT are in progress.
GVMC is also a part of planning body of Visakhapatnam Urban Development
Authority (VUDA). VUDA prepares Master Plans and Zonal Development plans
for development of the city.
Andhra Pradesh Eastern Power Distribution Co.Ltd. (APEPDCL), a state level
body distributes electricity to Greater Visakhapatnam.
The Andhra Pradesh Housing Board (APHB), formed by merging the erstwhile
City Improvement Board and erstwhile Town Improvement Trust of Twin Cities is
engaged in construction of houses under integrated/composite housing
schemes, construction of shops, commercial complexes and multi-storied
buildings in GCMC.
Andhra Pradesh Pollution Control Board (APPCB), a statutory authority entrusted
to implement environmental laws and rules within the jurisdiction of the State of
Andhra Pradesh. The Board functions through its Head Office at Hyderabad and
one of its zonal office is located at Visakhapatnam.",
No of elected representatives,NA,
Election Details*,Mr. Chandra Babu Naidu from Telugu Desam party is the Chief Minister of,
"Election cycle, last election,",Andhra Pradesh. He was elected on 8/6/2014. The Commissioner is Mr. Pravin,
"Name, party affiliation where relevant, date office taken",Kumar.,
"for: chief minister, commissioner, and mayor.",,
Source:*Respective ULB website and Media Search,,
5. Performance of Urban Local Body (ULB),,
Credit and Tax,,
Credit Rating of ULBs (As on Nov 2012)*,A,
Property Tax #,Coverage (%):Above 85 %,
,Collection Efficiency (%): Above 90 %,
,Amount(Rs.):,
Source: *www.jnnurm.nic.in,,
"#Reform Appraisal Report, JNNURM, Ministry of Urban Development, Government of India",,
E-governance& Computerization in ULB,,
Reform,,"Status (implemented, in progress and any comment)"
Property Tax*,,Implemented
Accounting*,,Implemented
Water Supply & Other Utilities*,,Implemented
Birth & Death Registration and Health programmes*,,Implemented
Citizens' Grievance Monitoring*,,Implemented
Personnel Management System*,,Implemented
Building Plan Approval*,,Implemented
e-Procurement*,,Implemented
"Can Citizens pay their bills and Taxes at citizen
facilitation centre (CFC)?#",,Only on CFC
Does ULB has facility to Accept Online Payments#,,Yes
What is the E-mail Software being used in the ULB#,,NIC
"Are ULB offices connected with each other through local
area network (LAN)/ wide area network (WAN)#",,Yes
Do you have access to State Data Centre (SDC)?,#,No
Does the ULB have their own website#,,Yes
Implementation of 74th CAA#,,All the 18 functions has been transferred to GVMC
Note :* Modules of e-governance implemented in ULB,,
"Source: * Reform Appraisal Report, JNNURM, Ministry of Urban Development, Government of India and respective ULB's website",,
"#Information and Services Need Assessment (ISNA) Study for Urban Local Bodies, Ministry of Urban Development, Government of India, 2012",,
Recognition,,
List any national or international recognition such as,•,Member of ICLEI
3,,

India Smart City Profile,,,,
"awards, pilots, horizontal networks.",•,Smart Cities Council India’s Top 20 Promising Cities,,
,•,Nagar Ratna 2011 (Use of IT in Governance),,
6. Financial & Health,,,,
Financial,,,,
Indicator,City (Denomination),State (Urban),India (Urban),
% of households with access to banking facilities *,64.01,57.21,67.77,
Financial Status#,,,,
"Details of municipal income and expenditure
(Rs. Lakhs)",Income,Expenditure,,
2009-10,NA,NA,,
2010-11,NA,NA,,
2011-12,131899.27+,129990.00+,,
% of municipal Budget reserved for urban poor@,25%,,,
"Source: * Tables of Houses, Household Amenities and Assets, Census of India, 2011",,,,
"#Information and Services Need Assessment (ISNA) Study for Urban Local Bodies, Ministry of Urban Development, Government of India, 2012",,,,
"@Reform Appraisal Report, JNNURM, Ministry of Urban Development, Government of India",,,,
+Figures are for the financial year 2014-15,,,,
Environmental,,,,
Swatch Bharat ranking *,205,,,
Comprehensive Environmental Assessment for available,70.82,,,
cities#,,,,
"Source: *Press Information Bureau , Ministry of Urban Development, Government of India, 2015",,,,
#,,,,
"Central Pollution Control Board, Ministry of Environment and Forests, Government of India, 2009",,,,
7. Capacity: Track Record & Initiatives,,,,
JNNURM Projects,Status or Comment,,,
BSUP/IHSDP,"Under BSUP scheme, total 12 projects (5 of infrastructure and 7 of housing) were",,,
,sanctioned under BSUP of which 5 projects are complete. The total project cost,,,
,was Rs. 764.22 crores. The share of housing project is 70% (Rs. 538.11 crores),,,
,and share of infrastructure project is 30% (Rs. 226.11 crores). All the 5 projects of,,,
,infrastructure are completed whereas the projects on housing are under,,,
,progress. Construction of 95% of the dwelling unit is complete.,,,
UIG/UIDSSMT,"UIG: Total 14 projects were approved. 8 projects have been completed and 6
projects are under progress.",,,
Total Approved Cost of projects (Rs.Lakhs),154677.48,,,
Sectorwise details of projects,Sector,No of Projects,"Total Cost (Rs
Lakhs)","Share of sector in total
projects approved"
,Water,10,74128.48,47.9
,Drainage/SWD,1,7227,4.7
,Sewerage,2,28152,18.2
,Transport,1,45170,29.2
Share of Central Assistance released (%),86.62,,,
% of work completed (Physical Progress),69,,,
Funds Utilised (%),79.5,,,
"Source: www.jnnurm.nic.in (accessed on November, 2015)",,,,
Alignment with MoUD Schemes,"Status, Comment",,,
"Heritage City Development and Augmentation Yojana
(HRIDAY)",,,,
AMRUT,"City is covered under AMRUT Mission. The State Annual Action Plan has been
submitted.",,,
JNNURM,City was covered under UIG component of JNNURM,,,
NUIS,,,,
"North Eastern Region Urban Development Programme
(NERUDP)",,,,
"Source: Ministry of Urban Development, Government of India",,,,
4,,,,
