India Smart City Profile,,,,
City: Belgaum,,,,
State: Karnataka,,,,
"Category: Business & Industrial Centre, Tier 2",,,,
"The city of Belgaum is located at the northern tip of Karnataka, and borders the adjoining states of Maharashtra and Goa. There is a proposal to",,,,
"make Belgaum the second capital of Karnataka, owing to its commercial and industrial importance within the state. Belgaum ranks second to",,,,
"Bangalore in terms of overall exports in Karnataka, which can largely be attributed to the region’s flourishing automotive industry. Belgaum is also",,,,
recognized for its enormous contribution to sugarcane cultivation and production of sugar. The region is blessed with high contents of bauxite and,,,,
"uranium, which has led to the establishment of many automotive and metal casting industries close to the city. A special economic zone (SEZ)",,,,
"dedicated to aerospace engineering is soon being set up in Belgaum, as the city also serves as a major training centre and cantonment base for",,,,
the Indian Armed Forces.,,,,
1. Demographic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Total Population,488157,23625962,"377,106,125",
Total Population of UA (if),610350,,,
Share of ULB population in District Urban population (%),40.30,,,
Population Growth Rate (AEGR) 2001-11,2,2.74,2.76,
Area (sq. km)*,99.61,,,
Share of ULB area in district (%)*#,.74,,,
Density of population (person per sq. km)*,4900.68266,,,
Literacy Rate (%),89.82,85.78,84.11,
Schedule Caste (%),7.83,12.61,12.60,
Schedule Tribes (%),3.25,3.47,2.77,
"Youth, 15 - 24 years (%)",18.46,19.78,19.68,
Slum Population (%),10.76,1.60,17.36,
"Working Age Group, 15-59 years (%)",66.10,67.04,65.27,
"Source: Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
#The ULB is spread in more than one district,,,,
2. Economic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Per Capita Income (Rs.) at 2004-05 constant price *,28856,43266,"Rs. 35, 947",a
Urban Poverty Ratio (% of urban population)**,32.33,15.3,13.7,
"Unemployment Rate, 2011-12***",6.50,2.9,3.4,
"Work Participation Rate, 2011-12***",35.37,37.6,35.5,
"Work Status, 2011-12 (%) ***
Self-employed:
Regular/wage salaried employees:
Casual labour:","48.31
33.96
17.73","39.2
44.9
15.9","42.0
43.4
14.6",
"Sectoral Distribution of Workers, 2011-12 (%) ***
Primary
Secondary
Tertiary","26.01
24.39
49.60","8.1
28.9
63.0","7.5
34.2
58.3",
