India Smart City Profile,,,,
City: Davanagere,,,,
State: Karnataka,,,,
"Category: Business & Industrial Centre, Tier 3 and below",,,,
"Davangere, a city in central Karnataka, was accorded the status of city Municipal Corporation as recent as January 2007. Davangere is currently",,,,
"the only city corporation within its district (also called Davangere), which was recognized to be one of India’s 250 most backward districts (in terms",,,,
of poverty) by the Ministry of Panchayati Raj in 2006. Davangere is one of five districts in Karnataka to receive funds from the Backward Regions,,,,
"Grant Fund Program (BRGF). The city’s most notable industries include textile and agro-processing. Lately, Davangere has been promoting itself",,,,
"as a centre for higher education, and as part of this agenda, there are on-going efforts to set up a branch of the Indian Institute of Technology (IIT)",,,,
in the region.,,,,
1. Demographic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Total Population,434971,23625962,"377,106,125",
Total Population of UA (if),,,,
Share of ULB population in District Urban population (%),69.15,,,
Population Growth Rate (AEGR) 2001-11,1.77,2.74,2.76,
Area (sq. km)*,77.12,,,
Share of ULB area in district (%)*#,1.30,,,
Density of population (person per sq. km)*,5640,,,
Literacy Rate (%),84.90,85.78,84.11,
Schedule Caste (%),12.44,12.61,12.60,
Schedule Tribes (%),6.17,3.47,2.77,
"Youth, 15 - 24 years (%)",20.61,19.78,19.68,
Slum Population (%),13.79,1.60,17.36,
"Working Age Group, 15-59 years (%)",66.68,67.04,65.27,
"Source: Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
#The ULB is spread in more than one district,,,,
2. Economic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Per Capita Income (Rs.) at 2004-05 constant price *,30219,43266,"Rs. 35, 947",a
Urban Poverty Ratio (% of urban population)**,23.76,15.3,13.7,
"Unemployment Rate, 2011-12***",3.64,2.9,3.4,
"Work Participation Rate, 2011-12***",31.68,37.6,35.5,
"Work Status, 2011-12 (%) ***
Self-employed:
Regular/wage salaried employees:
Casual labour:","47.49
40.26
12.25","39.2
44.9
15.9","42.0
43.4
14.6",
"Sectoral Distribution of Workers, 2011-12 (%) ***
Primary
Secondary
Tertiary","15.38
21.68
62.94","8.1
28.9
63.0","7.5
34.2
58.3",
"Workers Classified by Major Occupation, 2011-12(%)",,,,
***,,,,
"Legislators, senior officials and managers",28.38,28.5,15.8,
Professionals,7.86,12.1,8.8,
Technicians and associate professionals,2.51,6.5,6.7,
Clerks,4.40,5.6,5.0,
Service workers and shop and market sales workers,15.09,8.0,14.7,
Skilled agricultural and fishery workers,13.77,5.1,4.6,
Craft and related trades workers,12.80,16.0,19.2,
Plant and machine operators and assemblers,4.03,6.6,9.2,
Elementary occupations,11.14,11.7,16.1,
Workers not classified by occupation,0,0,0.1,
1,,,,

India Smart City Profile,,,,
Primary Commodity Manufactured#,Clothes,,,
Major Industries##,"Steel wires, Sugar,",,,
,Cotton Yarn,,,
No. of sanctioned SEZ,0,60,413,
"Note: 3 year average of 2009-10, 2010-11 and 2011-12",,,,
Source: * Directorate of Economics and Statistics of respective State Governments and for all India- Central Statistics Office,,,,
"**Unit Level Data of National Sample Survey Organization, Household Consumer Expenditure in India, 68th Round, 2011-12",,,,
"***Unit Level Data of National Sample Survey Organization, Employment and Unemployment Situation in India, 68th Round, 2011-12",,,,
"#District Census Handbook, Census of India, 2011",,,,
"##District Industrial Profile, Micro, Small and Medium Enterprises, Government of India",,,,
"∞ Department of Commerce, Ministry of Commerce and Industry",,,,
3. Infrastructure Status,,,,
Indicator,,"City (Municipal
Corporation)",State (Urban),India (Urban)
"% of households with access to tap water
treated source) within Premises",(from,82.45,68.39,84.14
% of households with access to electricity,,97.10,96.42,92.68
"% of households having toilet facilities within
premises",,82.34,71.57,72.57
"% of household Waste water outlet connected to
drainage",,94.85,87.60,81.77
Type of sewerage system*,,"Underground sewerage
system",,
Type of solid Waste system*,,Door to Door,,
"% of households with access to computer/laptop
with internet
without internet",,"5.10
12.95","10.96
12.63","8.27
10.40"
% of households with access to mobile phones,,65.01,64.79,64.33
"Ownership Pattern of Housing (%)
Owned
Rented",,"51.87
44.92","51.05
46.05","69.16
27.55"
% of households living in congested houses,,33.54,35.10,32.94
Indicator,,City (Municipal Corporation),,
