India Smart City Profile,,,,
City: Kochi,,,,
State: Kerala,,,,
"Category: Port City, Tier 2",,,,
Kochi is a coastal city that lies within the district of Emakulam and is located in the state of Kerala. The city is set over 36.6 square miles and had a,,,,
"population of 602,046 residents in 2011. It is the largest urban agglomeration in the state of Kerala, but the city itself is second largest and for this",,,,
reason is classified as a Tier II city by the Government of India. The city has a long history as a scenic city (it is known as the Queen of the Arabian,,,,
"Sea) and as a trading port and was the spice trading centre of the world in the 14th century. To this day, the city is an important tourist site which",,,,
"attracts the most domestic and international tourists in Kerala, while also being a significant economic and trading hub within the state. The city is",,,,
"home to the only stock exchange in Kerala, and has also witnessed considerable investment for industrial growth. Its port is operates as an",,,,
"international container transhipment terminal, houses oil refineries, and supports commercial maritime businesses. The city is also home to the",,,,
Southern Naval Command of the Indian Navy.,,,,
1. Demographic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Total Population,602046,15934926,"377,106,125",
Total Population of UA (if),2119724,,,
Share of ULB population in District Urban population (%),26.94,,,
Population Growth Rate (AEGR) 2001-11,0.11,6.56,2.76,
Area (sq. km)*,107.13,,,
Share of ULB area in district (%)*#,0.21,,,
Density of population (person per sq. km)*,5620,,,
Literacy Rate (%),97.36,95.11,84.11,
Schedule Caste (%),3.33,7.66,12.60,
Schedule Tribes (%),0.37,0.32,2.77,
"Youth, 15 - 24 years (%)",14.52,15.84,19.68,
Slum Population (%),0.86,2.57,17.36,
"Working Age Group, 15-59 years (%)",66.04,64.17,65.27,
"Source: Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
#The ULB is spread in more than one district,,,,
2. Economic Profile,,,,
Indicator,City (Municipal Corporation),"State
(Urban)",India (Urban),
Per Capita Income (Rs.) at 2004-05 constant price *,63599,42881,"Rs. 35, 947",a
Urban Poverty Ratio (% of urban population)**,4.05,5.0,13.7,
"Unemployment Rate, 2011-12***",4.45,6.1,3.4,
"Work Participation Rate, 2011-12***",41.70,36.3,35.5,
"Work Status, 2011-12 (%) ***",,,,
Self-employed:,31.86,36.3,42.0,
Regular/wage salaried employees:,,35.7,43.4,
Casual labour:,44.90,28.0,14.6,
,23.24,,,
"Sectoral Distribution of Workers, 2011-12 (%) ***
Primary
Secondary
Tertiary","5.10
31.28
63.62","9
31.2
59.8","7.5
34.2
58.3",
"Workers Classified by Major Occupation, 2011-12(%)",,,,
***,,,,
"Legislators, senior officials and managers",15.92,14.2,15.8,
Professionals,12.40,8.9,8.8,
Technicians and associate professionals,9.41,8.1,6.7,
Clerks,8.97,4.8,5.0,
Service workers and shop and market sales workers,14.06,17.2,14.7,
Skilled agricultural and fishery workers,3.22,6.2,4.6,
Craft and related trades workers,14.31,18.8,19.2,
Plant and machine operators and assemblers,7.06,6.5,9.2,
1,,,,

India Smart City Profile,,,,
Elementary occupations,14.65,,15.3,16.1
Workers not classified by occupation,0,,0.0,0.1
Primary Commodity Manufactured#,Aluminium,,,
,Paper bag,,,
,Medicine,,,
Major Industries##,"Metallic – Machinery,Machine tools &",,,
,its parts,,,
,Ship Building,,,
,Non Metallic – Sea Foods,,,
,Software Solutions,,,
No. of sanctioned SEZ,14,,33,413
"Note: 3 years average of 2007-08, 2008-09, 2009-10",,,,
Source: * Directorate of Economics and Statistics of respective State Governments and for all India- Central Statistics Office,,,,
"**Unit Level Data of National Sample Survey Organization, Household Consumer Expenditure in India, 68th Round, 2011-12",,,,
"***Unit Level Data of National Sample Survey Organization, Employment and Unemployment Situation in India, 68th Round, 2011-12",,,,
"#District Census Handbook, Census of India, 2011",,,,
"##District Industrial Profile, Micro, Small and Medium Enterprises, Government of India",,,,
"∞ Department of Commerce, Ministry of Commerce and Industry",,,,
3. Infrastructure Status,,,,
Indicator,,"City (Municipal
Corporation)",State (Urban),India (Urban)
"% of households with access to tap water
treated source) within Premises",(from,95.55,30.35,84.14
% of households with access to electricity,,99.08,97.01,92.68
"% of households having toilet facilities within
premises",,94.62,75.29,72.57
"% of household Waste water outlet connected to
drainage",,87.41,54.55,81.77
Type of sewerage system*,,"Underground sewerage
system",,
Type of solid Waste system*,,Door to Door,,
"% of households with access to computer/laptop
with internet
without internet",,"20.87
14.86","8.90
11.46","8.27
10.40"
% of households with access to mobile phones,,54.12,47.45,64.33
"Ownership Pattern of Housing (%)
Owned
Rented",,"75.48
21.72","88.30
10.00","69.16
27.55"
% of households living in congested houses,,6.05,6.23,32.94
Indicator,,City (Municipal Corporation),,
"No. of Hospitals per 1,00,000 people *",,0.00,,
"No of Schools per 1,00,000 people",,NA,,
Primary,,NA,,
Middle,,NA,,
Secondary,,NA,,
College,,NA,,
"Source: Tables of Houses, Household Amenities and Assets, Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
4. Political Profile: Leadership and Administrative Structure,,,,
Architecture of Governance,Numerous institutions are involved in the governance of Kochi city and the,,,
Structure of Elected and Executive Bodies. Give,surrounding peri-urban areas. Some of them were established through Acts of,,,
indication of hierarchies,legislature and others are part of state government’s framework. The Kochi,,,
,municipal corporation (KMC) elected wing is headed by a Mayor. The city is,,,
,"divided into administrative wards, from which the members of the corporation",,,
,council are elected for a period of five years. The commissioner is the head of,,,
,the administrative wing. The functions of KMC includes major civic services,,,
,"including roads, street lighting, SWM, slum improvement.",,,
,"Kerala Water Authority (KWA) is responsible for the design, construction,",,,
2,,,,

India Smart City Profile,
,"execution, operation and maintenance of most of the water supply schemes and"
,also for the collection and disposal of the waste water in the State of Kerala. KWA
,is also tasked with establishing globally accepted Standards in water supply and
,sewage.
,"The Public works department is responsible for design, implementation and"
,maintenance of civil structures owned by the government viz; government
,"buildings, government owned hospitals (part of the public health system), roads,"
,bridges etc.
,The Greater Cochin Development Authority is the planning and development
,"Authority of the Metropolitan area of Cochin, which is the urban hinterland of"
,"Cochin Port. The jurisdictional area of GCDA comprises of the Cochin City, the"
,"commercial capital of Kerala, 6 surrounding municipalities and 25 intervening"
,panchayats covering an area of 632 sq.km. The major functions of GCDA are
,orderly and planned development of the Greater Cochin Region; coordinating
,with the various developmental agencies operating in Cochin region; preparing
,and implementing the perspective plan / master plan / detailed town planning
,schemes/ projects etc; fixing priorities of development and choosing sectors for
,immediate improvement; taking up model schemes in different sectors of
,development such as residential development including construction of houses
,"road improvement / new roads formation including construction of bridges,"
,flyovers etc.
,Goshree Islands Development Authority (GIDA) is one of the two government
,"agencies for the development of Kochi City Region, Kerala along with GCDA"
,which serves entire Cochin Corporation and surrounding municipalities around
,"the region. GIDA's main purpose, as the name suggests to develop the"
,infrastructure facilities of scattered islands in and around the Kochi city.
,74
No of elected representatives,
,Mr. Oommen Chandy from Indian National Congress is the Chief
,Minister of Kerala . He was elected on 18-May 2011. The Corporation
,Secretary is Mr. V. R. Raju. The council is headed by Mayor Mrs.
"Election Details*Election cycle, last election,","Soumini Jain of INC, elected on Nov 2015.The municipal elections were"
"Name, party affiliation where relevant, date office taken",held in the year 2015.
"for: chief minister, commissioner, and mayor.",
Source:*Respective ULB website and Media Search,
5. Performance of Urban Local Body (ULB),
Credit and Tax,
Credit Rating of ULBs (As on Nov 2012)*,BBB-
Property Tax #,Coverage (%): 90
,Collection Efficiency (%): 86
,Amount(Rs.): Rs. 56.50 crore (2013-14)
"Source: # Reform Appraisal Report, JNNURM, Ministry of Urban Development, Government of India",
E-governance& Computerization in ULB,
Reform,"Status (implemented, in progress and any comment)"
Property Tax*,Implemented
Accounting*,Implemented
Water Supply & Other Utilities*,Implemented
Birth & Death Registration and Health programmes*,Implemented
Citizens' Grievance Monitoring*,Implemented
Personnel Management System*,Implemented
Building Plan Approval*,Implemented
e-Procurement*,Implemented
"Can Citizens pay their bills and Taxes at citizen
facilitation centre (CFC)?#",Only on CFC
Does ULB has facility to Accept Online Payments#,No
What is the E-mail Software being used in the ULB#,NIC
3,

India Smart City Profile,,,,
"Are ULB offices connected with each other through local
area network (LAN)/ wide area network (WAN)#",,Yes,,
Do you have access to State Data Centre (SDC)?,#,No,,
Does the ULB have their own website#,,Yes,,
Implementation of 74th CAA#,,"3 functions are yet to be transferred. They are fire services; urban forestry,
protection of environment and ecology; Water supply- domestic, industrial and
commercial.",,
Note :* Modules of e-governance implemented in ULB,,,,
Source :http://www.corporationofcochin.net/,,,,
"* Reform Appraisal Report, JNNURM, Ministry of Urban Development, Government of India and respective ULB's website",,,,
"#Information and Services Need Assessment (ISNA) Study for Urban Local Bodies, Ministry of Urban Development, Government of India, 2012",,,,
Recognition,,,,
List any national or international recognition such as,•,ACCCRN project,,
"awards, pilots, horizontal networks.",,,,
6. Finance & Health,,,,
Financial,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
% of households with access to banking facilities *,82.74,74.68,67.77,
Financial Status#,,,,
"Details of municipal income and expenditure
(Rs. Lakhs)",Income,Expenditure,,
2009-10,1651.70,1434.50,,
2010-11,1235.40,965.80,,
2011-12,1093.40,809.30,,
% of municipal Budget reserved for urban poor@,25,,,
"Source: * Tables of Houses, Household Amenities and Assets, Census of India, 2011",,,,
"#Information and Services Need Assessment (ISNA) Study for Urban Local Bodies, Ministry of Urban Development, Government of India, 2012",,,,
@,"Reform Appraisal Report, JNNURM, Ministry of Urban Development, Government of India",,,
Environmental,,,,
Swatch Bharat ranking *,,,,
Comprehensive Environmental Assessment for available,,75.08,,
cities#,,,,
"Source: *Press Information Bureau , Ministry of Urban Development, Government of India, 2015",,,,
"#Central Pollution Control Board, Ministry of Environment and Forests, Government of India, 2009",,,,
7. Capacity: Track Record & Initiatives,,,,
JNNURM Projects,Status or Comment,,,
BSUP/IHSDP,"Under BSUP scheme, total 3 projects of housing were sanctioned under BSUP of which
none of the projects have been completed. The total project cost was Rs 124.04 crores.
Construction of 83% of the dwelling unit is complete.",,,
UIG/UIDSSMT,"UIG: Total 6 projects were approved initially and 1 heritage project got canceled. Total 5
projects are under progress.",,,
Total Approved Cost of projects (Rs.Lakhs),48712.00,,,
Sectorwise details of projects,Sector,No of Projects,"Total Cost (Rs
Lakhs)","Share of sector in total
projects approved"
,Water,1,20117,41.3
,Drainage/SWD,1,978,2.0
,Sewarage,1,7841,16.1
,SWM,1,8812,18.1
,Transport,1,10964,22.5
Share of Central Assistance released (%),48.57,,,
% of work completed (Physical Progress),49,,,
4,,,,

India Smart City Profile,
Funds Utilised (%),48.91
"Source: www.jnnurm.nic.in (accessed on November, 2015)",
Alignment with MoUD Schemes,"Status, Comment"
Heritage City Development and Augmentation Yojana,
(HRIDAY),
AMRUT,City is covered under AMRUT Mission. The State Annual Action Plan has
,been submitted.
JNNURM,City was covered under UIG component of JNNURM
NUIS,
North Eastern Region Urban Development Programme,
(NERUDP),
"Source: Ministry of Urban Development, Government of India",
5,
