India Smart City Profile,,,,
City: Jabalpur,,,,
State: Madhya Pradesh,,,,
"Category: Business & Industrial Centre, Tier 2",,,,
"Located in the east of the state and on the banks of major river Narmada, Jabalpur is known for its educational institutions and defence-related",,,,
"manufacturing industries. It has a national airport, which serves nearby popular nature sanctuaries and is located on the North-South NH-7, the",,,,
longest highway in India.,,,,
1. Demographic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Total Population,1055525,"20,069,405","377,106,125",
Total Population of UA (if),1268848,,,
Share of ULB population in District Urban population (%),73.30,,,
Population Growth Rate (AEGR) 2001-11,1.24,2.29,2.76,
Area (sq. km)*,152.53,,,
Share of ULB area in district (%)*#,2.93,,,
Density of population (person per sq. km)*,6920,,,
Literacy Rate (%),87.39,82.85,84.11,
Schedule Caste (%),14.33,15.32,12.60,
Schedule Tribes (%),4.08,5.18,2.77,
"Youth, 15 - 24 years (%)",20.20,20.61,19.68,
Slum Population (%),45.82,8.43,17.36,
"Working Age Group, 15-59 years (%)",66.73,63.80,65.27,
"Source: Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
#The ULB is spread in more than one district,,,,
2. Economic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Per Capita Income (Rs.) at 2004-05 constant price *,Rs. 38968,Rs. 23539,"Rs. 35, 947",a
Urban Poverty Ratio (% of urban population)**,16.93,21.0,13.7,
"Unemployment Rate, 2011-12***",0.00,2.6,3.4,
"Work Participation Rate, 2011-12***",32.72,32.5,35.5,
"Work Status, 2011-12 (%) ***",,,,
Self-employed:,,,42.0,
Regular/wage salaried employees:,39.72,48.2,43.4,
Casual labour:,48.87,34.8,14.6,
,11.41,17.0,,
"Sectoral Distribution of Workers, 2011-12 (%) ***",,,,
Primary,,,7.5,
Secondary,1.12,11.9,34.2,
Tertiary,25.13,28.6,58.3,
,73.75,59.5,,
"Workers Classified by Major Occupation, 2011-12(%)",,,,
***,,,,
"Legislators, senior officials and managers",17.30,20.8,15.8,
Professionals,3.16,6.0,8.8,
Technicians and associate professionals,6.82,7.6,6.7,
Clerks,2.24,5.3,5.0,
1,,,,

India Smart City Profile,,,,
Service workers and shop and market sales workers,,27.50,14.0,14.7
Skilled agricultural and fishery workers,,0.00,7.3,4.6
Craft and related trades workers,,18.39,14.2,19.2
Plant and machine operators and assemblers,,16.03,6.8,9.2
Elementary occupations,,8.54,18.0,16.1
Workers not classified by occupation,,0.00,0.0,0.1
Primary Commodity Manufactured#,,NA,,
Major Industries##,,"Machinery, Machine tools",,
,,and its parts,,
,,Other products of,,
,,"Aluminium and Brass,",,
,,"Copper, Iron and Steel",,
,,"Asbestos, Cement,",,
,,Ceramics and Glass,,
,,Photography Chemical,,
No. of sanctioned SEZ,,3,14,413
"Note: 3 years average of 2010-11, 2011-12, 2012-13",,,,
Source: * Directorate of Economics and Statistics of respective State Governments and for all India- Central Statistics Office,,,,
"**Unit Level Data of National Sample Survey Organization, Household Consumer Expenditure in India, 68th Round, 2011-12",,,,
"***Unit Level Data of National Sample Survey Organization, Employment and Unemployment Situation in India, 68th Round, 2011-12",,,,
"#District Census Handbook, Census of India, 2011",,,,
"##District Industrial Profile, Micro, Small and Medium Enterprises, Government of India",,,,
"∞ Department of Commerce, Ministry of Commerce and Industry",,,,
3. Infrastructure Status,,,,
Indicator,,"City (Municipal
Corporation)",State (Urban),India (Urban)
"% of households with access to tap water
treated source) within Premises",(from,69.81,50.55,84.14
% of households with access to electricity,,95.84,92.73,92.68
"% of households having toilet facilities within
premises",,81.15,71.54,72.57
"% of household Waste water outlet connected to
drainage",,91.11,82.34,81.77
Type of sewerage system*,,"Under ground sewerage
system",,
Type of solid Waste system*,,Door to Door,,
"% of households with access to computer/laptop
with internet
without internet",,"8.23
12.46","4.92
8.89",8.2710.40
% of households with access to mobile phones,,57.36,61.03,64.33
Ownership Pattern of Housing (%),,,,
Owned,,,,69.16
,,75.12,74.45,
,,,,27.55
Rented,,,,
,,21.75,21.11,
% of households living in congested houses,,19.23,24.14,32.94
Indicator,,City (Municipal Corporation),,
"No. of Hospitals per 1,00,000 people *",,0.28,,
"No of Schools per 1,000,000 people",,,,
Primary,,21,,
Middle,,19,,
Secondary,,14,,
College,,4,,
"Source: Tables of Houses, Household Amenities and Assets, Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
2,,,,

India Smart City Profile,
4. Political Profile: Leadership and Administrative Structure,
