India Smart City Profile,,,,
City: Solapur,,,,
State: Maharashtra,,,,
"Category: Business & Industrial Centre, Tier 2",,,,
"Solapur is a tier-two city in the south-east of Maharashtra, and the administrative headquarters of Solapur district. It shares a border with",,,,
"Karnataka and Andhra Pradesh, and has therefore attracted a large migrant population from across southern India. Solapur is recorded to have",,,,
"the highest number of sugar factories in India, and also leads in ‘beedi’ production within the state. The city used to be an important centre for",,,,
cotton textile manufacturing until recently and was the first to set up a waste-to-energy electricity plant in Maharashtra. Solapur is well connected,,,,
by road to other important cities in the country and has a basic airport that mostly remains unused at present.,,,,
1. Demographic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Total Population,"951,558","20,069,405","377,106,125",
Total Population of UA (if),,,,
Share of ULB population in District Urban population (%),68.01,,,
Population Growth Rate (AEGR) 2001-11,0.87,2.29,2.76,
Area (sq. km)*,178.57,,,
Share of ULB area in district (%)*#,1.20,,,
Density of population (person per sq. km)*,5329,,,
Literacy Rate (%),82.80,82.85,84.11,
Schedule Caste (%),14.51,15.32,12.60,
Schedule Tribes (%),1.89,5.18,2.77,
"Youth, 15 - 24 years (%)",20.65,20.61,19.68,
Slum Population (%),18.43,8.43,17.36,
"Working Age Group, 15-59 years (%)",64.47,63.80,65.27,
"Source: Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
#The ULB is spread in more than one district,,,,
2. Economic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Per Capita Income (Rs.) at 2004-05 constant price *,"Rs. 45,859",Rs. 23539,"Rs. 35, 947",a
Urban Poverty Ratio (% of urban population)**,19.29,21.0,13.7,
"Unemployment Rate, 2011-12***",1.65,2.6,3.4,
"Work Participation Rate, 2011-12***",40.53,32.5,35.5,
"Work Status, 2011-12 (%) ***",,,,
,,,42.0,
Self-employed:,45.18,48.2,43.4,
Regular/wage salaried employees:,28.04,34.8,14.6,
Casual labour:,26.78,17.0,,
"Sectoral Distribution of Workers, 2011-12 (%) ***",,,,
,,,7.5,
Primary,21.17,11.9,34.2,
Secondary,27.47,28.6,58.3,
Tertiary,51.36,59.5,,
"Workers Classified by Major Occupation, 2011-12(%)",,,,
***,,,,
"Legislators, senior officials and managers",19.08,20.8,15.8,
Professionals,4.76,6.0,8.8,
Technicians and associate professionals,4.76,7.6,6.7,
Clerks,2.39,5.3,5.0,
1,,,,

India Smart City Profile,,,,
Service workers and shop and market sales workers,,7.78,14.0,14.7
Skilled agricultural and fishery workers,,14.30,7.3,4.6
Craft and related trades workers,,22.93,14.2,19.2
Plant and machine operators and assemblers,,10.66,6.8,9.2
Elementary occupations,,13.34,18.0,16.1
Workers not classified by occupation,,0.00,0.0,0.1
Primary Commodity Manufactured#,,Bedsheet,,
,,Readymade Garment,,
,,Electric Goods,,
Major Industries##,,Electric locomotive,,
,,Textiles,,
,,Sugar mills,,
No. of sanctioned SEZ,,0,14,413
"Note: 3 years average of 2010-11, 2011-12, 2012-13",,,,
Source: * Directorate of Economics and Statistics of respective State Governments and for all India- Central Statistics Office,,,,
"**Unit Level Data of National Sample Survey Organization, Household Consumer Expenditure in India, 68th Round, 2011-12",,,,
"***Unit Level Data of National Sample Survey Organization, Employment and Unemployment Situation in India, 68th Round, 2011-12",,,,
"#District Census Handbook, Census of India, 2011",,,,
"##District Industrial Profile, Micro, Small and Medium Enterprises, Government of India",,,,
"∞ Department of Commerce, Ministry of Commerce and Industry",,,,
3. Infrastructure Status,,,,
Indicator,,"City (Municipal
Corporation)",State (Urban),India (Urban)
"% of households with access to tap water
treated source) within Premises",(from,96.92,50.55,84.14
% of households with access to electricity,,93.64,92.73,92.68
"% of households having toilet facilities within
premises",,58.67,71.54,72.57
"% of household Waste water outlet connected to
drainage",,91.46,82.34,81.77
Type of sewerage system*,,"Under ground sewerage
system",,
Type of solid Waste system*,,Door to Door,,
"% of households with access to computer/laptop
with internet
without internet",,"4.62
9.08","4.92
8.89","8.27
10.40"
% of households with access to mobile phones,,61.04,61.03,64.33
"Ownership Pattern of Housing (%)
OwnedRented",,69.7628.50,74.4521.11,"69.16
27.55"
% of households living in congested houses,,44.85,24.14,32.94
Indicator,,City (Municipal Corporation),,
"No. of Hospitals per 1,00,000 people *",,2,,
"No of Schools per 1,00,000 people",,,,
Primary,,29,,
Middle,,25,,
Secondary,,20,,
College,,15,,
"Source: Tables of Houses, Household Amenities and Assets, Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
4. Political Profile: Leadership and Administrative Structure,,,,
,,,,2

India Smart City Profile,
