India Smart City Profile,,,,
City: Jaipur,,,,
State: Rajasthan,,,,
"Category: Capital, Tier 2",,,,
"Jaipur is the capital of Rajasthan and is known as the ‘Pink City’. Along with New Delhi and Agra which both lie approximately 250 km away, it",,,,
forms the ‘Golden Triangle’ tourist circuit. It also has a growing IT sector and an international airport.,,,,
1. Demographic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Total Population,3046163,17048085,"377,106,125",
Total Population of UA (if),,,,
Share of ULB population in District Urban population (%),87.74,,,
Population Growth Rate (AEGR) 2001-11,2.71,2.55,2.76,
Area (sq. km)*,484.64,,,
Share of ULB area in district (%)*#,4.35,,,
Density of population (person per sq. km)*,6285.413915,,,
Literacy Rate (%),83.33,79.68,84.11,
Schedule Caste (%),12.88,15.75,12.60,
Schedule Tribes (%),3.78,3.2,2.77,
"Youth, 15 - 24 years (%)",20.55,20.89,19.68,
Slum Population (%),10.62,5.35,17.36,
"Working Age Group, 15-59 years (%)",64.56,62.84,65.27,
"Source: Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
#The ULB is spread in more than one district,,,,
2. Economic Profile,,,,
Indicator,City (Municipal Corporation),"State
(Urban)",India (Urban),
Per Capita Income (Rs.) at 2004-05 constant price *,3046163,23194,"Rs. 35, 947",a
Urban Poverty Ratio (% of urban population)**,5.92,10.7,13.7,
"Unemployment Rate, 2011-12***",4.09,3.1,3.4,
"Work Participation Rate, 2011-12***",34.79,32.6,35.5,
"Work Status, 2011-12 (%) ***
Self-employed:
Regular/wage salaried employees:
Casual labour:","41.67
47.23
11.1","45.6
38.7
15.7","42.0
43.4
14.6",
"Sectoral Distribution of Workers, 2011-12 (%) ***
Primary
Secondary
Tertiary","5.9
44.64
49.46","7.8
41.4
50.7","7.5
34.2
58.3",
"Workers Classified by Major Occupation, 2011-12(%)",,,,
***,,,,
"Legislators, senior officials and managers",13.03,8.4,15.8,
Professionals,12.12,10.0,8.8,
Technicians and associate professionals,5.81,6.3,6.7,
Clerks,3.06,3.9,5.0,
Service workers and shop and market sales workers,13.3,17.8,14.7,
Skilled agricultural and fishery workers,6.51,6.2,4.6,
Craft and related trades workers,22.49,19.4,19.2,
Plant and machine operators and assemblers,8.58,7.4,9.2,
Elementary occupations,15.1,20.7,16.1,
Workers not classified by occupation,0,0.0,0.1,
Primary Commodity Manufactured#,"Wooden toys
Diamond cutting
Cloth dyeing painting",,,
Major Industries##,"Metallic – Automobile, bicycle and its
parts, Machinery, Machine Tools and",,,
1,,,,

India Smart City Profile,,,,
,"its parts
Non Metallic – Ready made garments,
gems, jewellery",,,
No. of sanctioned SEZ,8,,12,413
"Note: 3 years average of 2007-08, 2008-09, 2009-10",,,,
Source: * Directorate of Economics and Statistics of respective State Governments and for all India- Central Statistics Office,,,,
"**Unit Level Data of National Sample Survey Organization, Household Consumer Expenditure in India, 68th Round, 2011-12",,,,
"***Unit Level Data of National Sample Survey Organization, Employment and Unemployment Situation in India, 68th Round, 2011-12",,,,
"#District Census Handbook, Census of India, 2011",,,,
"##District Industrial Profile, Micro, Small and Medium Enterprises, Government of India",,,,
"∞ Department of Commerce, Ministry of Commerce and Industry",,,,
3. Infrastructure Status,,,,
Indicator,,"City (Municipal
Corporation)",State (Urban),India (Urban)
"% of households with access to tap water
treated source) within Premises",(from,88.85,75.40,84.14
% of households with access to electricity,,97.82,93.88,92.68
"% of households having toilet facilities within
premises",,89.45,73.67,72.57
"% of household Waste water outlet connected to
drainage",,90.94,86.04,81.77
Type of sewerage system*,,"Under ground sewerage
system",,
Type of solid Waste system*,,Door to Door,,
"% of households with access to computer/laptop
with internet
without internet",,"12.42
13.84","6.09
9.75","8.27
10.40"
% of households with access to mobile phones,,66.12,66.20,64.33
"Ownership Pattern of Housing (%)
Owned
Rented",,"77.87
20.14","80.86
16.93","69.16
27.55"
% of households living in congested houses,,25.39,24.86,32.94
Indicator,,City (Municipal Corporation),,
"No. of Hospitals per 1,00,000 people *",,1,,
"No of Schools per 1,00,000 people",,NA,,
Primary,,59,,
Middle,,57,,
Secondary,,49,,
College,,12,,
"Source: Tables of Houses, Household Amenities and Assets, Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
4. Political Profile: Leadership and Administrative Structure,,,,
Architecture of Governance,"The Jaipur Municipal Corporation consists of two wings i.e., the Deliberative Wing",,,
Structure of Elected and Executive Bodies. Give,and the Executive Wing. The executive wing has an elected council comprising,,,
indication of hierarchies,of a directly elected Mayor and Ward councilors. There are 91 wards and one,,,
,"elected councilor represents each division. The Commissioner, who is also the",,,
,"executive head of the Corporation, heads the administrative wing. Eight zones",,,
,are headed by Assistant Commissioners. Municipal Corporations is responsible,,,
,"for provision of services and basic amenity to the citizens, which include: public",,,
,lighting; sanitation and public hygiene; maintenance of public parks and gardens;,,,
,ensuring systematic urban growth; regulation of building construction; and,,,
,"licensing of commercial activities, etc",,,
,The Public Health and Engineering Department (PHED) is responsible for all,,,
,"aspects relating to urban water supply, right from development to O&M. PHED is",,,
,also responsible for the development of a sewerage system while O&M is the,,,
,responsibility of the respective ULBs. Rajasthan Housing Board is responsible for,,,
,"provision for development of land and houses, new township, land bank etc. The",,,
,Public Works Department is primarily responsible for construction and,,,
2,,,,

India Smart City Profile,,,,
,,"maintenance of roads, state government institutions and state government
housing in the city.
Jaipur Development Authority (JDA) is responsible for Infrastructural
development of Jaipur region by construction of flyovers, bridges, parking places;
development of commercial projects and residential schemes, etc; development
of basic amenities like community centres, parks, ring roads, development and
rehabilitation of kacchi bastis etc; preparation and implementation of master plan;
preparation and implementation of guidelines for colonisation; environmental
development by planning and implementing roadside plantations, development of
transport facilities like Mass Rapid Transport System (MRTS), Transport Nagar,
and major sector roads.",,
,,91,,
No of elected representatives,,,,
Election Details*,,Mrs. Vasundhara Raje from Bharatiya Janata Party is the Chief Minister of,,
"Election cycle, last election,",,Rajasthan. She was elected on 13-Dec 2013. The Commissioner is Mr. H Guite.,,
"Name, party affiliation where relevant, date office taken",,"The council is headed by Mayor Mr. Dharmendra Gahlot of BJP, elected in Aug",,
"for: chief minister, commissioner, and mayor.",,2015. The municipal elections were held in the year Aug-2015.,,
Source:*Respective ULB website and Media Search,,,,
5. Performance of Urban Local Body (ULB),,,,
Credit and Tax,,,,
Credit Rating of ULBs (As on Nov 2012)*,,BBB+,,
Property Tax,#,Coverage (%): 17,,
,,Collection Efficiency (%): NA,,
,,Amount(Rs.):Rs. 26.68 crore (2013-14),,
#,,,,
Source:,"Reform Appraisal Report, JNNURM, Ministry of Urban Development, Government of India",,,
E-governance& Computerization in ULB,,,,
Reform,,"Status (implemented, in progress and any comment)",,
Property Tax*,,Implemented,,
Accounting*,,Implemented,,
Water Supply & Other Utilities*,,Implemented,,
Birth & Death Registration and Health programmes*,,Implemented,,
Citizens' Grievance Monitoring*,,Implemented,,
Personnel Management System*,,Implemented,,
Building Plan Approval*,,Implemented,,
e-Procurement*,,Implemented,,
"Can Citizens pay their bills and Taxes at citizen
facilitation centre (CFC)?#",,Only on CFC,,
Does ULB has facility to Accept Online Payments#,,Yes,,
What is the E-mail Software being used in the ULB#,,NIC,,
"Are ULB offices connected with each other through local
area network (LAN)/ wide area network (WAN)#",,Yes,,
Do you have access to State Data Centre (SDC)?,#,No,,
Does the ULB have their own website#,,Yes,,
Implementation of 74th CAA#,,"2 functions are yet to be transferred. They are water supply, urban forestry,
protection of environment and ecology.",,
Note:* Modules of e-governance implemented in ULB,,,,
Source: http://www.corporationofcochin.net/,,,,
"* Reform Appraisal Report, JNNURM, Ministry of Urban Development, Government of India and respective ULB's website",,,,
"#Information and Services Need Assessment (ISNA) Study for Urban Local Bodies, Ministry of Urban Development, Government of India, 2012",,,,
Recognition,,,,
List any national or international recognition such as,,•,Smart Cities Council India’s Top 20 Promising Cities,
"awards, pilots, horizontal networks.",,•,ADB Municipal Reforms Project,
6. Finance and Health,,,,
Financial,,,,
Indicator,City (Municipal,,State (Urban),India (Urban)
3,,,,

India Smart City Profile,,,,
,Corporation),,,
% of households with access to banking facilities *,73.31,67.42,67.77,
Financial Status#,,,,
"Details of municipal income and expenditure
(Rs. Lakhs)",Income,Expenditure,,
2009-10,39226.60,NA,,
2010-11,36929.36,34223.79,,
2011-12,42441.14,43193.01,,
% of municipal Budget reserved for urban poor@,NA,,,
"Source: * Tables of Houses, Household Amenities and Assets, Census of India, 2011",,,,
"#Information and Services Need Assessment (ISNA) Study for Urban Local Bodies, Ministry of Urban Development, Government of India, 2012",,,,
@,"Reform Appraisal Report, JNNURM, Ministry of Urban Development, Government of India",,,
Environmental,,,,
Swatch Bharat ranking *,370,,,
Comprehensive Environmental Assessment for available,,,,
cities#,66.82,,,
"Source: *Press Information Bureau , Ministry of Urban Development, Government of India, 2015",,,,
#,,,,
"Central Pollution Control Board, Ministry of Environment and Forests, Government of India, 2009",,,,
7. Capacity: Track Record & Initiatives,,,,
JNNURM Projects,Status or Comment,,,
BSUP/IHSDP,"Under BSUP scheme, initially total 3 projects for housing were sanctioned of
which 1 project was cancelled (on 12.09.2011). Both the projects are under
progress. The total project cost was Rs.181.50 crores. Construction of 58% of
the dwelling unit is complete.",,,
UIG/UIDSSMT,"UIG: Total 8 projects were approved, 3 projects have been completed and 5
projects are under progress.",,,
