India Smart City Profile,,,,
City: Udaipur,,,,
State: Rajasthan,,,,
"Category: Cultural & Tourism, Tier 3",,,,
"Udaipur is known as the City of Lakes and is a popular tourism site due to its Rajput palaces, and scenic nature. It is also known for its handicrafts",,,,
"and rich mineral sector. The city lies 415 km from state capital Jaipur, but 250 km from regional hub Ahmedabad.",,,,
1. Demographic Profile,,,,
Indicator,City (Municipal Council),State (Urban),India (Urban),
Total Population,451100,17048085,"377,106,125",
Total Population of UA (if),474531,,,
Share of ULB population in District Urban population (%),74.14,,,
Population Growth Rate (AEGR) 2001-11,1.47,2.55,2.76,
Area (sq. km)*,56.92,,,
Share of ULB area in district (%)*#,0.49,,,
Density of population (person per sq. km)*,7925.158117,,,
Literacy Rate (%),89.66,79.68,84.11,
Schedule Caste (%),10.49,15.75,12.60,
Schedule Tribes (%),5.02,3.2,2.77,
"Youth, 15 - 24 years (%)",19.43,20.89,19.68,
Slum Population (%),14.36,5.35,17.36,
"Working Age Group, 15-59 years (%)",66.93,62.84,65.27,
"Source: Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
#The ULB is spread in more than one district,,,,
2. Economic Profile,,,,
Indicator,City (Municipal Council),State (Urban),India (Urban),
Per Capita Income (Rs.) at 2004-05 constant price *,24135,23194,"Rs. 35, 947",a
Urban Poverty Ratio (% of urban population)**,15.97,10.7,13.7,
"Unemployment Rate, 2011-12***",0.30,3.1,3.4,
"Work Participation Rate, 2011-12***",38.57,32.6,35.5,
"Work Status, 2011-12 (%) ***
Self-employed:
Regular/wage salaried employees:
Casual labour:","45.92
47.04
7.04","45.6
38.7
15.7","42.0
43.4
14.6",
"Sectoral Distribution of Workers, 2011-12 (%) ***
Primary
Secondary
Tertiary","7.60
28.89
63.51","7.8
41.4
50.7","7.5
34.2
58.3",
"Workers Classified by Major Occupation, 2011-12(%)",,,,
***,,,,
"Legislators, senior officials and managers",13.48,8.4,15.8,
Professionals,10.01,10.0,8.8,
Technicians and associate professionals,10.22,6.3,6.7,
Clerks,5.31,3.9,5.0,
Service workers and shop and market sales workers,21.45,17.8,14.7,
Skilled agricultural and fishery workers,1.79,6.2,4.6,
Craft and related trades workers,19.21,19.4,19.2,
Plant and machine operators and assemblers,7.54,7.4,9.2,
Elementary occupations,10.99,20.7,16.1,
Workers not classified by occupation,0,0.0,0.1,
Primary Commodity Manufactured#,"Wooden toys
Marble slab
Bhandej sarees",,,
Major Industries##,"Metallic –
Non Metallic Marble,
Synthetic Yarn",,,
No. of sanctioned SEZ,1,12,413,
1,,,,

India Smart City Profile,,,,
"Note: 3 years average of 2007-08, 2008-09, 2009-10",,,,
Source: * Directorate of Economics and Statistics of respective State Governments and for all India- Central Statistics Office,,,,
"**Unit Level Data of National Sample Survey Organization, Household Consumer Expenditure in India, 68th Round, 2011-12",,,,
"***Unit Level Data of National Sample Survey Organization, Employment and Unemployment Situation in India, 68th Round, 2011-12",,,,
"#District Census Handbook, Census of India, 2011",,,,
"##District Industrial Profile, Micro, Small and Medium Enterprises, Government of India",,,,
"∞ Department of Commerce, Ministry of Commerce and Industry",,,,
3. Infrastructure Status,,,,
Indicator,,City (Municipal Council),State (Urban),India (Urban)
"% of households with access to tap water
treated source) within Premises",(from,80.91,75.40,84.14
% of households with access to electricity,,98.59,93.88,92.68
"% of households having toilet facilities within
premises",,93.26,73.67,72.57
"% of household Waste water outlet connected to
drainage",,97.85,86.04,81.77
Type of sewerage system*,,"Under ground sewerage
system",,
Type of solid Waste system*,,Door to Door,,
"% of households with access to computer/laptop
with internet
without internet",,"12.48
14.60","6.09
9.75","8.27
10.40"
% of households with access to mobile phones,,61.13,66.20,64.33
"Ownership Pattern of Housing (%)
Owned
Rented",,"73.33
23.82","80.86
16.93","69.16
27.55"
% of households living in congested houses,,20.70,24.86,32.94
Indicator,,City (Municipal Council),,
"No. of Hospitals per 1,00,000 people *",,1,,
"No of Schools per 1,00,000 people",,NA,,
Primary,,75,,
Middle,,59,,
Secondary,,56,,
College,,13,,
"Source: Tables of Houses, Household Amenities and Assets, Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
4. Political Profile: Leadership and Administrative Structure,,,,
Architecture of Governance,The urban institutional set-up in Udaipur is fragmented into various departments,,,
Structure of Elected and Executive Bodies. Give,"responsible for provision, operation and maintenance of urban services. The",,,
indication of hierarchies,Udaipur Municipal Council is the main civic body. The city council is been,,,
,converted into municipal corporation in 2013. Udaipur Municipal Corporation has,,,
,"an area of 64 sq km after the city‟s expansion, and is divided into 55 wards. The",,,
,commissioner is the head of the administrative wing. The elected wing consists of,,,
,Councillors elected by the citizens of UMC. A senior Deputy Mayor & Deputy,,,
,Mayor assist the Mayor and are elected from amongst the corporators. The term,,,
,of these three mayors is for a period of five years.,,,
,Urban Improvement Trust (UIT) is responsible for overall development of Udaipur,,,
,town. It is responsible for implementation of development plans and infrastructure,,,
,"in the notified UIT areas, which includes both, rural as well as urban areas. In",,,
,"addition to UMC and UIT, there are a number of Line Departments (such as Town",,,
,"Planning, PHED, PWD, Rajasthan Housing Board, RSRTC, Forest Department,",,,
,"Tourism Department), who are stakeholders in delivery of urban services, and",,,
,infrastructure development.,,,
,The Public Health and Engineering Department (PHED) is responsible for all,,,
,"aspects relating to urban water supply, right from development to O&M. PHED is",,,
,also responsible for the development of a sewerage system while O&M is the,,,
,responsibility of the respective ULBs. Rajasthan Housing Board is responsible for,,,
2,,,,

India Smart City Profile,,,,
,,"provision for development of land and houses, new township, land bank etc. The
Public Works Department is primarily responsible for construction and
maintenance of roads, state government institutions and state government
housing in the city.",,
No of elected representatives,,NA,,
Election Details*,,Mrs. Vasundhara Raje from Bharatiya Janata Party is the Chief Minister of,,
"Election cycle, last election,",,Rajasthan. She was elected on 13-Dec 2013. The Commissioner is Mr. Himmat,,
"Name, party affiliation where relevant, date office taken",,Singh Barhath. The council is headed by Mayor Mr. Chandra Singh Kothari of,,
"for: chief minister, commissioner, and mayor.",,"BJP, elected in Nov 2014. The municipal elections were held in the year 2015.",,
Source:*Respective ULB website and Media Search,,,,
5. Performance of Urban Local Body (ULB),,,,
Credit and Tax,,,,
Credit Rating of ULBs (As on Nov 2012)*,,NA,,
Property Tax,#,Coverage (%): NA,,
,,Collection Efficiency (%): NA,,
,,Amount(Rs.): NA,,
"Source: # Reform Appraisal Report, JNNURM, Ministry of Urban Development, Government of India",,,,
E-governance& Computerization in ULB,,,,
Reform,,"Status (implemented, in progress and any comment)",,
Property Tax*,,Implemented,,
Accounting*,,Implemented,,
Water Supply & Other Utilities*,,No,,
Birth & Death Registration and Health programmes*,,Implemented,,
Citizens' Grievance Monitoring*,,Implemented,,
Personnel Management System*,,Implemented,,
Building Plan Approval*,,Implemented,,
e-Procurement*,,Implemented,,
"Can Citizens pay their bills and Taxes at citizen
facilitation centre (CFC)?#",,Only on CFC,,
Does ULB has facility to Accept Online Payments#,,No,,
What is the E-mail Software being used in the ULB#,,NIC,,
"Are ULB offices connected with each other through local
area network (LAN)/ wide area network (WAN)#",,Yes,,
Do you have access to State Data Centre (SDC)?,#,No,,
Does the ULB have their own website#,,Yes,,
Implementation of 74th CAA#,,"3 functions are yet to be transferred. They are Water supply; Safeguarding the interests of
weaker sections society; Regulation of slaughter houses and tanneries",,
Note:* Modules of e-governance implemented in ULB,,,,
Source: http://www.corporationofcochin.net/,,,,
"* Reform Appraisal Report, JNNURM, Ministry of Urban Development, Government of India and respective ULB's website",,,,
"#Information and Services Need Assessment (ISNA) Study for Urban Local Bodies, Ministry of Urban Development, Government of India, 2012",,,,
Recognition,,,,
List any national or international recognition such as,,•,Mint Emergent Cities,
"awards, pilots, horizontal networks.",,•,ADB Municipal Reforms Project,
6. Finance and Health,,,,
Financial,,,,
Indicator,,City (Municipal Council),State (Urban),India (Urban)
% of households with access to banking facilities *,,83.29,67.42,67.77
Financial Status#,,,,
"Details of municipal income and expenditure
(Rs. Lakhs)",,Income,Expenditure,
2009-10,,7246.49,6992.24,
2010-11,,5409.48,5090.41,
2011-12,,7068.98,5398.75,
3,,,,

India Smart City Profile,,,,
% of municipal Budget reserved for urban poor@,NA,,,
"Source: * Tables of Houses, Household Amenities and Assets, Census of India, 2011",,,,
"#Information and Services Need Assessment (ISNA) Study for Urban Local Bodies, Ministry of Urban Development, Government of India, 2012",,,,
@,"Reform Appraisal Report, JNNURM, Ministry of Urban Development, Government of India",,,
Environmental,,,,
Swatch Bharat ranking *,417,,,
Comprehensive Environmental Assessment for available,NA,,,
cities#,,,,
"Source: *Press Information Bureau , Ministry of Urban Development, Government of India, 2015",,,,
#,,,,
"Central Pollution Control Board, Ministry of Environment and Forests, Government of India, 2009",,,,
7. Capacity: Track Record & Initiatives,,,,
JNNURM Projects,Status or Comment,,,
BSUP/IHSDP,"Under IHSDP scheme, 1 housing project was sanctioned which is under
progress. The total project cost was Rs 814.03 crores. Construction of 51% of
the dwelling unit is complete.",,,
UIG/UIDSSMT,NA,,,
Total Approved Cost of projects (Rs.Lakhs),NA,,,
Sectorwise details of projects,Sector,No of Projects,"Total Cost (Rs
Lakhs)","Share of sector in total
projects approved"
,Water,,NA,NA
,Drainage/SWD,NA,NA,NA
,Sewerage,NA,NA,NA
,SWM,NA,NA,NA
,Transport,NA,NA,NA
Share of Central Assistance released (%),NA,,,
% of work completed (Physical Progress),NA,,,
Funds Utilised (%),NA,,,
"Source: www.jnnurm.nic.in (accessed on November, 2015)",,,,
Alignment with MoUD Schemes,"Status, Comment",,,
