India Smart City Profile,,,,
City: Chennai (M.Corp),,,,
State: Tamil Nadu,,,,
"Category: Capital, Tier 1",,,,
"Chennai is the state capital of Tamil Nadu, and India’s fourth largest city, by economy and population. The city has a diverse array of economic",,,,
"sectors and is known for its automobile industry historically and rich IT sector. It is at one end of the important, 350 km Bangalore-Chennai",,,,
industrial corridor project.,,,,
1. Demographic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Total Population,4646732,34917440,"377,106,125",
Total Population of UA (if),8653521,,,
Share of ULB population in District Urban population (%),100.00,,,
Population Growth Rate (AEGR) 2001-11,0.67,2.39,2.76,
Area (sq. km)*,175,,,
Share of ULB area in district (%)*#,100.00,,,
Density of population (person per sq. km)*,26553,,,
Literacy Rate (%),90.18,87.04,84.11,
Schedule Caste (%),16.78,14.21,12.60,
Schedule Tribes (%),0.22,0.38,2.77,
"Youth, 15 - 24 years (%)",17.17,17.12,19.68,
Slum Population (%),28.89,23.15,17.36,
"Working Age Group, 15-59 years (%)",68.52,67.23,65.27,
"Source: Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
#The ULB is spread in more than one district,,,,
2. Economic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Per Capita Income (Rs.) at 2004-05 constant price *,57706,53507,"Rs. 35, 947",a
Urban Poverty Ratio (% of urban population)**,2.34,6.6,13.7,
"Unemployment Rate, 2011-12***",2.32,2.7,3.4,
"Work Participation Rate, 2011-12***",40.54,39.2,35.5,
"Work Status, 2011-12 (%) ***
Self-employed:
Regular/wage salaried employees:
Casual labour:","25.54
65.79
8.66","34.3
43.2
22.5","42.0
43.4
14.6",
"Sectoral Distribution of Workers, 2011-12 (%) ***
Primary
Secondary
Tertiary","1.33
27.24
71.43","11.2
37.3
51.5","7.5
34.2
58.3",
"Workers Classified by Major Occupation, 2011-12(%)",,,,
***,,,,
"Legislators, senior officials and managers",18.71,13.5,15.8,
Professionals,13.27,7.4,8.8,
