India Smart City Profile,,,,
City: Coimbatore,,,,
State: Tamil Nadu,,,,
"Category: Business & Industrial Centre, Tier 2",,,,
"Located in the East of the state, Coimbatore is the second largest city in Tamil Nadu and a fast growing Tier-II city. It is historically associated with a",,,,
"robust textile and cotton industry, though has diversified of late into services, IT, jewellery, wet grinders, pumps, poultry and auto-parts. It is also",,,,
served by an international airport.,,,,
1. Demographic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Total Population,1050721,34917440,"377,106,125",
Total Population of UA (if),2136916,,,
Share of ULB population in District Urban population (%),40.12,,,
Population Growth Rate (AEGR) 2001-11,1.21,2.39,2.76,
Area (sq. km)*,105.6,,,
Share of ULB area in district (%)*#,2.23,,,
Density of population (person per sq. km)*,9950,,,
Literacy Rate (%),91.30,87.04,84.11,
Schedule Caste (%),10.27,14.21,12.60,
Schedule Tribes (%),0.07,0.38,2.77,
"Youth, 15 - 24 years (%)",15.94,17.12,19.68,
Slum Population (%),12.29,23.15,17.36,
"Working Age Group, 15-59 years (%)",68.38,67.23,65.27,
"Source: Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
#The ULB is spread in more than one district,,,,
2. Economic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Per Capita Income (Rs.) at 2004-05 constant price *,65781,53507,"Rs. 35, 947",a
Urban Poverty Ratio (% of urban population)**,3.66,6.6,13.7,
"Unemployment Rate, 2011-12***",3.21,2.7,3.4,
"Work Participation Rate, 2011-12***",41.30,39.2,35.5,
"Work Status, 2011-12 (%) ***",,,,
Self-employed:,33.18,34.3,42.0,
Regular/wage salaried employees:,,43.2,43.4,
Casual labour:,55.46,22.5,14.6,
,11.36,,,
"Sectoral Distribution of Workers, 2011-12 (%) ***",,,,
Primary,9.29,11.2,7.5,
Secondary,,37.3,34.2,
Tertiary,44.50,51.5,58.3,
,46.22,,,
"Workers Classified by Major Occupation, 2011-12(%)",,,,
***,,,,
"Legislators, senior officials and managers",24.35,13.5,15.8,
Professionals,7.10,7.4,8.8,
Technicians and associate professionals,6.27,6.4,6.7,
Clerks,4.60,3.9,5.0,
Service workers and shop and market sales workers,9.83,12.4,14.7,
Skilled agricultural and fishery workers,3.83,5.0,4.6,
1,,,,

India Smart City Profile,,,,
Craft and related trades workers,26.25,,26.1,19.2
Plant and machine operators and assemblers,7.69,,10.1,9.2
Elementary occupations,10.08,,15.1,16.1
Workers not classified by occupation,0.00,,0,0.1
Primary Commodity Manufactured#,Motor Pumps,,,
,Thread,,,
,Electrical Goods,,,
Major Industries##,"Metallic - Automobile,",,,
,Bicycle and its parts,,,
,"Machinery, Machine",,,
,tools and its parts,,,
,Non-metallic - Textiles &,,,
,Garments,,,
,Software products,,,
No. of sanctioned SEZ,4,,56,413
"Note: 3 year average of 2009-10, 2010-11 and 2011-12",,,,
Source: * Directorate of Economics and Statistics of respective State Governments and for all India- Central Statistics Office,,,,
"**Unit Level Data of National Sample Survey Organization, Household Consumer Expenditure in India, 68th Round, 2011-12",,,,
"***Unit Level Data of National Sample Survey Organization, Employment and Unemployment Situation in India, 68th Round, 2011-12",,,,
"#District Census Handbook, Census of India, 2011",,,,
"##District Industrial Profile, Micro, Small and Medium Enterprises, Government of India",,,,
