India Smart City Profile,,,,
City: Guwahati,,,,
State: Assam,,,,
"Category: Business & Industrial Centre, Tier 2",,,,
"Guwahati is a major port on the banks of Brahmaputra, the capital of Assam and the urban hub of the North East. Primary industries include",,,,
"petrochemicals, tea- Assam is one of the world’s prime producing region - tourism and regional logistics.",,,,
1. Demographic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Total Population,957352,4398542,"377,106,125",
Total Population of UA (if),962334,,,
Share of ULB population in District Urban population (%),92.32,,,
Population Growth Rate (AEGR) 2001-11,1.67,2.46,2.76,
Area (sq. km)*,219.06,,,
Share of ULB area in district (%)*#,22.94,,,
Density of population (person per sq. km)*,4370,,,
Literacy Rate (%),91.47,88.47,84.11,
Schedule Caste (%),5.82,9.22,12.60,
Schedule Tribes (%),4.52,4.98,2.77,
"Youth, 15 - 24 years (%)",18.55,19.01,19.68,
Slum Population (%),2.69,13.05,17.36,
"Working Age Group, 15-59 years (%)",70.57,68.34,65.27,
"Source: Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
#The ULB is spread in more than one district,,,,
2. Economic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Per Capita Income (Rs.) at 2004-05 constant price *,43278,23019,"Rs. 35, 947",a
Urban Poverty Ratio (% of urban population)**,9.09,20.6,13.7,
"Unemployment Rate, 2011-12***",4.32,5.6,3.4,
"Work Participation Rate, 2011-12***",31.75,32.9,35.5,
"Work Status, 2011-12 (%) ***
Self-employed:
Regular/wage salaried employees:
Casual labour:","47.45
48.47
4.08","53.8
36.5
9.6","42.0
43.4
14.6",
"Sectoral Distribution of Workers, 2011-12 (%) ***
Primary
Secondary
Tertiary","15.96
18.59
65.45","8.4
17.8
73.8","7.5
34.2
58.3",
"Workers Classified by Major Occupation, 2011-12(%)",,,,
***,,,,
"Legislators, senior officials and managers",0.85,4.8,15.8,
Professionals,14.63,17.3,8.8,
Technicians and associate professionals,4.51,7.5,6.7,
Clerks,4.05,4.7,5.0,
Service workers and shop and market sales workers,18.81,24.8,14.7,
Skilled agricultural and fishery workers,6.22,4.1,4.6,
Craft and related trades workers,28.29,15.8,19.2,
Plant and machine operators and assemblers,3.13,5.1,9.2,
Elementary occupations,15.37,12.5,16.1,
Workers not classified by occupation,4.14,3.4,0.1,
Primary Commodity Manufactured#,"Bakery products, Cane
product, carbon",,,
Major Industries##,"Tea, Silk and handloom",,,
1,,,,

India Smart City Profile,,,,
No. of sanctioned SEZ,,0,413,
"Note: 3 year average of 2009-10, 2010-11 and 2011-12",,,,
Source: * Directorate of Economics and Statistics of respective State Governments and for all India- Central Statistics Office,,,,
"**Unit Level Data of National Sample Survey Organization, Household Consumer Expenditure in India, 68th Round, 2011-12",,,,
"***Unit Level Data of National Sample Survey Organization, Employment and Unemployment Situation in India, 68th Round, 2011-12",,,,
