India Smart City Profile,,,,
City: Ahmadabad,,,,
State: Gujarat,,,,
"Category: Business & Industry, Tier 2",,,,
"Ahmedabad is the largest city in Gujarat, and the administrative capital of Ahmedabad district. It serves as the seat of Gujarat High Court and is the",,,,
seventh largest metropolitan area in India. Ahmedabad is an important economic and industrial hub and is reported to be one of the fastest,,,,
"growing cities of the decade (Forbe’s 2010). Textile, pharmaceuticals and automobile are the most prominent industries based in and around",,,,
"Ahmedabad. In addition, there has been significant advancement of the IT sector as well, as the many prestigious higher-education institutes in the",,,,
"city continue to attract a large pool of highly skilled young professionals. There are currently four SEZ’s in the city region, with another three new",,,,
"industrial estates in the planning, by the Gujarat Industrial Development Corporation (GIDC). In terms of transport infrastructure, Ahmedabad has a",,,,
"successful BRT system in operation, and a proposed metro-rail set to open in 2018.",,,,
1. Demographic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Total Population,5577940,25745083,"377,106,125",
Total Population of UA (if),6357693,,,
Share of ULB population in District Urban population (%),92.00,,,
Population Growth Rate (AEGR) 2001-11,4.60,3.07,2.76,
Area (sq. km)*,468.92,,,
Share of ULB area in district (%)*#,5.78,,,
Density of population (person per sq. km)*,11895,,,
Literacy Rate (%),88.29,86.31,84.11,
Schedule Caste (%),10.66,6.96,12.60,
Schedule Tribes (%),1.20,3.48,2.77,
"Youth, 15 - 24 years (%)",19.26,19.85,19.68,
Slum Population (%),4.49,14.92,17.36,
"Working Age Group, 15-59 years (%)",66.78,66.31,65.27,
"Source: Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
#The ULB is spread in more than one district,,,,
2. Economic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Per Capita Income (Rs.) at 2004-05 constant price *,NA,48301,"Rs. 35, 947",a
Urban Poverty Ratio (% of urban population)**,6.64,10.2,13.7,
"Unemployment Rate, 2011-12***",0.86,0.8,3.4,
"Work Participation Rate, 2011-12***",37.06,38.4,35.5,
"Work Status, 2011-12 (%) ***",,,,
Self-employed:,50.56,41.6,42.0,
Regular/wage salaried employees:,,,43.4,
Casual labour:,45.65,49.6,14.6,
,3.80,8.9,,
"Sectoral Distribution of Workers, 2011-12 (%) ***",,,,
Primary,1.94,4.8,7.5,
Secondary,,,34.2,
Tertiary,47.76,48.7,58.3,
,50.30,46.4,,
"Workers Classified by Major Occupation, 2011-12(%)",,,,
***,,,,
"Legislators, senior officials and managers",15.93,15.7,15.8,
Professionals,4.72,4.0,8.8,
1,,,,

India Smart City Profile,,,,
Technicians and associate professionals,,6.39,6.0,6.7
Clerks,,5.98,4.2,5.0
Service workers and shop and market sales workers,,17.25,15.0,14.7
Skilled agricultural and fishery workers,,0.73,2.5,4.6
Craft and related trades workers,,22.32,19.0,19.2
Plant and machine operators and assemblers,,19.33,19.6,9.2
Elementary occupations,,7.36,14.0,16.1
Workers not classified by occupation,,0.00,0.0,0.1
Primary Commodity Manufactured#,,Cotton Cloth,,
,,Chemicals,,
,,Medicines,,
Major Industries,,"Automobile, Bicycle and",,
,,its parts,,
,,"Machinery, Machine tools",,
,,and its parts,,
,,Textile,,
,,Pharmaceuticals & bulk,,
,,Drugs,,
No. of sanctioned SEZ,,7,38,413
"Note: 3 year average of 2009-10, 2010-11 and 2011-12",,,,
Source: * Directorate of Economics and Statistics of respective State Governments and for all India- Central Statistics Office,,,,
"**Unit Level Data of National Sample Survey Organization, Household Consumer Expenditure in India, 68th Round, 2011-12",,,,
"***Unit Level Data of National Sample Survey Organization, Employment and Unemployment Situation in India, 68th Round, 2011-12",,,,
"#District Census Handbook, Census of India, 2011",,,,
"##District Industrial Profile, Micro, Small and Medium Enterprises, Government of India",,,,
"∞ Department of Commerce, Ministry of Commerce and Industry",,,,
3. Infrastructure Status,,,,
Indicator,,"City (Municipal
Corporation)",State (Urban),India (Urban)
"% of households with access to tap water
treated source) within Premises",(from,80.12,68.78,84.14
% of households with access to electricity,,98.56,97.19,92.68
"% of households having toilet facilities within
premises",,92.42,85.17,72.57
