India Smart City Profile,,,,
City: Indore,,,,
State: Madhya Pradesh,,,,
"Category: Business & Industrial Centre, Tier 2",,,,
Text about the city; should include location and prominence within state and key cultural or other significance.,,,,
1. Demographic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Total Population,1964086,"20,069,405","377,106,125",
Total Population of UA (if),2170295,,,
Share of ULB population in District Urban population (%),80.90,,,
Population Growth Rate (AEGR) 2001-11,2.86,2.29,2.76,
Area (sq. km)*,172.39,,,
Share of ULB area in district (%)*#,4.42,,,
Density of population (person per sq. km)*,11393,,,
Literacy Rate (%),85.87,,84.11,
Schedule Caste (%),15.40,,12.60,
Schedule Tribes (%),2.61,,2.77,
"Youth, 15 - 24 years (%)",19.68,,19.68,
Slum Population (%),30.05,,17.36,
"Working Age Group, 15-59 years (%)",65.07,,65.27,
"Source: Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
#The ULB is spread in more than one district,,,,
2. Economic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Per Capita Income (Rs.) at 2004-05 constant price *,52501,,"Rs. 35, 947",a
Urban Poverty Ratio (% of urban population)**,2.80,,13.7,
"Unemployment Rate, 2011-12***",2.07,,3.4,
"Work Participation Rate, 2011-12***",28.90,,35.5,
"Work Status, 2011-12 (%) ***",,,,
Self-employed:,,,42.0,
Regular/wage salaried employees:,55.85,,43.4,
Casual labour:,39.66,,14.6,
,4.49,,,
"Sectoral Distribution of Workers, 2011-12 (%) ***",,,,
Primary,,,7.5,
Secondary,1.26,,34.2,
Tertiary,25.97,,58.3,
,72.77,,,
"Workers Classified by Major Occupation, 2011-12(%)",,,,
***,,,,
"Legislators, senior officials and managers",39.03,,15.8,
Professionals,8.81,,8.8,
Technicians and associate professionals,3.19,,6.7,
Clerks,8.97,,5.0,
Service workers and shop and market sales workers,9.13,,14.7,
Skilled agricultural and fishery workers,1.28,,4.6,
1,,,,

India Smart City Profile,,,,
Craft and related trades workers,15.37,,19.2,
Plant and machine operators and assemblers,10.61,,9.2,
Elementary occupations,3.61,,16.1,
Workers not classified by occupation,0.00,,0.1,
Primary Commodity Manufactured#,Medicines,,,
,Cloth,,,
,Leather Toys,,,
Major Industries##,"Machinery, Machine tools",,,
,and its parts,,,
,Other products of,,,
,"Aluminium and Brass,",,,
,"Copper, Iron and Steel",,,
,Textile,,,
,Drugs and,,,
,Pharmaceuticals,,,
No. of sanctioned SEZ,7,,413,
"Note: 3 years average of 2010-11, 2011-12, 2012-13",,,,
Source: * Directorate of Economics and Statistics of respective State Governments and for all India- Central Statistics Office,,,,
"**Unit Level Data of National Sample Survey Organization, Household Consumer Expenditure in India, 68th Round, 2011-12",,,,
"***Unit Level Data of National Sample Survey Organization, Employment and Unemployment Situation in India, 68th Round, 2011-12",,,,
"#District Census Handbook, Census of India, 2011",,,,
"##District Industrial Profile, Micro, Small and Medium Enterprises, Government of India",,,,
"∞ Department of Commerce, Ministry of Commerce and Industry",,,,
3. Infrastructure Status,,,,
Indicator,,"City (Municipal
Corporation)",State (Urban),India (Urban)
"% of households with access to tap water
treated source) within Premises",(from,73.74,50.55,84.14
% of households with access to electricity,,98.48,92.73,92.68
"% of households having toilet facilities within
premises",,90.14,71.54,72.57
"% of household Waste water outlet connected to
drainage",,92.14,82.34,81.77
Type of sewerage system*,,"Underground sewerage
system",,
Type of solid Waste system*,,Door to Door,,
"% of households with access to computer/laptop
with internet
without internet",,"11.21
12.61","4.92
8.89","8.27
10.40"
% of households with access to mobile phones,,62.98,61.03,64.33
"Ownership Pattern of Housing (%)
Owned
Rented",,"68.98
27.88","74.45
21.11","69.16
27.55"
% of households living in congested houses,,24.88,24.14,32.94
Indicator,,City (Municipal Corporation),,
"No. of Hospitals per 1,00,000 people *",,1,,
"No of Schools per 1,00,000 people",,,,
Primary,,25,,
Middle,,14,,
Secondary,,12,,
College,,5,,
"Source: Tables of Houses, Household Amenities and Assets, Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
4. Political Profile: Leadership and Administrative Structure,,,,
,,,2,

India Smart City Profile,
"Architecture of Governance
Structure of Elected and Executive Bodies. Give
indication of hierarchies","Indore Municipal Corporation (IMC) is the governing body of the city of Indore.
The municipal corporation consists of democratically elected Mayor who presides
over Councilors. The Municipal Commissioner forms the administrative head. In
accordance with the 74th constitutional amendment 25 seats out of 69 are
reserved for women.
At present, the municipal area is divided into 12 zones and 85 wards of various
sizes and population.
The Corporation renders useful services to its citizens like birth and death
certificates, assessment and collection of property taxes, water taxes, license
renewal, health and education centres etc.
Town and Country Planning Office, Bhopal, has been preparing the master plans
for Indore. However, the responsibility to implement the city’s Master Plan lies
with Indore Development Authority (IDA). Moreover, the Plan to develop the
fringe areas of Indore Municipal Corporation are conducted by architects of IDA.
The provision of physical infrastructure like electricity, sewerage line, water supply
is all worked out by IDA. Finally, the function of IDA is to control and regulate the
development. That is, plan offered private developers (institutional/residential)
needs to be approved by IDA .
Water supply of Indore city is looked after by Municipal Corporation with
participation of Public Health Engineering Department (PHED) of Madhya
Pradesh.
Public Works Department Madhya Pradesh is engaged in planning, designing,
construction and maintenance of Government assets in the field of built
environment and infrastructure development.
Madhya Pradesh Pollution Control Board is responsible to maintain air, water and
soil quality in healthy and useable form. Presently it operates in 12 regional
offices, where Indore is one of them."
No of elected representatives,
,Mr. Shivraj Singh Chauhan from Bharatiya Janata Party is the Chief Minister of
,Madhya Pradesh . He was elected on 15-Dec 2013. The Commissioner is Mr.
Election Details*,
,Manish Singh. The council is headed by Mayor Mrs. Malini Laxmansingh Gaur
"Election cycle, last election,",
"Name, party affiliation where relevant, date office taken","of BJP, elected on 4-Feb 2015. The municipal elections were held in the year"
"for: chief minister, commissioner, and mayor.",Dec-14.
Source:*Respective ULB website and Media Search,
5. Performance of Urban Local Body (ULB),
Credit and Tax,
Credit Rating of ULBs (As on Nov 2012)*,BBB
Property Tax #,Coverage (%): 89%
,Collection Efficiency (%): 90%
,Amount(Rs.): Rs. 39.95 cr. (2012-13)
Source: *www.jnnurm.nic.in,
"#Reform Appraisal Report, JNNURM, Ministry of Urban Development, Government of India",
E-governance& Computerization in ULB,
Reform,"Status (implemented, in progress and any comment)"
Property Tax*,Implemented
Accounting*,Implemented
Water Supply & Other Utilities*,Implemented
Birth & Death Registration and Health programmes*,Implemented
3,

India Smart City Profile,,,
Citizens' Grievance Monitoring*,,Implemented,
Personnel Management System*,,Implemented,
