India Smart City Profile,,,,
City: Bhubaneswar,,,,
State: Orissa,,,,
"Category: Capital, Tier 2",,,,
"Bhubaneswar is the capital of Orissa and a regional hub. Part of a larger metropolitan region with former capital Cuttack, the city has a growing IT",,,,
"and education hub. It is known as “Temple City” and is a popular tourist destination along with nearby Puri and Konark, the latter being a UNESCO",,,,
"World Heritage Site. The city is also the cultural hub of the Oriya people, language and cinema.",,,,
1. Demographic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Total Population,840834,7003656,"377,106,125",
Total Population of UA (if),885363,,,
Share of ULB population in District Urban population (%),77.55,,,
Population Growth Rate (AEGR) 2001-11,2.6,2.39,2.76,
Area (sq. km)*,135,,,
Share of ULB area in district (%)*#,4.68,,,
Density of population (person per sq. km)*,6228.4,,,
Literacy Rate (%),91.89,85.75,84.11,
Schedule Caste (%),8.27,13.85,12.60,
Schedule Tribes (%),5.04,8.51,2.77,
"Youth, 15 - 24 years (%)",20.07,19.85,19.68,
Slum Population (%),19.5,7.34,17.36,
"Working Age Group, 15-59 years (%)",69.65,67.04,65.27,
"Source: Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
#The ULB is spread in more than one district,,,,
2. Economic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Per Capita Income (Rs.) at 2004-05 constant price *,33312,23259,"Rs. 35, 947",a
Urban Poverty Ratio (% of urban population)**,4.70,17.3,13.7,
"Unemployment Rate, 2011-12***",4.27,3.5,3.4,
"Work Participation Rate, 2011-12***",35.55,38.1,35.5,
"Work Status, 2011-12 (%) ***
Self-employed:
Regular/wage salaried employees:
Casual labour:","40.34
44.95
14.71","51.2
34.6
14.2","42.0
43.4
14.6",
"Sectoral Distribution of Workers, 2011-12 (%) ***
Primary
Secondary
Tertiary","0.79
27.92
71.29","14.9
22.3
62.8","7.5
34.2
58.3",
"Workers Classified by Major Occupation, 2011-12(%)",,,,
***,,,,
"Legislators, senior officials and managers",14.98,13.2,15.8,
Professionals,10.25,7,8.8,
Technicians and associate professionals,11.93,7,6.7,
Clerks,4.15,3.1,5.0,
Service workers and shop and market sales workers,25.08,20.3,14.7,
Skilled agricultural and fishery workers,0,13.3,4.6,
Craft and related trades workers,28.73,20.8,19.2,
Plant and machine operators and assemblers,3.25,5.1,9.2,
Elementary occupations,1.63,10.3,16.1,
Workers not classified by occupation,0,0,0.1,
Primary Commodity Manufactured#,"Rice
Kora khai",NA,,
1,,,,

India Smart City Profile,,,,
,Coconut,,,
Major Industries##,Metallic-,Na,,
,Non-metallic—,,,
,"Chemicals, drugs and",,,
,"pharmaceuticals,",,,
,"including ink, paints,",,,
,"varnishes, insecticides,",,,
,and fertilizers,,,
No. of sanctioned SEZ,3,9,413,
"Note: 3 year average of 2009-10, 2010-11 and 2011-12",,,,
Source: * Directorate of Economics and Statistics of respective State Governments and for all India- Central Statistics Office,,,,
"**Unit Level Data of National Sample Survey Organization, Household Consumer Expenditure in India, 68th Round, 2011-12",,,,
"***Unit Level Data of National Sample Survey Organization, Employment and Unemployment Situation in India, 68th Round, 2011-12",,,,
"#District Census Handbook, Census of India, 2011",,,,
"##District Industrial Profile, Micro, Small and Medium Enterprises, Government of India",,,,
"∞ Department of Commerce, Ministry of Commerce and Industry",,,,
3. Infrastructure Status,,,,
Indicator,,"City (Municipal
Corporation)",State (Urban),India (Urban)
"% of households with access to tap water
treated source) within Premises",(from,62.96,42.11,84.14
% of households with access to electricity,,86.53,83.1,92.68
"% of households having toilet facilities within
premises",,72.29,58.81,72.57
"% of household Waste water outlet connected to
drainage",,68.95,59.04,81.77
Type of sewerage system*,,"Under ground sewerage
system",,
Type of solid Waste system*,,Door to Door,,
"% of households with access to computer/laptop
with internet
without internet",,"16.05
14.80","6.41
8.39","8.27
10.40"
% of households with access to mobile phones,,64.74,60.98,64.33
"Ownership Pattern of Housing (%)
Owned
Rented",,"47.26
42.58","59.96
31.40","69.16
27.55"
