"List of Projects as per Smart City Proposal : Bhubaneswar","","","","","",""
"Sl. No.","Projects in SCP","Cost (Rs. in Crore)","City-Label","Size","Indicator","Unknown"
"1.0","Ciitizen's Connect Initiative","4.0","Build Basics Sub-Plan","ABD","","Governance"
"2.0","I Support My City - Volunteer program","1.5","Build Basics Sub-Plan","ABD","","Governance"
"3.0","Town Centre Online - Online Services and Dashboard","2.5","Build Basics Sub-Plan","ABD","","Governance"
"4.0","One Map - Data Visualisation through Thematic Mapping","9.25","Build Basics Sub-Plan","ABD","","Governance"
"5.0","Project Bhubaneswar Urban Knowledge Centre","8.5","Build Basics Sub-Plan","ABD","","Governance"
"6.0","Railway Station Multi Modal Hub - Phase 1","245.0","TOD Sub-Plan for projects for Railway Station Multi-Modal Hub, Lake Neutral","ABD","","Transportation & Mobility"
"7.0","Railway Station Multi Modal Hub - Phase 2","600.0","TOD Sub-Plan for projects for Railway Station Multi-Modal Hub, Lake Neutral","ABD","","Transportation & Mobility"
"8.0","Raj Mahal Square Multi Level Car Parking","60.0","TOD Sub-Plan for projects for Railway Station Multi-Modal Hub, Lake Neutral","ABD","","Transportation & Mobility"
"9.0","Satya Nagar Institutional Core","","TOD Sub-Plan for projects for Railway Station Multi-Modal Hub, Lake Neutral","ABD","","Transportation & Mobility"
"10.0","Satya Nagar Multi Level Car Parking","60.0","TOD Sub-Plan for projects for Railway Station Multi-Modal Hub, Lake Neutral","ABD","","Transportation & Mobility"
"11.0","Lake Neutral","44.0","TOD Sub-Plan for projects for Railway Station Multi-Modal Hub, Lake Neutral","ABD","","Transportation & Mobility"
"12.0","Janpath - People's Smart Path","72.5","Urban_Mobility Sub-Plan for roads, cycle anes, PBS and E-Rickshaw Scheme","ABD","","Transportation & Mobility"
"13.0","Project URBS - Urban Regeneration through Bhubaneswar Streets","171.5","Urban_Mobility Sub-Plan for roads, cycle anes, PBS and E-Rickshaw Scheme","ABD","","Transportation & Mobility"
"14.0","BBSR Cycle Highway","16.0","Urban_Mobility Sub-Plan for roads, cycle anes, PBS and E-Rickshaw Scheme","ABD","","Transportation & Mobility"
"15.0","Public Bicycle Sharing Scheme","9.5","Urban_Mobility Sub-Plan for roads, cycle anes, PBS and E-Rickshaw Scheme","ABD","","Transportation & Mobility"
"16.0","E-Rickshaw Project","10.5","Urban_Mobility Sub-Plan for roads, cycle anes, PBS and E-Rickshaw Scheme","ABD","","Transportation & Mobility"
"17.0","Janpath Government Housing Redevelopment","1260.0","Housing For All Sub-Plan","ABD","","Housing & Inclusiveness"
"18.0","Mission Abaas- Slum Redevelopment Projects- Bapuji Nagar,
Kharavela Nagar, Shanti Nagar, Saheed Nagar Abaas Yojna","840.0","Housing For All Sub-Plan","ABD","","Housing & Inclusiveness"
"19.0","Rental Housing for Construction Workers","12.0","Housing For All Sub-Plan","ABD","","Housing & Inclusiveness"
"20.0","Project Kutumb- One stop Social Equity Centres","15.75","Housing For All Sub-Plan","ABD","","Housing & Inclusiveness"
"21.0","Museum of Urban History","9.4","Social Development for Sub-Plan for Initiaties lik Museum of Urban History, I am BBSR","ABD","","Identity & Culture"
"22.0","I am BBSR Initiative","12.0","Social Development for Sub-Plan for Initiaties lik Museum of Urban History, I am BBSR","ABD","","Identity & Culture"
"23.0","Neighbourhood Watch","0.5","Social Development for Sub-Plan for Initiaties lik Museum of Urban History, I am BBSR","ABD","","Safety & Security"
"24.0","Senior Citizen Direct Contact Program","0.8","Social Development for Sub-Plan for Initiaties lik Museum of Urban History, I am BBSR","ABD","","Safety & Security"
"25.0","Safe Refuge Points for Women's Safety (Integrated with Pan City
Solution)","-","Social Development for Sub-Plan for Initiaties lik Museum of Urban History, I am BBSR","ABD","","Safety & Security"
"26.0","E- Primary Health Care for All","9.6","Social Development for Sub-Plan for Initiaties lik Museum of Urban History, I am BBSR","ABD","","Health"
"27.0","Invest BBSR","5.7","Economic Development Sub-Plan for Invest BBSR and Skill development initiatives","ABD","","Economy & Employment"
"28.0","Project Swabhimaan- Integrate | Incubate | Innovative","21.5","Economic Development Sub-Plan for Invest BBSR and Skill development initiatives","ABD","","Economy & Employment"
"29.0","Street Vendors Improvement Project","6.73","Economic Development Sub-Plan for Invest BBSR and Skill development initiatives","ABD","","Economy & Employment"
"30.0","Project Kusum-  E3C- Model Anganwadi Centres | Multimedia Digital
Learning in Schools","8.2","Economic Development Sub-Plan for Invest BBSR and Skill development initiatives","ABD","","Education"
"31.0","24x7 Water Supply Water","43.84","Basic services Sub-Plan for providing 24x7 Energy and Water Supply; Decentralized Sewage","ABD","","Assured Water Supply"
"32.0","Recycling Project","20.62","Basic services Sub-Plan for providing 24x7 Energy and Water Supply; Decentralized Sewage","ABD","","Solid Waste Management"
"33.0","Decentralized Sewage Treatment Project","36.51","Basic services Sub-Plan for providing 24x7 Energy and Water Supply; Decentralized Sewage","ABD","","Wastewater Management"
"34.0","24x7 Energy Supply","80.16","Basic services Sub-Plan for providing 24x7 Energy and Water Supply; Decentralized Sewage","ABD","","Assured Water Supply"
"35.0","Underground Electric Wiring","44.2","Basic services Sub-Plan for providing 24x7 Energy and Water Supply; Decentralized Sewage","ABD","","Power Supply"
"36.0","Waste- Lets recycle","24.15","Basic services Sub-Plan for providing 24x7 Energy and Water Supply; Decentralized Sewage","ABD","","Solid Waste Management"
"37.0","Project Samman","17.85","Basic services Sub-Plan for providing 24x7 Energy and Water Supply; Decentralized Sewage","ABD","","Solid Waste Management"
"38.0","City Gas Distribution Ducting (covered under Project URBS)","","Basic services Sub-Plan for providing 24x7 Energy and Water Supply; Decentralized Sewage","ABD","","Power Supply"
"39.0","City Fiber Ducting (covered under Project URBS)","","","","",""
"40.0","Intelligent Operations and Management Centre (Integrated with Pan
City Solution)","-","Technology for All Sub-Plan for City Wi-Fi Project, Smart Metering and Digital Literacy","ABD","","Governance"
"41.0","City Wi-Fi Project","105.0","Technology for All Sub-Plan for City Wi-Fi Project, Smart Metering and Digital Literacy","ABD","","Governance"
"42.0","Smart Energy Meter & SCADA","47.43","Technology for All Sub-Plan for City Wi-Fi Project, Smart Metering and Digital Literacy","ABD","","Power Supply"
"43.0","Smart Water Meter & SCADA","33.78","Technology for All Sub-Plan for City Wi-Fi Project, Smart Metering and Digital Literacy","ABD","","Assured Water Supply"
"44.0","Smart Waste Management","14.5","Technology for All Sub-Plan for City Wi-Fi Project, Smart Metering and Digital Literacy","ABD","","Solid Waste Management"
"45.0","Smart Environment Management","4.5","Technology for All Sub-Plan for City Wi-Fi Project, Smart Metering and Digital Literacy","ABD","","Reduced Pollution"
"46.0","Public Internet Access Centres","2.45","Technology for All Sub-Plan for City Wi-Fi Project, Smart Metering and Digital Literacy","ABD","","Governance"
"47.0","Digital Literacy Initiative","1.5","Technology for All Sub-Plan for City Wi-Fi Project, Smart Metering and Digital Literacy","ABD","","Education"
"48.0","Energy Efficiency Initiative  DELP","1.75","Future-Proofing Sub-Plan for LED Street Lighting, Solar City Rooftop, and Disaster Management Plan","ABD","","Power Supply"
"49.0","City - Wifi Project","1.5","Future-Proofing Sub-Plan for LED Street Lighting, Solar City Rooftop, and Disaster Management Plan","ABD","","Governance"
"50.0","United Nations Sustainable Energy for All (SE4ALL)","1.8","Future-Proofing Sub-Plan for LED Street Lighting, Solar City Rooftop, and Disaster Management Plan","ABD","","Power Supply"
"51.0","Initiative LED street lighting","0.62","Future-Proofing Sub-Plan for LED Street Lighting, Solar City Rooftop, and Disaster Management Plan","ABD","","Power Supply"
"52.0","Energy efficient water pumps","82.5","Future-Proofing Sub-Plan for LED Street Lighting, Solar City Rooftop, and Disaster Management Plan","ABD","","Assured Water Supply"
"53.0","Solar City Program - Roof Top Micro Solar Power","3.0","Future-Proofing Sub-Plan for LED Street Lighting, Solar City Rooftop, and Disaster Management Plan","ABD","","Power Supply"
"54.0","Project Rain Water Harvesting","9.5","Future-Proofing Sub-Plan for LED Street Lighting, Solar City Rooftop, and Disaster Management Plan","ABD","","Assured Water Supply"
"55.0","Structural Stability  Earthquake Resilience","0.4","Future-Proofing Sub-Plan for LED Street Lighting, Solar City Rooftop, and Disaster Management Plan","ABD","","Unknown"
"56.0","Incident and Disaster Management Plan","0.4","Future-Proofing Sub-Plan for LED Street Lighting, Solar City Rooftop, and Disaster Management Plan","ABD","","Unknown"
"57.0","Traffic Signalling with Area Based Traffic Control","101.57","Traffic Management","Pan City","","Transportation & Mobility"
"58.0","Traffic Network Flow Monitoring","42.32","Traffic Management","Pan City","","Transportation & Mobility"
"59.0","Video Surveillance and Incidence Management; Video Management","26.31","Traffic Management","Pan City","","Transportation & Mobility"
"60.0","Variable Message Signs","8.5","Traffic Management","Pan City","","Transportation & Mobility"
"61.0","Video Analytics supported Traffic Violation Detection and E- challan","34.04","Traffic Management","Pan City","","Transportation & Mobility"
"62.0","Traffic Analytics, Simulation and Modelling - TIA","1.84","Traffic Management","Pan City","","Transportation & Mobility"
"63.0","Electronic Parking Systems for on-street Parking (20 km) and publicly
owned Parking Lots","11.68","Parking Management","Pan City","","Transportation & Mobility"
"64.0","Integration of public and privately owned (publicly accessible) parking availability data  on to common platform and Parking Mobile
App.","4.05","Parking Management","Pan City","","Transportation & Mobility"
"65.0","Fleet tracking for BPTSL buses, privately owned city buses and para-
transit","18.26","Bus Service Operations","Pan City","","Transportation & Mobility"
"66.0","Depot and Asset Maintenance Management (limited to BPTSL bus
fleet)","7.36","Bus Service Operations","Pan City","","Transportation & Mobility"
"67.0","Crew and Bus scheduling for BPTSL - say 2 operators;","3.68","Bus Service Operations","Pan City","","Transportation & Mobility"
"68.0","Passenger Information systems on-board and at bus shelters. ; Mobiile App for Journey Planning and IEC to enhance Bus Transit
Usage","43.15","Bus Service Operations","Pan City","","Transportation & Mobility"
"69.0","Systems for pre-payments and card issuance; recharge; onboard
ticketing systems","3.68","Common Payment Card","Pan City","","Governance"
"70.0","Back office and Customer Management Systems","22.08","Common Payment Card","Pan City","","Governance"
"71.0","Central Clearing House","-","Common Payment Card","Pan City","","Governance"
"72.0","Emergency response intake through call, app or panic-button, CAD;
First Responder Coordination","3.68","Emergency Response & City Incidence Management","Pan City","","Safety & Security"
"73.0","Multi-Agency Incidence Management for complex events -
unplanned and planned","23.92","Emergency Response & City Incidence Management","Pan City","","Safety & Security"
"74.0","Radio Communication and Messaging","0.4","Emergency Response & City Incidence Management","Pan City","","Safety & Security"
"75.0","Extreme Weather Disaster Response.","1.93","Emergency Response & City Incidence Management","Pan City","","Safety & Security"
