"List of Projects as per Smart City Proposal : Belagavi","","","","","",""
"Sl.No.","Projects in SCP","Cost (Rs. in Crore)","City Tag","Size","Indicator","Unknown"
"1.0","Dharamnath Circle","46.0","Taking Governance to the neighborhoods (Multi-Utilities Facilitation Centers - Green Building Embedded With Belgavi-One)","ABD","","Governance"
"2.0","Ramteerth Nagar","38.0","Taking Governance to the neighborhoods (Multi-Utilities Facilitation Centers - Green Building Embedded With Belgavi-One)","ABD","","Governance"
"3.0","Mahantesh Nagar","29.0","Taking Governance to the neighborhoods (Multi-Utilities Facilitation Centers - Green Building Embedded With Belgavi-One)","ABD","","Governance"
"4.0","First Rly Gate Opp. Kalamandir","43.0","Taking Governance to the neighborhoods (Multi-Utilities Facilitation Centers - Green Building Embedded With Belgavi-One)","ABD","","Governance"
"5.0","Fort Road","11.4","Taking Governance to the neighborhoods (Multi-Utilities Facilitation Centers - Green Building Embedded With Belgavi-One)","ABD","","Governance"
"6.0","Development of a Heritage Park","26.0","Developing Theme Based and Heritage Parks & Recreational Spaces","ABD","","Identity & Culture"
"7.0","Theme-based development/Improvement of Neighborhood Parks &
Recreational Spaces","15.0","Developing Theme Based and Heritage Parks & Recreational Spaces","ABD","","Identity & Culture"
"8.0","Urban afforeastation through block plantations","5.0","Developing Theme Based and Heritage Parks & Recreational Spaces","ABD","","Identity & Culture"
"9.0","Avenue Plantation","2.0","Developing Theme Based and Heritage Parks & Recreational Spaces","ABD","","Identity & Culture"
"10.0","Art Gallery Cum Exhibition Center and Children Science Park","14.0","Developing Theme Based and Heritage Parks & Recreational Spaces","ABD","","Identity & Culture"
"11.0","Rehabitilation of Cattle and Pigs","1.0","Developing Theme Based and Heritage Parks & Recreational Spaces","ABD","","Identity & Culture"
"12.0","Parking forPrivate buses , Mini LCV on Hires charges","2.0","Developing Theme Based and Heritage Parks & Recreational Spaces","ABD","","Identity & Culture"
"13.0","Rain Water Harvesting and composting facilities in parks and
gardens","1.0","Developing Theme Based and Heritage Parks & Recreational Spaces","ABD","","Public Open Space"
"14.0","Development of Fort and Moat Precincts","25.0","Upgrading of Heritage Precincts","ABD","","Identity & Culture"
"15.0","Improvement of Lakes","10.0","Upgrading of Heritage Precincts","ABD","","Public Open Space"
"16.0","Water Metering","9.0","24 x 7 Water Supply, Smart Meeting","ABD","","Assured Water Supply"
"17.0","Smart Electricity Metering","8.5","Environment, Energy Efficiency, Renewable Energy","ABD","","Power Supply"
"18.0","Energy Efficiency Program for Street lighting","5.0","Environment, Energy Efficiency, Renewable Energy","ABD","","Power Supply"
"19.0","UG - LT Cabling","168.0","Environment, Energy Efficiency, Renewable Energy","ABD","","Unknown"
"20.0","Air Quality, Water Quality, Recharge of Water Bodies","15.0","Environment, Energy Efficiency, Renewable Energy","ABD","","Reduced Pollution"
"21.0","Development of Affordable Housing for EWS","84.0","Affordable Housing","ABD","","Housing & Inclusiveness"
"22.0","EWS Housing in Approved BUDA Layout","43.52","Affordable Housing","ABD","","Housing & Inclusiveness"
"23.0","Skill Development Center","8.0","Skill Development Center","ABD","","Economy & Employment"
"24.0","Multi-utility UG Ducting","62.0","UG Ducting ","ABD","","Unknown"
"25.0","Pedestrian friendly Pathways","45.0","Non Motorized Transportation, Walkability, Network Connectivity, MLCP, Para Transit","ABD","","Transportation & Mobility"
"26.0","Cycle Tracks","17.0","Non Motorized Transportation, Walkability, Network Connectivity, MLCP, Para Transit","ABD","","Transportation & Mobility"
"27.0","Carriageway Improvement","125.5","Non Motorized Transportation, Walkability, Network Connectivity, MLCP, Para Transit","ABD","","Transportation & Mobility"
