"List of Projects as per Smart City Proposal : Pune","","","","","",""
"Sl. No.","Projects in SCP","Cost (Rs. in Crore)","City Tag","Size","Indicator","Unknown"
"1.0","Road and road widening","190.0","Transport","ABD","","Transportation & Mobility"
"2.0","100 Electric buses","125.0","Transport","ABD","","Transportation & Mobility"
"3.0","Redesign of streets","189.0","Transport","ABD","","Transportation & Mobility"
"4.0","Smart parking","50.0","Transport","ABD","","Transportation & Mobility"
"5.0","Footpaths (additional and retrofit)","31.0","Transport","ABD","","Transportation & Mobility"
"6.0","Placemaking","30.0","Transport","ABD","","Transportation & Mobility"
"7.0","Bicycles","10.0","Transport","ABD","","Transportation & Mobility"
"8.0","Bus stops (revamp 54 stations)","27.0","Transport","ABD","","Transportation & Mobility"
"9.0","Junction redesign for 14 junctions","14.0","Transport","ABD","","Transportation & Mobility"
"10.0","Non-motorised street","5.0","Transport","ABD","","Transportation & Mobility"
"11.0","BRT","210.0","Transport","ABD","","Transportation & Mobility"
"12.0","Express airport services","3.0","Transport","ABD","","Transportation & Mobility"
"13.0","e-rickshaws","1.0","Transport","ABD","","Transportation & Mobility"
"14.0","Waste water recycling","99.0","Water","ABD","","Wastewater Management"
"15.0","Storm water use","43.0","Water","ABD","","Wastewater Management"
"16.0","Adequate water supply","87.0","Water","ABD","","Assured Water Supply"
"17.0","Rainwater harvesting","6.0","Water","ABD","","Assured Water Supply"
"18.0","Smart metering (water)","22.0","Water","ABD","","Assured Water Supply"
"19.0","Rootzone to clean water","8.0","Water","ABD","","Wastewater Management"
"20.0","Solid waste management","16.0","Water","ABD","","Solid Waste Management"
"21.0","Sanitation","2.0","Water","ABD","","Wastewater Management"
"22.0","Electricity distribution - Smart grid and meterin","364.0","Electricity & Solar","ABD","","Power Supply"
"23.0","Solar energy supply","","Electricity & Solar","ABD","","Power Supply"
"24.0","Street lighting","","Electricity & Solar","ABD","","Power Supply"
"25.0","Security","27.0","N/A","ABD","","Safety & Security"
"26.0","Riverfront development","100.0","N/A","ABD","","Public Open Space"
"27.0","Open spaces","4.0","N/A","ABD","","Public Open Space"
"28.0","Fire statations - 2","3.0","N/A","ABD","","Safety & Security"
"29.0","Low income skill development and healthcare","","N/A","ABD","","Economy & Employment"
"30.0","Build affordable housing","40.0","N/A","ABD","","Housing & Inclusiveness"
"31.0","e-gov","","N/A","Pan City","","Governance"
"32.0","IT connectivity","146.0","N/A","Pan City","","Governance"
"33.0","Transit hub","","N/A","Pan City","","Transportation & Mobility"
"34.0","Start up zone","","N/A","Pan City","","Economy & Employment"
"35.0","Adaptive Traffic Control System","123.0","Transport","Pan City","","Transportation & Mobility"
"36.0","Bus System ITMS","70.0","Transport","Pan City","","Transportation & Mobility"
"37.0","Command Control Center","42.0","Transport","Pan City","","Transportation & Mobility"
"38.0","Total Smart Parking","15.0","Transport","Pan City","","Transportation & Mobility"
"39.0","Intelligent Road Management","3.0","Transport","Pan City","","Transportation & Mobility"
"40.0","Citilogik Solution","18.0","Transport","Pan City","","Transportation & Mobility"
"41.0","e-Chalaan","1.0","Transport","Pan City","","Transportation & Mobility"
"42.0","Connectivity Costs","-","Transport","Pan City","","Transportation & Mobility"
"43.0","Pilot DMA for 24X7 Water","22.0","Pan-Water","Pan City","","Assured Water Supply"
"44.0","Bulk Meters","83.0","Pan-Water","Pan City","","Assured Water Supply"
"45.0","Helium leak identification","19.0","Pan-Water","Pan City","","Assured Water Supply"
"46.0","Smart Commercial Meters","60.0","Pan-Water","Pan City","","Assured Water Supply"
"47.0","Smart Domestic Meters","20.0","Pan-Water","Pan City","","Assured Water Supply"
"48.0","Customer Mapping and Survey","5.0","Pan-Water","Pan City","","Assured Water Supply"
"49.0","Naidu STP Energy Generation","6.0","Pan-Water","Pan City","","Assured Water Supply"
"50.0","Mobile app and website","1.0","Pan-Water","Pan City","","Assured Water Supply"
"51.0","Online bill payment","1.0","Pan-Water","Pan City","","Assured Water Supply"
"52.0","Consultancy service","2.0","Pan-Water","Pan City","","Assured Water Supply"
"53.0","Consumer Awareness","20.0","Pan-Water","Pan City","","Assured Water Supply"
