"List of Projects as per Smart City Proposal : Jaipur","","","","","",""
"Sl. No.","Projects in SCP","Cost (Rs. in Crore)","City Tag","Size","Indicator","Unknown"
"1.0","Road Infrastructure major corridor for NMT modes including segregated
cycle tracks","52.7","Smart Mobility","ABD","","Transportation & Mobility"
"2.0","Footpath development for providing barrier free movement","8.1","Smart Mobility","ABD","","Transportation & Mobility"
"3.0","Carriageway improvements including provision at bus shelters for providing
universal access","29.8","Smart Mobility","ABD","","Transportation & Mobility"
"4.0","Pedestrian friendly Intersection design and crossings","2.5","Smart Mobility","ABD","","Transportation & Mobility"
"5.0","e-Rickshaws Stands","2.0","Smart Mobility","ABD","","Transportation & Mobility"
"6.0","Public Bycycle sharing system","3.0","Smart Mobility","ABD","","Transportation & Mobility"
"7.0","Intelligent IPT (auto and taxi) stands","5.2","Smart Mobility","ABD","","Transportation & Mobility"
"8.0","Multimodal integration at 2 UG Metro stations","10.0","Smart Mobility","ABD","","Transportation & Mobility"
"9.0","Signage & Marking","5.5","Smart Mobility","ABD","","Transportation & Mobility"
"10.0","Digital Signage
(Special designed boards with smart features (Variable Message Sign Boards) for traffic & tourism","1.48","Smart Mobility","ABD","","Transportation & Mobility"
"11.0","Intelligent Traffic Management System - Synchronized Traffic Signals for
optimum traffic flow","1.2","Smart Mobility","ABD","","Transportation & Mobility"
"12.0","Intelligent Parking at Jaleb Chowk, Badi Chowpar, Ramvivas Bagh and 7 on
street parking - 3080 ecs","8.18","Smart Mobility","ABD","","Mixed Land Use; Compactness"
"13.0","Adaptive reuse of heritage structures of Jaleb Chowk to global art square","23.0","Smart Heritage & Tourism","ABD","","Identity & Culture"
"14.0","Adaptive reuse of heritage structures of old town hall to city musuem +
high end theatre","130.0","Smart Heritage & Tourism","ABD","","Identity & Culture"
"15.0","Adaptive reuse of of heritage structures of Rajasthan school of Art to
tourist interprator centre","20.0","Smart Heritage & Tourism","ABD","","Identity & Culture"
"16.0","Adaptive reuse of heritage structiures of old Police HQ to Jaipur Habitat
Centre","31.0","Smart Heritage & Tourism","ABD","","Identity & Culture"
"17.0","Talkatora late redevelopment - restoring & cleaning of lake","30.0","Smart Heritage & Tourism","ABD","","Public Open Space"
"18.0","Talkatora late redevelopment -  high quality laser water re-use","50.0","Smart Heritage & Tourism","ABD","","Wastewater Management"
"19.0","Redevelopment of Govind Dev ji temple","35.0","Smart Heritage & Tourism","ABD","","Identity & Culture"
"20.0","Eco-friendly cool corridor","1.5","Smart Heritage & Tourism","ABD","","Identity & Culture"
"21.0","Underground cabling - for OH utilities","50.0","Smart Heritage & Tourism","ABD","","Power Supply"
"22.0","Digital displays & information kiosks at heritage gates","1.0","Smart Heritage & Tourism","ABD","","Identity & Culture"
"23.0","Heritage Walks (Smart poles/ CCTV/ Wi-Fi - to be covered in other schemes)
+ 11 heritage gates development","2.0","Smart Heritage & Tourism","ABD","","Identity & Culture"
"24.0","Ram Nivas Bagh Improvement","15.0","Smart Heritage & Tourism","ABD","","Identity & Culture"
"25.0","Faade Improvement","35.0","Smart Heritage & Tourism","ABD","","Identity & Culture"
"26.0","Night Market","1.0","Smart Heritage & Tourism","ABD","","Identity & Culture"
"27.0","Dedicated vending zone","1.0","Smart Heritage & Tourism","ABD","","Economy & Employment"
"28.0","Waste Water Recycling for Select Public Buildings and Monuments","15.0","Smart & Sustainable Civic Infrastructure","ABD","","Wastewater Management"
"29.0","Storm water reuse for public buildings an selected monuments, Schools
and Colleges and Parks","2.0","Smart & Sustainable Civic Infrastructure","ABD","","Wastewater Management"
"30.0","Rejuvenation of traditional Bawadis in Project Area","1.0","Smart & Sustainable Civic Infrastructure","ABD","","Identity & Culture"
"31.0","RWH Proposal for all  Public Buildings,Monuments, Schools and Colleges
and Parks in the project","1.0","Smart & Sustainable Civic Infrastructure","ABD","","Identity & Culture"
"32.0","Rehabililtatlon of old sewer line of Walled city area by trenchless
technology","544.0","Smart & Sustainable Civic Infrastructure","ABD","","Wastewater Management"
"33.0","Smart toilets- Coin operated eniry,self- cleansing,Solar Powered,GPRS connected, with display Boards and Voice Guidance.","3.0","Smart & Sustainable Civic Infrastructure","ABD","","Wastewater Management"
"34.0","Smart meters for water connections for automatic meter reading","35.0","Smart & Sustainable Civic Infrastructure","ABD","","Assured Water Supply"
"35.0","Automated online water quality Monitoring System for the distribution
network,GPRS connected.","1.0","Smart & Sustainable Civic Infrastructure","ABD","","Assured Water Supply"
"36.0","WIFI network covering the entire selected area","52.0","Smart & Sustainable Civic Infrastructure","ABD","","Governance"
"37.0","Air Quality Monitoring With App","0.5","Smart & Sustainable Civic Infrastructure","ABD","","Reduced Pollution"
"38.0","Mobile applica1ion enabling citizens to report street problems connecting
to e- governance portal","1.0","Smart & Sustainable Civic Infrastructure","ABD","","Governance"
"39.0","CCTV proposed on 4 signalised intersections, select monuments and
heritage walk corridor of 11.5 m length","2.0","Smart & Sustainable Civic Infrastructure","ABD","","Safety & Security"
"40.0","Incident alerts app, Helpline and SOS Mobile number and Panic Buttons","0.5","Smart & Sustainable Civic Infrastructure","ABD","","Safety & Security"
"41.0","Assured Electricity Supply with atleast 15% or Smart City's Energy
requirement coming from solar","41.0","Smart & Sustainable Civic Infrastructure","ABD","","Power Supply"
"42.0","Infrastructure Upgradation for Chaugan Stadium with provision for solar
power and energy efficient lighting","35.0","Smart & Sustainable Civic Infrastructure","ABD","","Power Supply"
"43.0","Implementation of common ticketing system on public entity owned transit systems & monuments (JCTL Buses, JMRC, monuments, etc.) by MSP","16.5","Smart Multi-Modal Mobility","Pan City","","Transportation & Mobility"
"44.0","extension of common ticketing system to private operators private mini buses.IPT( auto - e rickshaws, etc.)by MSP","2.5","Smart Multi-Modal Mobility","Pan City","","Transportation & Mobility"
"45.0","Deployment of scheduing, depot management, maintenance systems for
JCTSL","6.8","Smart Multi-Modal Mobility","Pan City","","Transportation & Mobility"
"46.0","Deployment of fleet management systems for public entity owned transit
system (JCTSL, JMRC)","2.5","Smart Multi-Modal Mobility","Pan City","","Transportation & Mobility"
"47.0","Extension of Fleet Management Systems private operators (Private Mini
Buses, IPTs)","12.5","Smart Multi-Modal Mobility","Pan City","","Transportation & Mobility"
"48.0","Deployment of Public Transit Central operations centre systems","33.0","Smart Multi-Modal Mobility","Pan City","","Transportation & Mobility"
