"List of Projects as per Smart City Proposal : Ahmedabad","","","","","",""
"Sl. No.","Projects in SCP","Cost (Rs. in Crore)","City Tag","Size","Indicator","Unknown"
"1.0","Intermodal hub","125.0","Retrofitting Wadaj TOZ","ABD","","Unknown"
"2.0","Utility Network (Water, sewerage, drainage, roads, street lighting, etc)","385.0","Retrofitting Wadaj TOZ","ABD","","Unknown"
"3.0","External Utility Network (Water, sewerage, drainage, roads, etc)","28.0","Redevelopment Wadaj Slum","ABD","","Unknown"
"4.0","Wastewater Treatment Plant)","125.0","Redevelopment Wadaj Slum","ABD","","Wastewater Management"
"5.0","Residential & Allied Development (including internal utility network)","451.0","Redevelopment Wadaj Slum","ABD","","Unknown"
"6.0","Solar Energy","22.0","Smart Features","ABD","","Power Supply"
"7.0","Waste Segregation","1.0","Smart Features","ABD","","Solid Waste Management"
"8.0","Rain Water Harvesting","15.0","Smart Features","ABD","","Assured Water Supply"
"9.0","Smart Metering","26.0","Smart Features","ABD","","Assured Water Supply"
"10.0","OFC Network","2.0","Smart Features","ABD","","Unknown"
"11.0","Wifi Hotspots","1.0","Smart Features","ABD","","Governance"
"12.0","NMT Tracks / Cycle Tracks","2.0","Smart Features","ABD","","Transportation & Mobility"
"13.0","Intelligent Traffic Management","6.0","Smart Features","ABD","","Transportation & Mobility"
"14.0","Smart Parking","11.0","Smart Features","ABD","","Transportation & Mobility"
"15.0","Energy Efficient Street Lighting","2.0","Smart Features","ABD","","Power Supply"
"16.0","Surveillance Cameras","1.0","Smart Features","ABD","","Unknown"
"17.0","Other","548.0","Smart Features","ABD","","Unknown"
"18.0","Integrated Transit Management Platform (GPS & AVLS, PIS, etc)","90.0","Smart Transit Integrated Transit Management Platform + CCPS","Pan City","","Transportation & Mobility"
"19.0","Common Card Payment System (Smart Cards, readers, software, etc)","104.0","Smart Transit Integrated Transit Management Platform + CCPS","Pan City","","Transportation & Mobility"
"20.0","Command & Control Centre + OFC Network connectivity","203.0","Command & Control Centre, OFC Network, and Integration of Services","Pan City","","Governance"
"21.0","Surveillance Equipment & Integration, Intelligent Traffic Management","107.0","Command & Control Centre, OFC Network, and Integration of Services","Pan City","","Governance"
"22.0","Integration with other services & Real Time Tracking / Monitoring","35.0","Command & Control Centre, OFC Network, and Integration of Services","Pan City","","Governance"
