"List of Projects as per Smart City Proposal : Solapur","","","","","",""
"Sl. No.","Projects in SCP","Cost (Rs. in Crore)","City Tag","Size","Indicator","Unknown"
"","100% waste management","34.0","N/A","ABD","","Solid Waste Management"
"1.0","44 waste collection vehicles and street sweeping machine","","N/A","ABD","","Solid Waste Management"
"2.0","smart bins","","N/A","ABD","","Solid Waste Management"
"3.0","waste transfer station","","N/A","ABD","","Solid Waste Management"
"4.0","e- toilets","","N/A","ABD","","Solid Waste Management"
"","NMT","","","","",""
"5.0","Improvement in infrastructure for non- motorized transport redesigning of
126 km street sections","268.0","NMT","ABD","","Transportation & Mobility"
"6.0","development of 12 km cycle tracks","4.0","NMT","ABD","","Transportation & Mobility"
"","Clean and efficient energy usage","154.0","Clean and efficient energy usage","ABD","","Power Supply"
"7.0","8330 units of solar street lighting","","Clean and efficient energy usage","ABD","","Power Supply"
"8.0","4630 smart poles","","Clean and efficient energy usage","ABD","","Power Supply"
"9.0","installation of roof top solar photo voltaic panel","","Clean and efficient energy usage","ABD","","Power Supply"
"10.0","underground cabling","","Clean and efficient energy usage","ABD","","Power Supply"
"","Efficient transportation","976.0","Efficient transportation","ABD","","Transportation & Mobility"
"11.0","Development of 140 bus queue shelters","","Efficient transportation","ABD","","Transportation & Mobility"
"12.0","Construction of bus depot and commercial complex","","Efficient transportation","ABD","","Transportation & Mobility"
"13.0","Junction improvement with CCTV and ITS systems for 16 junctions","","Efficient transportation","ABD","","Transportation & Mobility"
"","Area wide surveillance network","","","","",""
"14.0","Smart parking","","Area wide surveillance network","ABD","","Transportation & Mobility"
"15.0","Development of railway station","","Area wide surveillance network","ABD","","Transportation & Mobility"
"16.0","Development of by pass and grade separator","","Area wide surveillance network","ABD","","Transportation & Mobility"
"","Efficient water supply","96.0","Efficient Water Supply","ABD","","Assured Water Supply"
"17.0","111 km of distribution network","","Efficient Water Supply","ABD","","Assured Water Supply"
"18.0","smart meters","","Efficient Water Supply","ABD","","Assured Water Supply"
"19.0","storage infrastructure","","Efficient Water Supply","ABD","","Assured Water Supply"
"","Efficient waste water recycling","284.0","Efficient waste wate recycling","ABD","","Wastewater Management"
"20.0","refurbishment of sewerage collection network","","Efficient waste wate recycling","ABD","","Wastewater Management"
"21.0","development of tertiary treatment plant","","Efficient waste wate recycling","ABD","","Wastewater Management"
"","Efficient use of public spaces","94.0","Efficient use of public spaces","ABD","","Public Open Space"
"22.0","development of Siddheshwar lake area","","Efficient use of public spaces","ABD","","Public Open Space"
"23.0","development of parks and gardens","","Efficient use of public spaces","ABD","","Public Open Space"
"24.0","Light and Sound show","","Efficient use of public spaces","ABD","","Public Open Space"
"25.0","Night market","","Efficient use of public spaces","ABD","","Public Open Space"
"26.0","Other costs","58.0","Efficient use of public spaces","ABD","","Public Open Space"
"27.0","Metering for water supply connections","180.0","N/A","Pan City","","Assured Water Supply"
"28.0","Mapping of utilities and implementation of scada","54.0","N/A","Pan City","","Unknown"
"29.0","Vehicle tracking & Monitoring System","10.0","N/A","Pan City","","Transportation & Mobility"
"30.0","Provision of bulk meters","30.0","N/A","Pan City","","Unknown"
"31.0","service level data and analytics center","5.0","N/A","Pan City","","Governance"
