"List of Projects as per Smart City Proposal : Bhagalpur","",""
"Sl. No.","Projects in SCP","Cost (Rs. in Crore)"
"","Area Based Development (ABD)",""
"1.0","E Governance, M Governance","18.0"
"2.0","River Front Development","107.5"
"3.0","Conservation of Built & Cultural Heritage","21.1"
"4.0","Market Development & Skill Training","123.0"
"5.0","Rejuvenation of existing Large open spaces with added activities","25.2"
"6.0","Recreation& Entertainment","12.6"
"7.0","Multimodal intelligent  Public Transport system","31.84"
"8.0","Improve vehicular movement and decongestion of roads","138.5"
"9.0","Encourage NMT and pedestrian safety","25.1"
"10.0","24X7 water supply","45.55"
"11.0","Development of UG sewerage system with SBR STP","119.41"
"12.0","Development of UG Storm water drains","52.56"
"13.0","SWM system","17.81"
"14.0","Robust Power Infrastructure","114.26"
"15.0","Robust IT Infrastructure","54.6"
"16.0","Energy Efficiency, Pollution Control","24.27"
"17.0","Urban Poor and Slums","51.5"
"18.0","Informal sectror and hawkers","49.0"
"19.0","Improve Quality of Health, Education, Safety","22.2"
"20.0","ABD Contingency","52.7"
"","Pan City",""
"21.0","ITS Command and Control Center","31.4"
"22.0","ITS Intelligent Traffic Management System (ITMS)","65.8"
"23.0","ITS iBus Bhagalpur","43.0"
"24.0","ISWM","44.05"
"25.0","Pan Contingency","18.43"
"Note-  This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR preparation, PMC, O&M etc.","",""
