"List of Projects as per Smart City Proposal : Panaji","",""
"Sl. No.","Projects in SCP","Cost (Rs. in Crore)"
"","Area Based Development (ABD)",""
"1.0","Church Square Revitalization","26.2"
"2.0","Interlinking Core city and Patto area for citizens and tourist","40.32"
"3.0","Integrated Urban Water Management","42.75"
"4.0","Service improvement for urban poor in Mala Fontainhas area","12.16"
"5.0","Provision of basic services in entire area (2sqkm)","330.5"
"6.0","Conservation of Heritage & Culture","18.2"
"7.0","Biodiversity","3.05"
"","Pan City",""
"","SMART TRANSPORTATION AND ECO MOBILITY",""
"8.0","Digital Enabled System  for Public Bike Share System","8.48"
"9.0","Digital Components of PBS","8.67"
"10.0","Smart Component for buses (GPS, automated fare collection etc.)","10.21"
"11.0","Smart Component for Management of Ferry Lines","3.52"
"12.0","Air Quality monitoring stations","4.05"
"13.0","Smart Parking","1.725"
"14.0","Smart Component for Management of Ferry Lines","3.52"
"15.0","Air Quality monitoring stations","4.05"
"16.0","Smart Parking","1.725"
"","SMART ENVIRONMENTAL SERVICES",""
"17.0","Trolley Bins with RFID tags--","0.4"
"18.0","Bin Clearance --RFID readers and GPRS Systems, GPS devices for waste-","0.225"
"19.0","Biometric attendance in 12 Zonal offices-","0.31"
"20.0","CC TV surveillance of black spots -","1.45"
"21.0","MRF and Resource center:","8.4"
"22.0","SCADA/PLC/ICT for ISWM --","1.02"
"Note-  This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR preparation, PMC, O&M etc.","",""
