"List of Projects as per Smart City Proposal : Imphal","",""
"Sl. No.","Projects in SCP","Cost (Rs. in Crore)"
"","Area Based Development",""
"1.0","Central Business District",""
"2.0","Encouraging NMT","17.3"
"3.0","Multi Level Car Parking Cum Office /Comm","157.1"
"4.0","Conversion of Street Lighting","10.3"
"5.0","Road Geometry and Junction Design","169.8"
"6.0","Other Interventions","157.1"
"7.0","Kangla Fort Rejuvenation Program (KAFREP)","78.5"
"8.0","Other Tourism Interventions","165.3"
"9.0","Education Hub",""
"10.0","Sports Infrastructure","75.1"
"11.0","Other Facilities","108.3"
"12.0","Other Infrastructure & Allied Solutions",""
"13.0","Public Health & Social Safety","18.1"
"14.0","Renewable Energy","22.0"
"15.0","IT Connectivity & Digitization","2.1"
"16.0","Smart IT Based Solutions","49.6"
"","Pan City Solutions",""
"17.0","Smart Mobility","189.3"
"18.0","Dedicated Cycle Routes","41.3"
"19.0","Pedestrian Pavements","72.7"
"20.0","Smart Solid waste Mangement System","10.2"
"Note-  This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR preparation, PMC, O&M etc.","",""
