"List of Projects as per Smart City Proposal : Amritsar","",""
"Sl No.","Projects in SCP","Cost (Rs. In Crore)"
"","AREA BASED DEVELOPMENT (ABD)",""
"1.0","24x7 ELECTRICAL SUPPL","5.9"
"2.0","ADEQUATE WATER SUPPLY INCLUDING WASTE  WATER RECYCLING & STORM WATER MANAGEMENT","335.44"
"3.0","SANITATION INCLUDING SOLID WASTE MANAGEMENT","18.98"
"4.0","MOBILITY & INTELLIGENT TRAFFIC MANAGEMENT","136.75"
"5.0","OPEN SPACE & VISIBLE IMPROVEMENT OF URBAN AREA","113.08"
"6.0","REDEVLOPMENT OF PUBLIC AMENITIES & FACILITIES BY DECONGESTING CITY CORE","202.33"
"7.0","RELOCATION OF POLLUTING DENSED URBAN CLUSTERS FROM CORE CITY","784.0"
"","PAN CITY",""
"8.0","TRAFFIC & MOBILITY","656.9"
"9.0","INTELLIGENT SOLID WASTE MANAGEMENT","442.5"
"10.0","E GOVERNANCE","90.0"
"11.0","PIPED LOCAL GAS NETWORK DISTRIBUITION SYSTEM","600.0"
"Note-  This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR preparation, PMC, O&M etc.","",""
