"List of Projects as per Smart City Proposal : Kalyan-Dombivali","",""
"Sl No.","Projects in SCP","Cost (Rs. In Crore)"
"","Area Based Development (ABD)",""
"","Retrofit area",""
"1.0","Kalyan station precinct improvement","426.75"
"2.0","Network of complete streets","34.85"
"3.0","Junction design","5.1"
"4.0","Development of 2km long waterfront","24.0"
"5.0","Bio-filter green house for waste water","1.0"
"6.0","Solar panels and LED lights","6.46"
"7.0","Security infrastructure","2.0"
"8.0","Flood protection wall","2.0"
"9.0","Closure of Adharvadi dumpsite","31.0"
"10.0","10 MT bio-methenation plannt at Wadeghar","2.0"
"11.0","Garbage bins at hh level foe segregation & IEC campaign","0.18"
"12.0","Processing and treatment at Umbarde (waste to energy)","190.0"
"13.0","Augmentation of sewerage network","12.6"
"14.0","Augmentation of pumping station capacity","12.0"
"15.0","Installation of grid connection solar PV panels","20.8"
"16.0","Laying of underground cables","19.2"
"17.0","Installation of smart meters at hh level","30.61"
"18.0","Lake interlinking and realigning of storm water drains","120.0"
"19.0","Development of lake precinct","1.5"
"20.0","Preparation of town planning scheme for the area","0.0"
"21.0","Development of physical and social trunk infrastructrue","115.3"
"","Pan City",""
"22.0","City Service Management Centre- My City App","35.5"
"23.0","City Service Management Centre- Smart water managemen","118.73"
"24.0","City Service Management Centre- Sewerage management","4.25"
"25.0","City Service Management Centre- Automated solid waste management","1.43"
"26.0","City Service Management Centre- Greivance Redressal","0.0"
"27.0","Intelligent traffic management system","32.71"
"28.0","Transit management- Vehicle tracking GPS for buses","53.55"
"29.0","Parking management- wifi enabled parking meters","13.0"
"30.0","Safety and surveillance system","125.0"
"Note-  This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR preparation, PMC, O&M etc.","",""
