"List of Projects as per Smart City Proposal : Agra","",""
"SL No.","Projects in SCP","Cost (Rs. In Crore)"
"","Area Based Development (ABD)",""
"","HERITAGE TOURISM",""
"","Improvement of vicinity of lesser known heritage monuments","28.68"
"1.0","Kali Masjid",""
"2.0","Diwanji ka Maqbara",""
"3.0","Dargah of Lal Bukhar",""
"4.0","Teli pada mosque",""
"5.0","Traditional Houses",""
"","Enhancing experience of accessing","197.27"
"6.0","Improvement of west gate, east and south gate corridors",""
"7.0","Underground cabling",""
"8.0","C.C roads",""
"9.0","footpaths",""
"10.0","landscaping",""
"11.0","CCTVs",""
"12.0","Firefighting system",""
"","Development of Mughal Museum","141.9"
"13.0","Museum",""
"14.0","Auditorium",""
"15.0","Underground parking",""
"","Development of Taj Orientation centre","231.8"
"16.0","Main complex",""
"17.0","Parking complex",""
"18.0","Horticulture",""
"19.0","Open Air Theatre",""
"20.0","Restaurant",""
"","Sustainable Livelihood Development",""
"21.0","Development of streets-stone inlay,zardosi,flower market streetspreservation of urban
morphology","2.25"
"22.0","Micro Skill Development centres Street vending zone","1.75"
"23.0","Street vending zone","8.0"
"","PHYSICAL INFRASTRUCTURE",""
"","Building Resilient Infrastructure",""
"","Pilot 24x7 water supply(Metering,SCADA system)",""
"24.0","New OHT(6000 KL)","9.0"
"25.0","CWR(2000 KL)","2.4"
"26.0","Distribution line(new+replacement)","60.0"
"27.0","Rising main","12.0"
"28.0","New/replacement of house connections","7.4"
"29.0","Metering system","11.4"
"30.0","SCADA","1.0"
"31.0","Pumping plant+UPPCL","2.0"
"","100% wastemanagement",""
"32.0","Door-to-door collection and transportation","1.0"
"33.0","Smart waste bins","0.23"
"34.0","Construction of individual  toilets","0.3"
"35.0","Upgradation of community toilets","0.02"
"36.0","Conversion of shamshanghat to e-shamshangha","3.0"
"37.0","Recycle or Bring Back centre","0.75"
"38.0","Taj East Drain Improvement plan","14.0"
"39.0","Underground cabling duct","0.61"
"40.0","Rainwater harvesting pits","6.7"
"41.0","Rejuvenation of lakes (Paktola lake)","5.0"
"42.0","Rehabilitation of major roads","160.0"
"43.0","Rehabilitation of minor roads","116.03"
"","Sewerage network",""
"44.0","Provision of household sewer connections","34.95"
"45.0","Laying of sewer line","87.0"
"46.0","Construction of STP","30.0"
"47.0","scada system for sewerage system","2.0"
"","SOCIAL INFRASTRUCTURE",""
"","Social Inclusiveness",""
