"List of Projects as per Smart City Proposal : Kota","",""
"Sl No.","Projects in SCP","Cost (Rs. In Crore)"
"","Area Based Development (ABD)",""
"","Infrastructure and Affordable Housing",""
"1.0","Integrated Road re-design - Arterial (16 km) + Others (165 km)","214.0"
"2.0","Lake Dev. Cost + facilities + Activities","50.0"
"3.0","24x7 water supply and Rainwater harvesting","173.0"
"4.0","Sewerage and Septage Management","214.0"
"5.0","Solid Waste Management + Access to Toilets","33.0"
"6.0","Nalla Development","28.0"
"7.0","Street Lighting","10.0"
"8.0","Cycle sharing system","3.0"
"9.0","Housing for all and Social Infrastructure","39.0"
"10.0","Energy Security and sourcing","98.0"
"11.0","Gardens, parks and open spaces","11.0"
"12.0","Smart features","20.0"
"13.0","Economic Activities (Development of Dussehra ground)","175.0"
"","Pan City",""
"14.0","Water Management (Smart metering + SCADA + Helium based leak detection)","189.0"
"15.0","Solid Waste management   (GIS based mapping of routes and GPS/ GSM based tracking of vehicles; Smart community bins with fill sensors)","15.0"
"16.0","Smart Integrated Transportation System  (Smart intelligent transportation system, Smart parking, City wide-app/website,Command Control Centre with OFC n/w)","115.0"
"Note-  This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR preparation, PMC, O&M etc.","",""
