"List of Projects as per Smart City Proposal : Shivamogga","",""
"Sl No.","Projects in SCP","Cost (Rs. In Crore)"
"","Area Based Development (ABD)",""
"","Improvement  of Basic Infrastructure",""
"1.0","Water Supply- 24*7, Smart Meters","30.15"
"2.0","SWM - DWCC, Abattoir","10.15"
"3.0","Sanitation - Public Toilets, E Toilets","2.4"
"4.0","Storm Water Drain","8.0"
"5.0","Underground ducting","264.0"
"6.0","Slum Redevelopment","81.0"
"","Traffic & Transport Infrastructure",""
"7.0","Railway station","30.0"
"8.0","Public transport system","24.86"
"9.0","NMT","44.45"
"10.0","Traffic Management","35.5"
"","Eco Tourism & Cultural Hub Development",""
"11.0","River front development","421.12"
"12.0","Improvement of Shivappana Nayaka palace","43.54"
"","Knowledge Hub",""
"13.0","Knowledge & Research Hub","46.22"
"","Green & Sustainable Initiatives",""
"14.0","Green Initiatives","168.84"
"15.0","Sustainable initiatives","248.52"
"","Cetralised Control Room",""
"16.0","Street-lighting control system","2.97"
"17.0","Vehicle Tracking","3.76"
"18.0","Integrated Ticketing","15.55"
"19.0","Variable Message signs","3.38"
"20.0","Smart Parking","3.48"
"21.0","CCTV Camera Surveillance System","9.85"
"22.0","Waste Management System","0.44"
"23.0","City Management Centre","19.2"
"Note-  This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR preparation, PMC, O&M etc.","",""
