"City Name","S.No","Project","ABD/Pan
City/Other","Total SCP Cost
(in Crores)",""
"Satna","1.0","""Core Precinct"" Mixed-use TOD (SPV and PPP)","ABD","207.64",""
"Satna","2.0","Multi-product Industrial Park (SPV and PPP)","ABD","16.76",""
"Satna","3.0","Medium Density Residential Neighbourhoods","ABD","174.52",""
"Satna","4.0","Baghelkhand Art and Craft Centre","ABD","21.56",""
"Satna","5.0","Lake Nector Development","ABD","10.57",""
"Satna","6.0","Synthesis -fitness and wellness centre","ABD","41.26",""
"Satna","7.0","Canal front Development","ABD","15.14",""
"Satna","","Life Cell Precinct","","",""
"Satna","8.0","Economic Infrastructure","ABD","31.01",""
"Satna","9.0","Institutional Infrastructure","ABD","46.29",""
"Satna","10.0","Social Infrastructure","ABD","71.5",""
"Satna","","Transit Corridor & Facilities","","",""
"Satna","11.0","Development of Arterial Roads, Sub-arterial roads, collector streets","ABD","96.51",""
"Satna","12.0","Other Urban Mobility Component","ABD","20.42",""
"Satna","","Smart Physical Infrastructure","","",""
"Satna","13.0","24x7 Water Supply","ABD","34.24",""
"Satna","14.0","Waste water treatment and storm water management","ABD","80.59",""
"Satna","15.0","Solid Waste Management","ABD","1.96",""
"Satna","16.0","24x7 Power Supply","ABD","207.99",""
"Satna","17.0","Gas Distribution","ABD","19.51",""
"Satna","18.0","Lighting, Security and Surveilliance","ABD","32.82",""
"Satna","19.0","Telecom and IT connectivity","ABD","7.0",""
"Satna","","Underground Ducting","ABD","34.1",""
"Satna","20.0","SATNA Synergy Lab","","",""
"Satna","21.0","Central Command and Control Centre (C & CC)","Pan City","20.0",""
"Satna","22.0","Multi-purpose Backbone OFC Comm. Network intgrated with Low Power","Pan City","20.0",""
"Satna","23.0","Utilities & Environment Management","Pan City","31.02",""
"Satna","24.0","Safety & Security Management","Pan City","102.18",""
"Satna","25.0","Traffic Management","Pan City","36.5",""
"Satna","","Learning  & Skill Management","Pan City","25.57",""
"Satna","26.0","Information Dissemination & Universal Payment Card","Pan City","50.4",""
"Note- This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR preparation, PMC,
O&M etc.","","","","",""
