"S.No","Project","ABD/Pan City/Other","Total SCP Cost
(in Crores)",""
"1.0","Revitalization of historic heart of city","ABD","1166.72",""
"2.0","Integrated mobility towards creating vibrant destination at Shivajinagar
bus station and Russel Market precinct","ABD","233.12",""
"3.0","Integrated mobility towards creating vibrant destination at Majestic bus
station","ABD","1.0",""
"4.0","Upgradation and redevelopment of historic economic centers - KR
Market","ABD","53.08",""
"5.0","Upgradation and redevelopment of historic economic centers -
Malleshwaram market","ABD","131.83",""
"6.0","Innovation of downstream clean-up of drainage system - Ulsoor Lake","ABD","24.42",""
"7.0","Innovation of downstream clean-up of drainage system - Sankey Tank","ABD","12.94",""
"8.0","Protection and redevelopment of centrally located parkland","ABD","6.07",""
"9.0","Increasing affordable housing stock through slum redevelopment
(Swathanthra Palya Slum Redevelopment)","ABD","43.93",""
"10.0","Retrofitting of a health care facility (KC General Hospital)","ABD","12.01",""
"11.0","Municipal Finance","Pan City","1.7",""
"12.0","Improvement in property tax collections for the whole city in a phased
manner","Pan City","5.0",""
"13.0","Grievance Management -Central command centre for accepting citizen
queries","Pan City","31.11",""
"14.0","Participatory Budgeting","Pan City","2.0",""
"15.0","Online project information system for public project management","Pan City","5.0",""
"16.0","Open data portal for citizen information and innovation","Pan City","5.0",""
"17.0","Improvement of Neighborhood Safety","Pan City","32.4",""
"18.0","B-TRIPS (Bengaluru Travel Related Information and Planning System)","Pan City","25.0",""
"","Total","","1792.33",""
"Note- This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR preparation,
PMC, O&M etc.","","","",""
