"City Name","S.No","Project","ABD/Pan City/Other","Total SCP Cost
(in Crores)",""
"Pimpri-Chinchwad","","Connected Streets","","",""
"Pimpri-Chinchwad","1.0","Street-scaping","ABD","265.3",""
"Pimpri-Chinchwad","2.0","Junction Improvement","ABD","5.3",""
"Pimpri-Chinchwad","3.0","Accessibility Improvements to BRTS stations","ABD","10.0",""
"Pimpri-Chinchwad","4.0","BRTS stops & Bus Stops Improvement","ABD","20.0",""
"Pimpri-Chinchwad","5.0","Multi-modal integration at Kasarvadi Railway, BRTSand Metro Stations","ABD","30.0",""
"Pimpri-Chinchwad","6.0","TOD at Pimple Gurav Bus Station","ABD","15.0",""
"Pimpri-Chinchwad","7.0","Parking management","ABD","1.0",""
"Pimpri-Chinchwad","8.0","Shifting electric cables underground","ABD","15.0",""
"Pimpri-Chinchwad","","Connected Parks","","",""
"Pimpri-Chinchwad","9.0","Major Parks Redevelopment","ABD","52.8",""
"Pimpri-Chinchwad","10.0","Playground Improvement","ABD","25.0",""
"Pimpri-Chinchwad","11.0","Urban forestry","ABD","10.0",""
"Pimpri-Chinchwad","12.0","Beautification of space under f1yover","ABD","5.0",""
"Pimpri-Chinchwad","","Connected Systems","","",""
"Pimpri-Chinchwad","13.0","Storm water drainage development","ABD","10.0",""
"Pimpri-Chinchwad","14.0","Sewerage network Improvement","ABD","10.0",""
"Pimpri-Chinchwad","15.0","Recycling of waste water","ABD","5.0",""
"Pimpri-Chinchwad","16.0","Solar power generation","ABD","15.0",""
"Pimpri-Chinchwad","17.0","Community level composting","ABD","0.5",""
"Pimpri-Chinchwad","18.0","Community level rainwater harvesting","ABD","17.5",""
"Pimpri-Chinchwad","","Connected People","","",""
"Pimpri-Chinchwad","19.0","Refurbishment of sports and educational facilities","ABD","25.0",""
"Pimpri-Chinchwad","20.0","Hawking zone development","ABD","10.0",""
"Pimpri-Chinchwad","21.0","Retrofitting municipal hospital","ABD","10.0",""
"Pimpri-Chinchwad","22.0","Installation of public e-tonets (30 no's)","ABD","3.0",""
"Pimpri-Chinchwad","23.0","Development of vegetable market","ABD","5.0",""
"Pimpri-Chinchwad","","Pan City","","",""
"Pimpri-Chinchwad","","Intelligence (Live Data capture)","","",""
"Pimpri-Chinchwad","24.0","Smart water Supply","Pan City","34.1",""
"Pimpri-Chinchwad","25.0","Smart Sewerage","Pan City","3.0",""
"Pimpri-Chinchwad","26.0","Smart Traffic management","Pan City","42.0",""
"Pimpri-Chinchwad","27.0","Smart Street-lighting","Pan City","50.0",""
"Pimpri-Chinchwad","28.0","Environmental Monitoring","Pan City","15.0",""
"Pimpri-Chinchwad","29.0","City Survelliance","Pan City","50.0",""
"Pimpri-Chinchwad","30.0","Optical Fiber Cabling","Pan City","30.0",""
"Pimpri-Chinchwad","31.0","Telecommunication systems","Pan City","10.0",""
"Pimpri-Chinchwad","32.0","Command & Control Center","Pan City","25.0",""
"Pimpri-Chinchwad","33.0","GIS-enabled Enterprise Resource Planning","Pan City","95.0",""
"Pimpri-Chinchwad","34.0","Municipal Service Level Benchmarking","Pan City","5.0",""
"Pimpri-Chinchwad","35.0","Urban Heart Benchmarking","Pan City","3.0",""
"Pimpri-Chinchwad","36.0","Auditorium Control and Broadcasting Facility","Pan City","20.0",""
"Pimpri-Chinchwad","37.0","Smart Kiosks","Pan City","12.0",""
"Pimpri-Chinchwad","38.0","Public e toilets","Pan City","10.0",""
"Pimpri-Chinchwad","39.0","Public WiFi Hotspots","Pan City","27.0",""
"Pimpri-Chinchwad","40.0","Unique Smart Addressing","Pan City","5.0",""
"Pimpri-Chinchwad","41.0","Smart Parking including Multi level car Parks","Pan City","50.0",""
"Pimpri-Chinchwad","42.0","Bicycle Sharing","Pan City","15.0",""
"Pimpri-Chinchwad","43.0","One Transit App","Pan City","2.0",""
"Pimpri-Chinchwad","44.0","Skill Development Centers","Pan City","5.0",""
"Pimpri-Chinchwad","45.0","Startup Incubation Centers","Pan City","5.0",""
"Pimpri-Chinchwad","46.0","Establishment Licensing","Pan City","2.0",""
"Pimpri-Chinchwad","47.0","Municipal e classrooms","Pan City","4.0",""
"Pimpri-Chinchwad","48.0","SchoolHealth Monitoring","Pan City","10.0",""
"","","","","1094.5",""
"Note- This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR preparation, PMC, O&M etc.","","","","",""
