"City Name","S.No","Project","ABD/Pan
City/Other","Total SCP Cost
(in Crores)",""
"Jammu","1.0","Signages and Wayfinding","ABD","3.06",""
"Jammu","2.0","Gateways","ABD","0.06",""
"Jammu","3.0","Auto Circulations","ABD","0.1",""
"Jammu","4.0","Information Kiosks","ABD","0.06",""
"Jammu","5.0","Public Plaza Development at Tourist Destinations","ABD","0.04",""
"Jammu","6.0","Interpretive Signages","ABD","0.04",""
"Jammu","7.0","Faade Restoration of Heritage buildings","ABD","30.0",""
"Jammu","8.0","Multilevel Parking at Bus Stand","ABD","201.67",""
"Jammu","9.0","Smart Parking at JDA parking near Tawi (Harisingh Park)","ABD","50.34",""
"Jammu","10.0","Panchtirthi Parking","ABD","35.0",""
"Jammu","11.0","Peerkho Parking","ABD","15.0",""
"Jammu","12.0","City Chowk Parking","ABD","50.31",""
"Jammu","13.0","Identified two parking areas at Circular","ABD","100.0",""
"Jammu","14.0","Smart poles","ABD","1.24",""
"Jammu","15.0","13 Chowks and Roundabouts (Motorable Roads)","ABD","32.5",""
"Jammu","16.0","5 Chowks and intersections (heritage trail)","ABD","5.0",""
"Jammu","17.0","Street Vendor/ Hawker Zones Development","ABD","15.0",""
"Jammu","18.0","Advertisement panels and Dashboards display at intersections","ABD","3.8",""
"Jammu","19.0","Advertisement panels and Dashboards display on street lights","ABD","6.16",""
"Jammu","20.0","Gardens at river terrace (Ghats) along Tawi river front","ABD","12.2",""
"Jammu","21.0","Storm water recycling and reuse at the ghats (green spaces)","ABD","0.2",""
"Jammu","22.0","Jogging track along Tawi","ABD","1.47",""
"Jammu","23.0","Iconic River front development","ABD","350.0",""
"Jammu","24.0","Pedestrian walkways and Footpaths","ABD","9.0",""
"Jammu","25.0","Upgradation of Roads maintained by","ABD","40.8",""
"Jammu","26.0","number of cycles (at 4 locations)","ABD","0.1",""
"Jammu","27.0","number of cycle stands","ABD","0.12",""
"Jammu","28.0","number of battery operated cars (car stands at 5 locations)","ABD","2.5",""
