"City Name","S.No","Project","ABD/Pan City/Other","Total SCP Cost
(in Crores)",""
"Dahod","1.0","NagarPalika New Building with with Interconnection to Sabji Mandi","ABD","22.0",""
"Dahod","2.0","Sabji Mandi","ABD","9.6",""
"Dahod","3.0","Shops & godown at 531/Aand 531/B","ABD","12.0",""
"Dahod","4.0","Storm water network in the city and recharging the Chhab Talav","ABD","31.0",""
"Dahod","5.0","STP of 17.4 MLD, Sewer Pumping Station, Automation & SCADA System for STP, Sewer network, Recycle water Pumping Station,
TTP, Recycled water pipeline to Mega GIDC.","ABD","36.0",""
"Dahod","6.0","Underground Utilities","ABD","180.0",""
"Dahod","7.0","Smart Energy initiative","ABD","63.0",""
"Dahod","8.0","Roof Top Solar panels","ABD","8.3",""
"Dahod","9.0","Rainwater Harvesting","ABD","10.0",""
"Dahod","10.0","Development of dormitary at GSRTC bus stand.","ABD","5.0",""
"Dahod","11.0","Smart Road","ABD","140.0",""
"Dahod","12.0","Sports Complex at Plot No. 513 & 514 for indoor Games and
training facility for Children","ABD","32.0",""
"Dahod","13.0","Development of Solar based Electrical crematorium Smashan
Bhumi at Plot No. 231 & 221","ABD","5.0",""
"Dahod","14.0","Chab Talav & Dudhimati
River front Development","ABD","98.0",""
"Dahod","15.0","Slum Rehabitation","ABD","110.0",""
"Dahod","16.0","Tribal Museum cum Cultural Hall & Exhibition Center","ABD","5.0",""
"Dahod","17.0","Green Space & Garden","ABD","8.0",""
"Dahod","18.0","Smart Transit Hub","ABD","2.5",""
"Dahod","19.0","Overbridge on Dudhimati River","ABD","30.0",""
"Dahod","20.0","e-APMC operations","ABD","10.0",""
"Dahod","21.0","Waste to Wealth","ABD","31.0",""
"Dahod","22.0","Digital Empowerment For Women & Tribal","Pan City","3.0",""
"Dahod","23.0","Smart Water Supply System","Pan City","36.0",""
"Dahod","24.0","Smart Waste Collection","Pan City","10.0",""
"Dahod","25.0","Eco-friendly urban transport","Pan City","12.0",""
"Dahod","26.0","Digital Transit Facilities","Pan City","1.0",""
"Dahod","27.0","Ease of doing business portal","Pan City","2.0",""
"Dahod","28.0","Smart governance backend","Pan City","44.0",""
"Dahod","29.0","OFC Network","Pan City","9.0",""
"Dahod","30.0","Intelligent Command and Control Center (I3C)","Pan City","14.0",""
"Dahod","31.0","City Smart poles","Pan City","15.0",""
"Dahod","32.0","Connected Dahod Citizen Interface","Pan City","2.0",""
"Dahod","33.0","Telemedicine facility","Pan City","18.0",""
"Dahod","34.0","Extended use of HMIS","Pan City","2.0",""
"Dahod","35.0","Virtual Classroom","Pan City","2.5",""
"Dahod","36.0","Self-sanitizing e-toilets","Pan City","1.0",""
"","","Total","","1019.9",""
"Note- This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR preparation, PMC, O&M etc.","","","","",""
