"City Name","S.No","Project","ABD/Pan
City/Other","Total SCP Cost
(in Crores)",""
"Thoothukudi","","Buckls Canal Development and Recreational Zone","","",""
"Thoothukudi","1.0","Canal Development","ABD","49.05",""
"Thoothukudi","2.0","Canal Promenade Development","ABD","4.88",""
"Thoothukudi","3.0","Leisure Park","ABD","15.9",""
"Thoothukudi","","Central Business District and market Area","","",""
"Thoothukudi","4.0","Market Complex and Street Vendors","ABD","15.0",""
"Thoothukudi","5.0","Development of Infrastructure Facility","ABD","2.62",""
"Thoothukudi","","Sustainable Livable Thoothukudi","","",""
"Thoothukudi","6.0","Housing for existing HHS living in Kachhe and Semi-pucca houses in slum ar","ABD","11.25",""
"Thoothukudi","7.0","Slum Infrastructure","ABD","13.45",""
"Thoothukudi","","Non Slum residential area retrofitting","ABD","",""
"Thoothukudi","8.0","Adequare Water Supply","ABD","71.24",""
"Thoothukudi","9.0","Sewerage Collection and waste water recycling","ABD","215.51",""
"Thoothukudi","13.0","Sanitation","ABD","8.2",""
"Thoothukudi","14.0","Solid Waste Management Collection and Transportation","ABD","9.19",""
"Thoothukudi","15.0","Solid Waste Management Treatment","ABD","22.79",""
"Thoothukudi","16.0","Storm Water Drainage","ABD","90.61",""
"Thoothukudi","","Social and Community Development","","",""
"Thoothukudi","17.0","Smart School Management Software","ABD","1.32",""
"Thoothukudi","18.0","Smart Class room and emonitoring etc.","ABD","5.04",""
"Thoothukudi","20.0","Green Contract language and Awareness","ABD","0.74",""
"Thoothukudi","21.0","Centre for excellence for smart city and smart eco park","ABD","3.5",""
"Thoothukudi","22.0","Skill Development Centre","ABD","2.55",""
"Thoothukudi","23.0","Digital kiosks to overcome digital divide and e municipality","ABD","3.56",""
"Thoothukudi","24.0","Digital library","ABD","1.65",""
"Thoothukudi","","Smart Urban Mobility","","",""
"Thoothukudi","25.0","Public transit corridor improvement","ABD","9.51",""
"Thoothukudi","26.0","Multi modal intelligent puclic transport system","ABD","7.6",""
"Thoothukudi","27.0","Retrofitting other roads","ABD","64.4",""
"Thoothukudi","","NMT corridor","","",""
"Thoothukudi","28.0","Pedestrain footpath and cycling track","ABD","37.96",""
"Thoothukudi","29.0","Pelican and puffin pedestrain crossing system","ABD","10.32",""
"Thoothukudi","30.0","Non vehicle street","ABD","7.2",""
"Thoothukudi","31.0","Smart bus stand and signages","ABD","4.26",""
"Thoothukudi","32.0","Multi level parking","ABD","39.75",""
"Thoothukudi","","Green Thoothukudi","","",""
"Thoothukudi","","Solar Mission","","",""
"Thoothukudi","33.0","Installation of solar PV on roof top in all Government and
institutional buildings","ABD","8.93",""
"Thoothukudi","34.0","Installation of solar PV on roof top in all Government and
institutional buildings through PPP","ABD","50.58",""
"Thoothukudi","35.0","Energy efficient smart solar street lighting","ABD","19.39",""
"Thoothukudi","36.0","Solar umbrellas","ABD","1.35",""
"Thoothukudi","37.0","Retrofitting of all government and institutional buildings as energy
efficient and green building","ABD","8.0",""
"Thoothukudi","38.0","Waste of energy","ABD","14.2",""
"Thoothukudi","","Environmentally Committed City","","",""
"Thoothukudi","39.0","Buckle Canal regeneration and cleaning","ABD","3.25",""
"Thoothukudi","40.0","Environmental quality monitoring stations","ABD","6.44",""
"Thoothukudi","41.0","Rainwater harvesting for all Govt. owned institutional and office
buildings","ABD","3.19",""
"Thoothukudi","42.0","Development of open spaces in retrofitting area","ABD","21.2",""
"Thoothukudi","43.0","Visible improvement in the area","ABD","10.6",""
"Thoothukudi","","Smart Central Thoothukudi","","",""
"Thoothukudi","","Safe and assured electricity supply","","",""
"Thoothukudi","44.0","Underground electrical lines HT lines","ABD","43.23",""
"Thoothukudi","45.0","Underground electrical lines LT lines","ABD","12.78",""
"Thoothukudi","46.0","Shifting of DPRs, GIS substation/transformer replacement","ABD","33.6",""
"Thoothukudi","47.0","Smart electric meters","ABD","24.36",""
"Thoothukudi","48.0","Smart water meters and other meters","ABD","57.37",""
"Thoothukudi","","Smart Safety, surveillance & Monitoring","","",""
"Thoothukudi","49.0","Robust IT connectivity and WiFi zone","ABD","7.9",""
"Thoothukudi","50.0","CCTV city safety and monitoring system","ABD","103.63",""
"Thoothukudi","51.0","GPS enabled shuttle services","ABD","3.22",""
"Thoothukudi","52.0","Emergency response system","ABD","2.7",""
"Thoothukudi","","Pan City","","",""
"Thoothukudi","","Integrated City Operations Control Centre","","",""
"Thoothukudi","53.0","Data centre construction","Pan City","4.85",""
"Thoothukudi","54.0","Server infrastructure","Pan City","4.37",""
"Thoothukudi","55.0","Network infrastructure","Pan City","1.94",""
"Thoothukudi","56.0","System softwares","Pan City","3.88",""
"Thoothukudi","57.0","Communication system","Pan City","0.97",""
"Thoothukudi","58.0","Video walls","Pan City","3.64",""
"Thoothukudi","59.0","Operations consoles","Pan City","0.44",""
"Thoothukudi","60.0","Security system","Pan City","1.46",""
"Thoothukudi","61.0","Storage system","Pan City","2.91",""
"Thoothukudi","62.0","Disaster recovery centre construction","Pan City","1.94",""
"Thoothukudi","63.0","DR ITS Cost","Pan City","9.7",""
"Thoothukudi","64.0","IT peripherals like printers, scanners etc","Pan City","0.97",""
"Thoothukudi","65.0","UPS & gen-sets","Pan City","0.97",""
"Thoothukudi","66.0","Incident management system","Pan City","1.94",""
"Thoothukudi","67.0","Business intelligence system","Pan City","2.91",""
"Thoothukudi","68.0","EMS/NMS","Pan City","1.94",""
"Thoothukudi","69.0","Parking Management Software","Pan City","0.97",""
"Thoothukudi","","Intelligent Transit System (ITS)","","",""
"Thoothukudi","70.0","Automated fare collection system","Pan City","1.46",""
"Thoothukudi","71.0","Automated vehicle location system","Pan City","1.94",""
"Thoothukudi","72.0","Passenger information system","Pan City","1.46",""
"Thoothukudi","73.0","Plaanning & scheduling system","Pan City","1.94",""
"Thoothukudi","74.0","Depot management system","Pan City","1.46",""
"Thoothukudi","75.0","Ticketing handheld device","Pan City","0.96",""
"Thoothukudi","76.0","Smart Card bus validators","Pan City","2.62",""
"Thoothukudi","77.0","Station PIS display","Pan City","0.19",""
"Thoothukudi","78.0","Bus camera based surveillances","Pan City","0.87",""
"Thoothukudi","79.0","Vehicle tracking unit-buses","Pan City","2.18",""
"Thoothukudi","80.0","vehicle tracking unit- municipal vehicles, solid waste, officials etc","Pan City","0.31",""
"Thoothukudi","81.0","Vehicle tracking unit- fire trucks","Pan City","0.44",""
"Thoothukudi","82.0","Vehicle tracking unit- ambulance","Pan City","0.87",""
"Thoothukudi","83.0","Depota & terminal hardware","Pan City","0.19",""
"Thoothukudi","84.0","Other recreational ticketing systems","Pan City","0.15",""
"Thoothukudi","","Parking Management System","","",""
"Thoothukudi","85.0","On-street parking sensors","Pan City","4.85",""
"Thoothukudi","86.0","Wireless aggregator","Pan City","2.91",""
"Thoothukudi","87.0","Ticketing handheld device","Pan City","3.88",""
"Thoothukudi","","Area Traffie Control System","","",""
"Thoothukudi","88.0","Adaptive traffic management system","Pan City","2.43",""
