"City Name","S.No","Project","ABD/Pan City/Other","Total SCP Cost
(in Crores)",""
"Aizwal","","Facade Improvements and  Streetscape Improvement in Bara Bazaar Mark","ABD","",""
"Aizwal","1.0","Facade   Improvement    Plan  for  Bara  Bazaar","ABD","32.5",""
"Aizwal","2.0","Street  scape   Improvement   - Infra","ABD","11.0",""
"Aizwal","","Multi-Utility Facility Centre MUFC","ABD","",""
"Aizwal","3.0","Near New Secretariat","ABD","39.0",""
"Aizwal","4.0","Near Assam Rifie ground","ABD","29.21",""
"Aizwal","5.0","Near Civil Hospital","ABD","27.39",""
"Aizwal","6.0","Near Khalla Junction","ABD","19.49",""
"Aizwal","7.0","Near MST Bus Station","ABD","17.62",""
"Aizwal","","Development of  City Cultural and Institutional Zone","ABD","",""
"Aizwal","8.0","Cultural   & Communily    Centre  and  Open  Air theatre","ABD","40.66",""
"Aizwal","9.0","Indoor  Sports  Complex   and  Youth  recreational    centre","ABD","8.13",""
"Aizwal","10.0","Skill Development & Incubation   Centre  and  Command   & Control  Centr","ABD","28.92",""
"Aizwal","11.0","Trade Facility cum Exhibition areas","ABD","38.18",""
"Aizwal","12.0","Startup Center and ease of Business Facilitation Centre","ABD","17.2",""
"Aizwal","","Development of Aizawl Tourism Corridor","ABD","",""
"Aizwal","13.0","Developmenl of Viewing   Decks  on hill side","ABD","1.5",""
"Aizwal","14.0","Development of Physical Infrastructure to cater  the tourist  need-  Bus sto","ABD","3.3",""
"Aizwal","15.0","Internal  approach   road  and  Tourist   Pathways   and  access   improvem","ABD","6.75",""
"Aizwal","16.0","Public  plazas,  Kiosks,   Public  amenities,   & Eateries/resturants Landscap","ABD","10.0",""
"Aizwal","17.0","Redevelopment of Tourism   Information   and  Facilitation   Center","ABD","7.73",""
"Aizwal","18.0","Restructuring of Exisling   Build  block  for Home  stay  facilities","ABD","0.3",""
"Aizwal","19.0","Hospitality - Budget  Hotel","ABD","13.55",""
"Aizwal","","Urban Mobility & Transport","ABD","",""
"Aizwal","20.0","Road  Carriage    Improvement -Upgradation    of existing   major  & Minor","ABD","36.0",""
"Aizwal","21.0","Road  Sections    Improvement- street  scape  design. Landscape hardscap","ABD","13.5",""
"Aizwal","22.0","Pedestrian   Space  / Footpath    including   differentl     abled  access","ABD","18.0",""
"Aizwal","23.0","Pelican  crossinq   system","ABD","0.5",""
"Aizwal","24.0","Traffic  Junctions    Improvement,     Smart  Traffic  Signal  (Solar  PV Traffic","ABD","25.6",""
"Aizwal","25.0","Traffic  Bollards    Flexible   & Fixed","ABD","0.23",""
"Aizwal","26.0","Foot  over  Over  bridge","ABD","1.26",""
"Aizwal","27.0","Steps/Stair    improvement     Maier  & Minor","ABD","14.0",""
"Aizwal","28.0","Installation   of Inclinators/Travellators","ABD","4.0",""
"Aizwal","29.0","Road  cleaning  vehicles/equipments","ABD","1.65",""
"Aizwal","30.0","Bus  lane  & Priority  -North  South  Corridor","ABD","2.25",""
"Aizwal","31.0","Smart   Bus  Shelter-    including   Wi-fi  enabled   system  & CCTV  survellie","ABD","7.5",""
"Aizwal","32.0","Rent Bike Program- Public Bike Sharing","ABD","0.14",""
"Aizwal","33.0","Multi-level   car  parking  and  Shopping   area","ABD","20.0",""
"Aizwal","34.0","On road  Smart  parkinq    includinq   CCTV,   Boom","ABD","2.7",""
"Aizwal","35.0","Rope  wav  - Chaltlana   to Zotlana","ABD","63.0",""
"Aizwal","","AFFORDABLE HOUSING","ABD","",""
"Aizwal","36.0","Developmenl    of Affordable    housing  for   EWS  -Vertical   III","ABD","12.67",""
"Aizwal","37.0","Development of EWS housing in vertical IV in ABD area( as per HFAPoA) w","ABD","8.38",""
"Aizwal","","ENERGY & ENVIORNMENT","ABD","",""
"Aizwal","38.0","Multi-Utility   Undergound    duct  for  urban  services","ABD","120.0",""
"Aizwal","39.0","Under  gound  - HT & LT   Cabling/Wiring","ABD","12.0",""
