"City Name","S.No","Project","ABD/Pan City/Other","Total SCP Cost
(in Crores)",""
"Allahabad","","Triveni Sangam Sthal","","",""
"Allahabad","1.0","Soft landscaping and removable steel plate paving on flood plains used
for religious gatherings on the banks of Ganga & Yamuna; construction of ghats and safety nets at suitable points; temporary pipework (PVC) for","Pan City","39.38",""
"Allahabad","2.0","Identification, demarcation of 'akhara' space, provisioning of water,
electricity and bio-toilets and solar PV lights","Pan City","23.63",""
"Allahabad","3.0","Installation of lifeguard cabins","Pan City","0.6",""
"Allahabad","4.0","Installation of bins for collection/ deposition of garbage, sanitary
inspectors and law enforcement personnel to tackle violators","Pan City","0.17",""
"Allahabad","5.0","Development of immersion ponds for disposal of idols","Pan City","4.8",""
"Allahabad","6.0","""Brand Allahabad"" promotion (ICT platforms + digital marketing +
livelihoods)","","0.0",""
"Allahabad","7.0","Comprehensive website containing details of all that there is to know and see at Sangam and other parts of the city; travel & stay booking facilities; ""See Allahabad in ONE, TWO or THREE days"" (package options)","Pan City","1.0",""
"Allahabad","8.0","Mobile App development on the above lines for Android & iOS","Pan City","0.25",""
"Allahabad","9.0","Bed and breakfast scheme promoted with willing partners with minimum
standards of guest comfort","Pan City","0.1",""
"Allahabad","10.0","Certified guide scheme for youth interested to volunteer for tourists","Pan City","9.9",""
"Allahabad","","Incubation centres - Allahabad University","","0.0",""
"Allahabad","11.0","Seed capital for incubation centres inside Allahabad University","ABD","0.6",""
"Allahabad","","Incubation centre - MNNIT","","0.0",""
"Allahabad","12.0","Seed capital for start-up/ incubation centres in closed industrial units in
MNREC (MNNIT) campus and  Naini for accommodating knowledge based industry (ITeS, R&D, KPO)","Pan City","0.6",""
"Allahabad","","Preparatory works for densification","","0.0",""
"Allahabad","13.0","Preparation of modified layout scheme and transaction structure for current owners of land including title search, valuation, urban design and
financial modelling","ABD","2.5",""
"Allahabad","","Real estate projects ('keystone' projects for fostering inclusive
development)","","0.0",""
"Allahabad","14.0","Redevelopment of municipal (main office & regional office); green rated
building with commercial usage on lower floors","ABD","175.0",""
"Allahabad","15.0","Municipal office behind Vikas Bhawan","ABD","17.71",""
"Allahabad","16.0","Mayo Hall zonal office","ABD","35.42",""
"Allahabad","17.0","","","0.0",""
"Allahabad","18.0","Development of old storehouse opposite Chandrasekhar Azad Park as
commercial office complex","ABD","42.5",""
"Allahabad","","Heritage and conservation projects for adaptive re-use","","0.0",""
"Allahabad","19.0","Restoration of the Allahabad District Court precincts","ABD","50.0",""
"Allahabad","20.0","Identification and restoration of colonial precincts in Civil Lines area - Government quarters, offices and similar other State Government
property","ABD","2.0",""
"Allahabad","21.0","Heritage walk areas for paving and creation of street furniture - (1)
Allahabad University, Holy Trinity Church, Ananda Bhawan, Swaraj Bhawan, Jawahar Planetorium, Bharadwaj Park","ABD","0.32",""
"Allahabad","22.0","Heritage walk areas for paving and creation of street furniture - Mankameshwar Temple, Cantonment area, Akshayvat, Kali Durga Temple, Allahabad Fort (Patalpuri) and Kumbh Fair site, all the way up to
Ganga shoreline","Pan City","0.3",""
"Allahabad","23.0","Yamuna ferry service - heritage boat ride up to Sangam starting from
Naini bridge","Pan City","1.0",""
"Allahabad","","Water supply augmentation (including smart metering)","","0.0",""
"Allahabad","24.0","Sinking of additional riverbed filtration based wells (Ranney/ radial collector) in Ganga flood plain to augment source availability to select
areas - pumping duration of 16 hours or more per day","ABD","45.0",""
"Allahabad","25.0","Installation of Supervisory Control And Data Access (SCADA) hardware and monitoring network along all water supply assets, such as treatment plant inlet/ outlet, UGR inlet/outlet, CWT, major sluice valves","ABD","6.5",""
"Allahabad","26.0","Installation of water potable ATMs at select locations within the precincts","ABD","0.15",""
"Allahabad","27.0","Water supply augmentation","ABD","80.0",""
"Allahabad","28.0","Augmentation of sluice valves and fixtures for water supply","ABD","3.44",""
"Allahabad","29.0","Metering at retail level (smart metering)","ABD","4.0",""
"Allahabad","30.0","Renovation of old water supply lines","ABD","3.0",""
"Allahabad","31.0","Establishment of modern laboratory","ABD","0.6",""
"Allahabad","32.0","Segregation","ABD","1.0",""
"Allahabad","33.0","Establishment of 183 km pipeline and replacment of 183 km old line
network","ABD","5.0",""
"Allahabad","","Road improvement (within ABD precincts)","","0.0",""
"Allahabad","34.0","Re-paving of all roads within the ABD precinct including shifting of
utilties, shoulder improvement","ABD","560.0",""
"Allahabad","","Drainage works (recasting and sub-surfacing in ABD precincts)","","0.0",""
"Allahabad","35.0","Construction of underground drainage in all over the ABD precincts","ABD","64.0",""
"Allahabad","36.0","Construction of RWH structures all over the ABD precinct","ABD","25.0",""
"Allahabad","","Wastewater treatment & disposal","","0.0",""
"Allahabad","37.0","Installation of MBBR units within select areas (preferably repurposed
parks)","ABD","30.0",""
"Allahabad","38.0","Lease or purchase of on-site wastewater treatment for any premise
where BUA exceeds [20,000] sq. meters","ABD","2.25",""
"Allahabad","39.0","Purchase/ lease of trucks for collection of fecal sludge and sullage from
ABD areas in the interim period while sewers are installed","ABD","1.75",""
"Allahabad","","Improvements in water supply in remainder of the town","","0.0",""
"Allahabad","40.0","Water supply augmentation","Pan City","0.0",""
"Allahabad","41.0","Construction of 6 nos. tubewells","Pan City","0.0",""
"Allahabad","42.0","Augmentation of sluice valves and fixtures for water supply","Pan City","0.0",""
"Allahabad","43.0","Metering at retail level","Pan City","0.0",""
"Allahabad","44.0","Renovation of old water supply","Pan City","0.0",""
"Allahabad","45.0","Establishment of modern laboratory","Pan City","0.0",""
"Allahabad","46.0","Segregation","Pan City","0.0",""
"Allahabad","47.0","Establishment of 400 km pipeline and replacment of 400 km old line
network","Pan City","0.0",""
"Allahabad","","Improvements in wastewater collection and treatment for rest of the
town","","0.0",""
"Allahabad","48.0","Construction of house connecting chambers for house connections in
sewerage district-D 15830 HH X 15000","ABD","90.88",""
"Allahabad","49.0","Construction of sewer network in sewerage district-F 95 KM X 1.10 Cr","Pan City","0.0",""
"Allahabad","50.0","Construction of sewer network in sewerage district-G 240 KM X 1.10 Cr","Pan City","0.0",""
"Allahabad","51.0","Construction of sewer network Jhalwa area 100 km x 1.10","Pan City","0.0",""
"Allahabad","52.0","Sewage pumping station","Pan City","0.0",""
"Allahabad","53.0","Sewage treatment plant","Pan City","0.0",""
"Allahabad","","Revamping of on-going SWM project (Hari Bhari)","","0.0",""
"Allahabad","54.0","Purchase or leasing of new rolling stock - tipper, dumper placer bin","ABD","2.5",""
"Allahabad","55.0","Purchase or lease of organic waste conversion devices","ABD","2.0",""
"Allahabad","56.0","Payment of one time adjustment premium/ VGF to concessionaire for
additional waste load in order to keep the tipping fee intact","ABD","2.0",""
"Allahabad","57.0","Purchase/ lease of two bin stands and bins with weight sensors","ABD","0.9",""
"Allahabad","","Bus based loop transit system","","0.0",""
"Allahabad","58.0","Purchase or lease of 25 buses of 15/22 seater capacity","ABD","5.0",""
"Allahabad","59.0","Widening and strengthening of about 12.4 km of road within the ABD for
running these buses on loop includign shifting of utilities","ABD","24.8",""
"Allahabad","60.0","Construction of bus shelters","ABD","2.5",""
"Allahabad","61.0","Touch based flat fare ticketing solution","ABD","1.0",""
"Allahabad","","Resuscitation and revamping of bus service (Allahabad City Transport
Corporation)","","0.0",""
"Allahabad","62.0","Purchase or lease of 175 new buses of three configurations 42 seater, 22
seater, 15 seater","Pan City","52.5",""
"Allahabad","63.0","Automatic fare collection mechanism + replacement of ticketing
machines","Pan City","5.0",""
"Allahabad","64.0","Installation of GPS based vehicle tracking solution; information to be
related to integrated command and control centre","Pan City","0.15",""
"Allahabad","65.0","'On-call' breakdown, repair and tow-away service","Pan City","1.25",""
"Allahabad","66.0","Repair & rehabilitation of depot at Jhusi to accommodate, park and
service ACTSL buses","Pan City","6.0",""
"Allahabad","67.0","Development of workshop (minor repairs and routine servicing) at Jhusi
depot","Pan City","2.5",""
"Allahabad","68.0","Development of bus depot cum bus terminus at Mohiuddinpur (master
plan designated bus terminus)","Pan City","20.0",""
"Allahabad","69.0","Redevelpment of bus station at Civil Lines between MG Road and Nawab
Yusuf Road as bus terminus (interchange), parking (basement) and commercial offices (four storeys)","ABD","70.83",""
"Allahabad","","Integrated Traffice Management System","","0.0",""
"Allahabad","70.0","Improvement in crossings for 116 intersections all over the city (street
section and lane improvement)","Pan City","23.2",""
