"City Name","S.No","Project","",""
"Gangtok","","# PAN CITY PROJECT","",""
"Gangtok","","(A) Water Supply Distribution Network","",""
"Gangtok","1.0","Up-gradation of existing distribution tanks (GLSRI OHSR)","",""
"Gangtok","2.0","New Water Tanks","",""
"Gangtok","3.0","Laying of Distribution Network","",""
"Gangtok","4.0","Smart Metering Water","",""
"Gangtok","5.0","SCADA 1 loT System (Monitoring & Management)","",""
"Gangtok","","(B) ICT & E-Governance","",""
"Gangtok","6.0","City Monitoring & Management Centre","",""
"Gangtok","7.0","Smart City Gangtok - One Platform","",""
"Gangtok","8.0","Capacity Building Programs","",""
"Gangtok","","# AREABASEDDEVELOPMENT","",""
"Gangtok","","( C) Mobility","",""
"Gangtok","9.0","New Footpaths","",""
"Gangtok","10.0","lmproving Existing Footpaths","",""
"Gangtok","11.0","Road & Junction lmprovement","",""
"Gangtok","12.0","Upgradation & Smart Solutions for Existing (Taxi Stand) Parking","",""
"Gangtok","13.0","Multi Level Car Park (Near MG Marg)","",""
"Gangtok","14.0","App Based Public Transport Management Platform","",""
"Gangtok","15.0","New Pedestrian Walkways & Staircases (Connecting different levels)","",""
"Gangtok","16.0","lmproving Pedestrian lnfrastructure & Street Furniture","",""
"Gangtok","17.0","Pedestrian FOBS","",""
"Gangtok","18.0","Ropeway I Cablecar lnfrastructure","",""
"Gangtok","19.0","Cycle Track (Ridge Park 1 MG Market)","",""
"Gangtok","","(D) Heritage, Culture & Recreation","",""
"Gangtok","20.0","Sports Facilities","",""
"Gangtok","21.0","Movie Theatre","",""
"Gangtok","22.0","Cultural Center","",""
"Gangtok","23.0","Handicraft Market (at multi level parking)","",""
"Gangtok","24.0","Lively Public Spaces/Public Art/Sports/Parks/Open Gym-Yoga Spaces","",""
"Gangtok","","(E) Other Development Works","",""
"Gangtok","25.0","Redevelopment & Retrofitting of STNM Hospital site","",""
"Gangtok","26.0","Redevelopment & Retrofitting of Star Hall","",""
"Gangtok","27.0","Public Conveniences (Toilets)","",""
"Gangtok","28.0","Solar Panel (on Roof Top of Public buildings","",""
"Gangtok","29.0","Tourist information kiosks","",""
"Gangtok","30.0","Rain Water Harvesting","",""
"Gangtok","31.0","Improvement of Cremation Ground at Arithang","",""
"Gangtok","","(F) Economic Regenration/ Livelihood Creation/ Tourist Facilities","",""
"Gangtok","32.0","Incubation Center (Technology, Design and Innovation driven industry)","",""
"Gangtok","33.0","Kisan Bazar (Flower & Vegetable Market Complex/ Tradlng hub / Refrigera","",""
"Gangtok","34.0","Restaurants / Kiosks / Vending Zones","",""
"Gangtok","","(G) Safety and Security","",""
"Gangtok","35.0","Surveillance System (CCTV)","",""
"Gangtok","36.0","Aerial Survey and Surveilance","",""
"Gangtok","37.0","Emergency Call Points","",""
"Gangtok","38.0","Modern Police Kiosks","",""
"Gangtok","","(H) Infrastructure/ Utility Up-gradation","",""
"Gangtok","39.0","Utility Duct","",""
"Gangtok","","Sewarage","",""
"Gangtok","40.0","Sewer Line (Apart from the existing one)","",""
"Gangtok","41.0","Strengthening & Augmentation of sewer network","",""
"Gangtok","42.0","Sewage Treatment Plant (Packaged STP)","",""
"Gangtok","","Drainage","",""
"Gangtok","43.0","Covering of Open drains","",""
