"City Name","S.No","Project","Total SCP Cost (in Rs.
Crores)","SCM (GoI)","PPP",""
"Bihar Sharif","1.0","Infrastructure for agro-based products","154.5","55.65","35.6",""
"Bihar Sharif","2.0","Commercial Area Development","109.0","34.25","13.5",""
"Bihar Sharif","3.0","Skill Development","19.5","5.13","0.0",""
"Bihar Sharif","4.0","24x7 water supply","54.3","13.65","0.0",""
"Bihar Sharif","5.0","Development of UG sewerage sytem with SBR-STP","135.34","63.13","0.0",""
"Bihar Sharif","6.0","Development of UG storm water drains","63.05","19.13","0.0",""
"Bihar Sharif","7.0","SWM system","19.01","1.6","1.6",""
"Bihar Sharif","8.0","Robust Power Infrastructure","44.0","9.3","9.2",""
"Bihar Sharif","9.0","Seamless Public Transport","44.6","9.6","20.0",""
"Bihar Sharif","10.0","Transport Network Improvement","190.95","63.04","22.08",""
"","11.0","Encourage NMT and pedestrian safety","35.0","12.8","8.4",""
"Bihar Sharif","12.0","Rejuvenation of Natural Assets","88.0","37.9","8.6",""
"Bihar Sharif","13.0","Rejuvenation of Built Heritage and Open spaces","43.9","10.6","12.75",""
"Bihar Sharif","14.0","Green Initiatives","20.25","6.75","0.0",""
"Bihar Sharif","15.0","Alleviation of Urban slums","92.9","37.25","0.0",""
"Bihar Sharif","16.0","Upgrading informal sector","37.0","12.2","4.2",""
"Bihar Sharif","17.0","Social infrastructure and Affordable Housing","64.6","12.22","9.38",""
"","","A&OE @2%","24.32","8.27","",""
"","","Contingency @ 2%","60.79","20.67","",""
"Bihar Sharif","18.0","Unified City Governance","140.9","36.51","46.48",""
"Bihar Sharif","19.0","Smart Public Transport","30.0","4.5","6.0",""
"Bihar Sharif","20.0","Intelligent Solid Waste Management","16.93","4.3","5.81",""
"","","A&OE @5%","9.39","3.19","",""
"","","Contingency @ 10%","18.78","6.39","",""
"Total","1517.01           488.03          203.6","","","","",""
"Note- This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR
preparation, PMC, O&M etc.","","","","","",""
