"City Name","S.No","","Project","",""
"Itanagar","1.0","","Smart Road","",""
"Itanagar","2.0","","Smart Parking","",""
"Itanagar","3.0","","Ropeway (2.5km) with 4 stations Mowb 2, Water Park, Opp Secretariat, I","",""
"Itanagar","4.0","","Street Furniture & Signage (NH415 part of Smart Road Project)","",""
"Itanagar","5.0","","Drainage","",""
"Itanagar","6.0","","Sewerage and Sanitation","",""
"Itanagar","7.0","","Solid Waste Management","",""
"Itanagar","8.0","","Water Supply","",""
"Itanagar","9.0","","Affordable Housing (Construction of 200 DU's at Sector D&E","",""
"Itanagar","10.0","","Smart Health: 5 iot integrated health Kiosks","",""
"Itanagar","11.0","","Smart Classrooms : 7 Smart Schools with 48 Smart Classrooms","",""
"Itanagar","12.0","","Disaster Management","",""
"Itanagar","13.0","","Cultural Urbanism","",""
"Itanagar","14.0","","Placemaking","",""
"Itanagar","15.0","","Public Building Retrofitting : Retrofitting of 5 Public buildings with green","",""
"Itanagar","16.0","","Green Infrastructure","",""
"Itanagar","17.0","","Vertical Gardening: Pubic vertical spaces - retaining walls along NH, publi","",""
"Itanagar","18.0","","Smart Neighbourhood","",""
"Itanagar","19.0","","Intelligent Traffic and Transport Management System","",""
"Itanagar","20.0","","Smart Governance","",""
"Itanagar","21.0","","Smart ICT Infrastructure","",""
"","","","SPV Operational Expenses (includes PMC, SPV Manpower, Capacity
Building & Social Mobilisation) - 5% of Total SCF of Rs.1000Cr","",""
"","","","Central Government A&OE 2% of Central Government Grant of Rs.500Cr","",""
"Total","","","","",""
"Note- This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs su","","","","",""
"ABD/Pan City/Other","","Total SCP Cost
(in Crores)","","",""
"ABD","","383.56","","",""
"ABD","","91.58","","",""
"ABD","","140.0","","",""
"ABD","","23.07","","",""
"ABD","","15.32","","",""
"ABD","","37.23","","",""
"ABD","","4.0","","",""
"ABD","","10.0","","",""
"ABD","","17.5","","",""
"ABD","","2.5","","",""
"ABD","","2.36","","",""
"ABD","","13.0","","",""
"ABD","","77.52","","",""
"ABD","","105.46","","",""
"ABD","","15.84","","",""
"ABD","","27.0","","",""
"ABD","","3.0","","",""
"ABD","","42.7","","",""
"Pan","","165.4","","",""
"Pan","","69.0","","",""
"Pan","","36.52","","",""
"Other","","50.0","","",""
"Other","","10.0","","",""
"","","1342.56","","",""
"ch as DPR preparation, PMC, O&M etc.","","","","",""
