"List of Projects as per Smart City Proposal : Indore","",""
"Sl. No.","Projects in SCP","Cost (Rs. in Crore)"
"","Area Based Development (ABD)",""
"","Redevelopment of Public Land",""
"1.0","Slum Housing Built-up","232.76"
"2.0","Compensatory Tenanents Built-up","270.33"
"3.0","Real estate Sale Components Built-up","1418.35"
"4.0","Parking Built-up","615.88"
"5.0","Development Cost","133.14"
"","Economy and Employment",""
"6.0","Incubation Centers","22.5"
"7.0","Skill Development Centers","22.5"
"","Identity & Culture",""
"8.0","Conservation oi Built Heritage","25.0"
"9.0","Heritage Street Facade Treatment","15.0"
"10.0","Heritage Street Development","6.0"
"","Transport and Walkability",""
"11.0","Road Development as per Street Design Guidelines","129.41"
"12.0","Vehicular intersection Improvement are per Street Design Guideiine","56.0"
"13.0","Construction of New River Bridges","30.0"
"14.0","Widening of Existing River Bridges","32.0"
"15.0","IPT services - battery operated E-Rickshaws in Pedestrian Area","6.0"
"16.0","Parking for Pedestrian Area","253.48"
"17.0","Smart Parking and Other Components - integration with Pan City",""
"","Water Supply and Reuse of Recycled Water",""
"18.0","Elevated Service Reservoirs","13.55"
"19.0","Feeder Mains and Distribution Network","52.44"
"20.0","SCADA Sensor enabled Flow Meters","3.0"
"21.0","SCADA enabled Level Sensor system","0.15"
"22.0","Geo-Thermal imaging Leak detectors","0.6"
"Sl. No.","Projects in SCP","Cost (Rs. in Crore)"
"23.0","Smart Consumer Water Meters","19.5"
"","Waste Water Management - Sewerage & Sanitations",""
"24.0","Sewerage existing network Rehabilitation and laying of new sewerage network","38.84"
"25.0","Sewerage Primary Network for DEWATS","15.0"
"26.0","Decentralized Waste Water Treatment Plant of 6 MLD Each","36.0"
"27.0","Construction oi Public Toilets","1.6"
"","Water Management - Storm Water Drainage",""
"28.0","Underground Primary Storm Water Drainage Network","23.3"
"29.0","Underground Secondary Storm Water Drainage Network","23.3"
"30.0","Underground Tertiary Storm Water Drainage Network","19.42"
"","River Front Development",""
"31.0","Channelization of River","46.8"
"32.0","Development of Green Buffer","29.25"
"33.0","BRTS on either side or River","31.2"
"34.0","Foot over Bridges","96.0"
"","Waste Management - Solid Waste",""
"35.0","HH Storage bins","0.3"
"36.0","Secondary Collection Pont Storage Dustbins","0.2"
"37.0","Primary Transport Vehicles Cycle Rickshaws","0.26"
"38.0","Primary Transport Vehicles Auto","0.48"
"39.0","Secondary Transportation oi Organic Waste AUTOs","0.48"
"40.0","Bio-Digesters of I0 MTD Each","1.8"
"41.0","Other Components - Integration with Pan City Proposal",""
