"List of Projects as per Smart City Proposal : Udaipur","",""
"Sl. No.","Projects in SCP","Cost (Rs. in Crore)"
"","Area Based Development (ABD)",""
"","WALLED CITY",""
"1.0","Water Supply","58.0"
"2.0","Sewerage","139.0"
"3.0","Power Supply","129.0"
"4.0","Drains, Relaying road & utility duct","148.0"
"5.0","Heritage & Street Light","63.0"
"6.0","Walled City Transport Infra","138.0"
"7.0","Piped Natural Gas","90.0"
"8.0","Solar Power Generation","82.0"
"9.0","Social Infra, Solid Waste, Fire Fighting  & Environment Lakes","14.0"
"10.0","Other Costs","2.0"
"","Pan City",""
"","Smart Utilities",""
"11.0","GIS Technology for entire city","12.0"
"12.0","Smart Metres- Water","68.0"
"13.0","Smart Metres- Electrical","72.0"
"","Intelligent Transport Mgmt  Systems (ITMS)",""
"14.0","City Bus With Smart bus shelters","62.0"
"15.0","GPS Enablement Of IPT","81.0"
"16.0","Parking Management with VMS, sensors","33.0"
"17.0","Smart signal, TIIMC, Surveillance system, App","6.0"
"Note-  This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR preparation, PMC, O&M etc.","",""
