EASE OF LIVING INDEX 2018 - FULL RANK LIST,,,,,,,,,,,,,,,,,,,,,,
"CITY NAME, POPULATION AND CLASSIFICATION",,,,,,,,,,CATEGORIES,,,,,,,,,Pillars,PILLARS,,
City Name,Population 1,PopulationCategory,Overall Rank,Governance,Identity & Culture,Education,Health,Safety & Security,Economy and Employment,Housing and Inclusiveness,Public Open Spaces,Mixed Land-Use and Compactness,Power Supply,Transportation and Mobility,Assured Water Supply,Wastewater Management,Solid Waste Management,Reduced Pollution,Institutional,Social,Economic,Physical
Pune,"3,124,458","Population ≥ 1
million < 4
million",1,8,14,8,4,25,7,23,4,49,10,12,2,4,5,2,8,5,7,2
Navi Mumbai,"1,120,547","Population ≥ 1
million < 4
million",2,1,15,2,3,13,16,35,13,25,74,4,7,8,10,48,1,3,16,7
Greater Mumbai,"12,442,373","Population ≥ 4
million",3,23,2,36,23,35,63,6,1,1,16,8,3,7,17,54,23,6,63,1
Tirupati,"295,323","Less than 0.5
million",4,2,4,4,11,2,38,83,13,87,64,11,9,3,1,51,2,1,38,6
Chandigarh,"970,602","Population ≥ 0.5
million < 1
million",5,40,1,18,10,7,1,16,6,33,96,2,44,2,43,23,40,4,1,4
Thane,"1,841,488","Population ≥ 1
million < 4
million",6,24,7,27,15,82,9,4,40,32,1,1,4,6,11,53,24,12,9,3
Raipur,"1,027,264","Population ≥ 1
million < 4
million",7,12,56,35,21,6,29,7,52,26,5,18,5,17,6,33,12,21,29,5
Indore,"1,994,397","Population ≥ 1
million < 4
million",8,13,5,20,8,94,4,69,33,77,7,29,18,27,3,28,13,9,4,18
Vijayawada,"1,143,232","Population ≥ 1
million < 4
million",9,9,11,21,2,100,10,42,78,51,33,41,6,1,25,70,9,8,10,24
Bhopal,"1,798,218","Population ≥ 1
million < 4
million",10,16,29,13,36,38,39,62,1,56,38,23,13,20,34,32,16,17,39,8
Karim Nagar,"289,821","Less than 0.5
million",11,3,41,17,45,4,31,41,10,81,39,62,8,60,12,4,3,15,31,28
Tiruchirappalli,"847,387","Population ≥ 0.5
million < 1
million",12,51,3,19,1,9,19,29,12,16,2,44,63,44,16,3,51,2,19,17
Bilaspur,"365,579","Less than 0.5
million",13,5,39,45,22,69,47,17,14,50,54,20,32,18,2,30,5,34,47,9
Chennai,"4,646,732",Population ≥ 4million,14,20,24,24,25,23,70,70,4,7,103,3,11,12,52,26,20,14,70,12
Jabalpur,"1,081,677","Population ≥ 1
million < 4
million",15,14,23,15,6,91,54,48,8,60,42,48,19,57,8,52,14,11,54,26
Amravati,"647,057","Population ≥ 0.5
million < 1
million",16,35,17,14,26,22,30,54,5,12,3,31,49,66,36,25,35,7,30,16
Visakhapatnam,"1,728,128","Population ≥ 1
million < 4
million",17,10,74,75,17,31,74,91,9,82,22,7,17,10,18,41,10,46,74,10
Bhubaneswar,"885,363","Population ≥ 0.5
million < 1
million",18,25,19,11,59,17,18,86,1,48,40,10,29,63,33,43,25,13,18,19
