India Smart City Profile,,,,
City: Bhopal,,,,
State: Madhya Pradesh,,,,
"Category: Capital, Tier 2",,,,
Bhopal is the capital of Madhya Pradesh and is the infamous location of the Union Carbide disaster which continues to effect the city’s operations.,,,,
Bhopal has been a BJP stronghold since 1989. The city also has India’s largest operational BRT network.,,,,
1. Demographic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Total Population,"1,798,218","20,069,405","377,106,125",
Total Population of UA (if),"1,886,100",,,
Share of ULB population in District Urban population (%),93.80,,,
Population Growth Rate (AEGR) 2001-11,2.24,2.29,2.76,
Area (sq. km)*,285.88,,,
Share of ULB area in district (%)*#,10.31,,,
Density of population (person per sq. km)*,6290,,,
Literacy Rate (%),83.47,82.85,84.11,
Schedule Caste (%),13.46,15.32,12.60,
Schedule Tribes (%),2.56,5.18,2.77,
"Youth, 15 - 24 years (%)",21.30,20.61,19.68,
Slum Population (%),26.68,8.43,17.36,
"Working Age Group, 15-59 years (%)",65.22,63.80,65.27,
"Source: Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
#The ULB is spread in more than one district,,,,
2. Economic Profile,,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban),
Per Capita Income (Rs.) at 2004-05 constant price *,Rs. 47214,Rs. 23539,"Rs. 35, 947",a
Urban Poverty Ratio (% of urban population)**,9.72,21.0,13.7,
"Unemployment Rate, 2011-12***",1.53,2.6,3.4,
"Work Participation Rate, 2011-12***",35.55,32.5,35.5,
"Work Status, 2011-12 (%) ***",,,,
Self-employed:,,,,
Regular/wage salaried employees:,32.90,48.2,42.0,
Casual labour:,53.39,34.8,43.4,
,13.72,17.0,14.6,
"Sectoral Distribution of Workers, 2011-12 (%) ***",,,,
Primary,,,,
,5.47,11.9,,
Secondary,,,7.5,
Tertiary,25.02,28.6,34.2,
,69.51,59.5,58.3,
"Workers Classified by Major Occupation, 2011-12(%)",,,,
***,,,,
"Legislators, senior officials and managers",29.99,20.8,15.8,
Professionals,10.45,6.0,8.8,
Technicians and associate professionals,8.74,7.6,6.7,
Clerks,14.50,5.3,5.0,
Service workers and shop and market sales workers,6.57,14.0,14.7,
Skilled agricultural and fishery workers,0.10,7.3,4.6,
1,,,,

India Smart City Profile,,,,
Craft and related trades workers,9.22,,14.2,19.2
Plant and machine operators and assemblers,3.14,,6.8,9.2
Elementary occupations,17.28,,18.0,16.1
Workers not classified by occupation,0.00,,0.0,0.1
Primary Commodity Manufactured#,Heavy Electric Goods,,,
,Zari Art,,,
Major Industries##,"Automobile, Bicycle and",,,
,its parts,,,
,"Machinery, Machine tools",,,
,and its parts,,,
,Textiles,,,
,Wood and Paper and by,,,
,products,,,
No. of sanctioned SEZ,1,,14,413
"Note: 3 years average of 2010-11, 2011-12, 2012-13",,,,
Source: * Directorate of Economics and Statistics of respective State Governments and for all India- Central Statistics Office,,,,
"**Unit Level Data of National Sample Survey Organization, Household Consumer Expenditure in India, 68th Round, 2011-12",,,,
"***Unit Level Data of National Sample Survey Organization, Employment and Unemployment Situation in India, 68th Round, 2011-12",,,,
"#District Census Handbook, Census of India, 2011",,,,
"##District Industrial Profile, Micro, Small and Medium Enterprises, Government of India",,,,
"∞ Department of Commerce, Ministry of Commerce and Industry",,,,
3. Infrastructure Status,,,,
Indicator,,"City (Municipal
Corporation)",State (Urban),India (Urban)
"% of households with access to tap water
treated source) within Premises",(from,78.58,50.55,84.14
% of households with access to electricity,,97.12,92.73,92.68
"% of households having toilet facilities within
premises",,82.12,71.54,72.57
"% of household Waste water outlet connected to
drainage",,91.92,82.34,81.77
Type of sewerage system*,,"Under ground sewerage
system",,
Type of solid Waste system*,,Door to Door,,
"% of households with access to computer/laptop
with internet
without internet",,"10.16
12.63","4.92
8.89","8.27
10.40"
% of households with access to mobile phones,,61.24,61.03,64.33
"Ownership Pattern of Housing (%)
Owned
Rented",,"68.16
26.82","74.45
21.11","69.16
27.55"
% of households living in congested houses,,30.88,24.14,32.94
Indicator,,City (Municipal Corporation),,
"No. of Hospitals per 1,00,000 people *",,1,,
"No of Schools per 1,00,000 people",,,,
Primary,,43,,
Middle,,8,,
Secondary,,15,,
College,,12,,
"Source: Tables of Houses, Household Amenities and Assets, Census of India, 2011",,,,
"* District Census Handbook, Census of India, 2011",,,,
4. Political Profile: Leadership and Administrative Structure,,,,
,,,,2

India Smart City Profile,
Architecture of Governance,The Urban Local Body governing the city of Bhopal is Bhopal Municipal
Structure of Elected and Executive Bodies. Give,
,Corporation. The Corporation is headed by City Mayor who presides over
indication of hierarchies,
,"Councilors. The Municipal Commissioner, an I.A. S. officer forms the"
,administrative head. The city is divided in 85 wards.
,"The Municipal Corporation renders important services to its citizens like: birth,"
,"death and marriage registration, assessment and collection of property tax,"
,building permission and household water connection.
,"Bhopal Development Authority, established by Government of Madhya Pradesh"
,as an apex body for planning and co-ordination of development activities in the
,"Madhya Pradesh comprising of Bhopal and its influence area. In particular, it"
,"conceives, promotes and monitors the key projects for developing new growth"
,"centres and brings about improvement in sectors like transport, housing, water"
,supply and environment in the region.
,"The Town and Country Planning of Madhya Pradesh, with one of its district office"
,in Bhopal is responsible for making Master Plan of Bhopal City.
,In Bhopal water comes from Upper Lake and Kolar Dam. Water supply in Bhopal
,city is looked after by Public Health Engineering Department (PHED) of Madhya
,Pradesh as well as Bhopal Municipal Corporation.
,"Madhya Pradesh Housing and Infrastructure Development Board (MPHIDB), an"
,autonomous body caters to the housing needs of the population in Bhopal city. It
,"is also engaged in construction of schools, commercial building and colonies in"
,the city.
,"Public Works Department Madhya Pradesh is engaged in planning, designing,"
,construction and maintenance of Government assets in the field of built
,environment and infrastructure development.
,"Madhya Pradesh Pollution Control Board is responsible to maintain air, water and"
,soil quality in healthy and usuable form. Presently it operates in 12 regional
,"offices, where Bhopal is one of them."
No of elected representatives,85
,Mr. Shivraj Singh Chauhan from Bharatiya Janata Party is the Chief Minister of
,Madhya Pradesh . He was elected on 13-Dec 2013 for the third consecutive
Election Details*,
,term. The Commissioner is Tejaswi S.Naik. The council is headed by Mayor Mr.
"Election cycle, last election,",
"Name, party affiliation where relevant, date office taken","Alok Sharma of BJP, elected in Feb 2015. The municipal elections were held in"
"for: chief minister, commissioner, and mayor.",the year Dec-14.
Source:*Respective ULB website and Media Search,
5. Performance of Urban Local Body (ULB),
Credit and Tax,
Credit Rating of ULBs (As on Nov 2012)*,BBB-
Property Tax #,Coverage (%): 98%
,Collection Efficiency (%): 91%
,Amount(Rs.): Rs. 22.60 cr. (2012-13)
Source: *www.jnnurm.nic.in,
"#Reform Appraisal Report, JNNURM, Ministry of Urban Development, Government of India",
E-governance& Computerization in ULB,
Reform,"Status (implemented, in progress and any comment)"
Property Tax*,Implemented
Accounting*,Implemented
Water Supply & Other Utilities*,Implemented
Birth & Death Registration and Health programmes*,Implemented
3,

India Smart City Profile,,,
Citizens' Grievance Monitoring*,,Implemented,
Personnel Management System*,,Implemented,
Building Plan Approval*,,Implemented,
e-Procurement*,,Implemented,
"Can Citizens pay their bills and Taxes at citizen
facilitation centre (CFC)?#",,Only on CFC,
Does ULB has facility to Accept Online Payments#,,No,
What is the E-mail Software being used in the ULB#,,NIC,
"Are ULB offices connected with each other through local
area network (LAN)/ wide area network (WAN)#",,Yes,
Do you have access to State Data Centre (SDC)?,#,No,
Does the ULB have their own website#,,Yes,
Implementation of 74th CAA,,All the 18 functions are transferred to ULB,
Note :* Modules of e-governance implemented in ULB,,,
"Source: * Reform Appraisal Report, JNNURM, Ministry of Urban Development, Government of India and respective ULB's website",,,
"#Information and Services Need Assessment (ISNA) Study for Urban Local Bodies, Ministry of Urban Development, Government of India, 2012",,,
Recognition,,,
List any national or international recognition such as,•,Member of ICLEI,
"awards, pilots, horizontal networks.",•,Smart Cities Council India’s Top 20 Promising Cities,
,•,Skoch Awards for Excellence –Gold 2014,
,•,Involved with ADB Municipal Reforms Project,
6. Finance & Health,,,
Financial,,,
Indicator,"City (Municipal
Corporation)",State (Urban),India (Urban)
% of households with access to banking facilities *,67.92,63.54,67.77
Financial Status#,,,
"Details of municipal income and expenditure
(Rs. Lakhs)",Income,Expenditure,
2009-10,100033.3,114246.6,
2010-11,NA,NA,
2011-12,NA,NA,
% of municipal Budget reserved for urban poor@,,,
"Source: * Tables of Houses, Household Amenities and Assets, Census of India, 2011",,,
"#Information and Services Need Assessment (ISNA) Study for Urban Local Bodies, Ministry of Urban Development, Government of India, 2012",,,
@,"Reform Appraisal Report, JNNURM, Ministry of Urban Development, Government of India",,
Environmental,,,
Swatch Bharat ranking *,,106,
Comprehensive Environmental Assessment for available,,,
cities#,,,
"Source: *Press Information Bureau , Ministry of Urban Development, Government of India, 2015",,,
"#Central Pollution Control Board, Ministry of Environment and Forests, Government of India, 2009",,,
7. Capacity: Track Record & Initiatives,,,
JNNURM Projects,Status or Comment,,
BSUP/IHSDP,"Under BSUP scheme, initially total 14 projects were sanctioned out of which 1",,
,project was cancelled (on 20.5.2014). Out of 13 projects (2 projects are of,,
,infrastructure and 11 projects are of housing) none of the projects have been,,
,completed. The total project cost was Rs.280.81 crores. The share of housing,,
,project is 71% (Rs. 200.20 crores) and share of infrastructure project is 29%,,
4,,,

India Smart City Profile,,,,
,"(Rs.80.61 crores). All 13 projects are under progress. Construction of 94% of the
dwelling unit is complete.",,,
UIG/UIDSSMT,"UIG: Total 10 projects were approved and 4 projects have been completed. Total
3 projects are under progress and 3 projects have not been initiated.",,,
Total Approved Cost of projects (Rs.Lakhs),119431.23,,,
Sectorwise details of projects,Sector,No of Projects,"Total Cost (Rs
Lakhs)","Share of sector in total
projects approved"
,Water,3,73568.11,61.6
,Drainage/SWD,1,3057,2.6
,Transport,4,40101.12,33.6
,Others,2,2705,2.3
Share of Central Assistance released (%),73.93,,,
% of work completed (Physical Progress),37,,,
Funds Utilised (%),62.59,,,
"Source: www.jnnurm.nic.in (accessed on November, 2015)",,,,
Alignment with MoUD Schemes,"Status, Comment",,,
Heritage City Development and Augmentation Yojana,,,,
(HRIDAY),,,,
AMRUT,City is covered under AMRUT Mission. The State Annual Action Plan has been,,,
,submitted.,,,
JNNURM,City was covered under UIG component of JNNURM,,,
NUIS,,,,
North Eastern Region Urban Development Programme,,,,
(NERUDP),,,,
"Source: Ministry of Urban Development, Government of India",,,,
5,,,,
