city,state,category,tier,urban_population,population_growth,working,area,density,youth,slum,tribes,literacy,population,caste,unemployment,per_capita,working,workstatus,professionals,legislators,service,machine-operators,technicians,craft,clerks,agriculture
Belgaum,Karnataka,Business & Industrial Centre,2,610350,2,N/A,99.61,4900,18.46,10.76,3.25,89.82,488157,7.83,6.5,28856,35.37,N/A,4.95,19.27,7.41,3.72,9.01,12.5,9.91,20.15
Vishakhapatnam,Andhra Pradesh,Port City,2,N/A,5.64,N/A,513.61,3365,18.62,44.61,1.21,81.79,1728128,8.49,3.95,50580,36.78,N/A,6.86,11.07,17.01,10.5,9.72,24.12,4.48,1.7
Delhi,New Delhi,Capital,1,16349831,N/A,N/A,42.74,6032,21.88,7.76,0,89.83,257803,19.24,2.03,112510,37.3,N/A,0,16.43,8.51,24.95,6.07,17.47,12.08,0
Udaipur,Rajasthan,Cultural & Tourism,3,474531,1.47,N/A,56.92,7925,19.43,14.36,5.02,89.66,451100,10.49,0.3,24135,38.57,N/A,10.01,13.48,21.45,7.54,10.22,19.21,5.31,1.79
Ahmadabad,Gujarat,Business & Industry,2,6357693,4.6,N/A,468.92,11895,19.26,4.49,1.2,88.29,5577940,10.66,0.86,48301,37.06,N/A,4.72,15.93,N/A,19.33,6.39,22.32,5.98,0.73
Coimbatore,Tamil Nadu,Business & Industrial Centre,2,2136916,1.21,N/A,105.6,9950,15.94,12.29,0.07,91.3,1050721,10.27,3.21,65781,41.3,N/A,7.1,24.35,9.83,7.69,6.27,26.25,4.6,3.83
Jabalpur,Madhya Pradesh,Business & Industrial Centre,2,1268848,1.24,N/A,152.53,6920,20.2,45.82,4.08,87.39,1055525,14.33,0,38968,32.72,N/A,3.16,17.3,N/A,16.03,6.82,18.39,2.24,0
Indore,Madhya Pradesh,Business & Industrial Centre,2,2170295,2.86,N/A,172.39,11393,19.68,30.05,2.61,85.87,1964086,15.4,2.07,52501,28.9,N/A,8.81,39.03,9.13,10.61,3.19,15.37,8.97,1.28
Chennai,Tamil Nadu,Capital,1,8653521,0.67,N/A,175,26553,17.17,28.89,0.22,90.18,4646732,16.78,2.32,57706,40.54,N/A,13.27,18.71,10.62,12.98,9.64,16.45,3.28,1.19
Kochi,Kerala,Port City,2,2119724,0.11,N/A,107.13,5620,14.52,0.86,0.37,97.36,602046,3.33,4.45,63599,41.7,N/A,12.4,15.92,14.06,7.06,9.41,14.31,8.97,3.22
Ludhiana,Punjab,Business & Industrial Centre,2,N/A,1.46,N/A,159.37,10158,19.81,15.08,0,85.77,1618879,14.32,0,51633,38.26,N/A,4.8,8.22,14.55,18.49,9.14,20.31,1.19,0.81
Bhopal,Madhya Pradesh,Capital,2,1886100,2.24,N/A,285.88,6290,21.3,26.68,2.56,83.47,1798218,13.46,1.53,47214,35.55,N/A,10.45,29.99,6.57,3.14,8.74,9.22,14.5,0.1
Kakinada,Andhra Pradesh,Port City,3,443028,0.53,N/A,57.36,5449,20.25,35.85,0.54,80.62,312538,8.7,4.94,37712,37.07,N/A,9.95,17.78,10.31,9.62,5.6,18.47,5.85,5.06
Maharashtra,Pune,Business & Industrial Centre,2,5057709,2.08,N/A,276.4,11304,18.51,22.1,1.09,89.56,3124458,13.42,3.29,N/A,35.07,N/A,19.49,20.52,12.36,11.77,5.55,12.95,7.57,0.28
Surat,Gujarat,Business & Industrial Centre,2,4591246,6.07,N/A,335.82,13304,22.02,10.46,2.95,87.89,4467797,2.36,0.29,48301,42.2,N/A,1.79,27.93,6.49,34.46,6.05,13.54,1.29,0
Guwahati,Assam,Business & Industrial Centre,2,962334,1.67,N/A,219.06,4370,18.55,2.69,4.52,91.47,957352,5.82,4.32,43278,31.75,N/A,14.63,0.85,18.81,3.13,4.51,28.29,4.05,6.22
