Name	ICT and social media based 2 way communication with citizens	Kiosks (for urban services and grievnce)	Online system of water connections	Private bus aggregator	Common card (payment and operations)	CCTV surveillance	Variable message sign boards	Water level sensors	Public Information system	Emergency response	Hydraullic information system/ flood monitoring	Fleet management system	Smart classrooms	Ticket vending machines and value machines	Give up water subsidy campaign	Bus bays	LED street lighting	Air quality monitoring sensors	Wifi- IT connectivity	Smart parking system	e-healthcare	City buses	Smart bulk metering at WTPs	Street sweeping and dustinf machines	Para-transit facility	Data analytics centre	Intelligent solar powered lights	Rainwater harvesting	Virtual hospital	Bus terminal	Automatic fare collection system (transport)	Cleaner fuels	Platform for citizen engagement and all citizen services; city dash board	Smart card for all service payments	Area based traffic control	ERP with GIS platform for corporation	Mapping of utilities	24x 7 water supply	GPS tracking and optimisation of routes of garbage trucks	Grievance redressal through web - app and phone	Centralised command and control centre	Solar power capacity implementation	GIS enabled revenue collection (land)	In-bus information system and wifi	leak identification system (SCADA/ and AMR)	Smart Bus stops	Intelligent shopping apps	Capacity bulding of staff	Water accounting at community level	Smart E- Rickshaw with charging station	Parking management (pricing)	Public transit and traffic operations and mangement centre	Traffic analysis or roads and video survielance inside bus using CCTV surviellance	One website - app and call centre	Pedestrian infra	Mini STP	Optical fibre enabled communication	RFID tags for SWM	GPS for geofencing garbage bins	Smart grid and energy management	Junction improvement	e-challans for traffic violations	Institutionalising SLB	Smart meters for electricity	Traffic mobile app	Pedestrian and bicycle activated signals	Weighing machines with RFIS/ NFC	Smart metering (water)	Transit operations system(maintenance and tracking)	Cycle sharing	NMT infrastructure	Supervision of waste processing facility	Solar panels on bus top roof	Tourism mobile app	Handheld biometric system	ICT enabled billing and recovery department	SWM operations and management centre/ system	Intelligent road asset management	Bicycle pods with PIS	Mobile app based SWM and cleaniliness monitoring	Smart paving (capture energy from movement)
Jaipur	True	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	True	False
Vizag	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False
Belgavi	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Udaipur	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False
Bhopal	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	True	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False
Coimbatore	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	True	True	True	True	True	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False
Chennai	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
Ludhiana	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Solapur	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False
Bhubaneshwar	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False
Jabalpur	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False
Kochi	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False
Ahmedabad	False	False	False	False	True	True	True	False	True	True	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	True	False	False	False	False	False	True	False	False	False	True	False	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False
Pune	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	True	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	True	False	False	True	True	False	False	False	False	False	False	True	False	True	False	False	False
Kakinada	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False
NDMC	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False
Surat	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	True	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False
Indore	False	False	False	False	True	True	True	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	True	True	True	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	True	False	True	False	False	False	False	False	True	True	False	False	True	False	False	True	False	False	False	False	True	False	False	True	False
Devangere	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False
Davanagere	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False
Belagavi	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	True	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False
Devanagere	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	True
Visakhapatnam	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Guwahati	False	False	False	False	True	True	False	True	False	False	True	False	False	False	False	True	True	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	True	False	True	True	False	False	False	False	False	False	False
