S.no Component,,Cities,Count,Sector
1,Centralised command and control centre,"Bhubaneshwar, Surat, Kochi, Ahmedabad, Jabalpur, Visakhapatnam, Davanagere, Indore, Coimbatore, Belagavi,Udaipur, Ludhiana,Bhopal",13,Governance
2,"Transit operations system(maintenance and tracking)","Bhubaneshwar, Pune, Jaipur, Ahmedabad, Indore, Solapur,
Davanagere, Indore, Kakinada, Udaipur, Guwahati",10,Transportation & Mobility
3,Smart parking system,"Bhubaneshwar, Pune, Jaipur, Davanagere, Indore, Coimbatore,
Kakinada, Udaipur, Guwahati, Chennai, Bhopal",11,Transportation & Mobility
4,Common card (payment and operations),"Bhubaneshwar, Jaipur, Surat, Ahmedabad, Indore, Udaipur, Guwahati",7,
5,Area based traffic control,"Bhubaneshwar, Pune, Ahmedabad, Davanagere, Indore, Coimbatore,",7,Transportation & Mobility
6,leak identification system (SCADA/ and AMR),"Kakinada,Pune, Ahmedabad, Solapur, NDMC, Kakinada, Udaipur",6,
7,Platform for citizen engagement and all citizen services; city dash board,"Kochi, Visakhapatnam, Solapur, Davanagere, Indore, Bhopal",6,Transportation & Mobility
8,Traffic mobile app,"Pune, Jaipur, Ahmedabad, Indore, Guwahati",5,Transportation & Mobility
9,Smart metering (water),"Pune, Kochi, Vizag, Solapur, NDMC, Coimbatore, Belagavi, Udaipur",8,Assured Water Supply
10,CCTV surveillance,"Pune, Ahmedabad, Devangere, Indore, Coimbatore, Guwahati, Bhopal",7,
11,Emergency response,"Bhubaneshwar,Surat, Ahmedabad, Visakhapatnam, Coimbatore, Udaipur",6,Governance
12,Public Information system,"Pune, Ahmedabad, Davanagere, Indore,",4,Governance
13,Public transit and traffic operations and mangement centre,"Jaipur, Surat, Ahmedabad,Devangere, Vizag, Indore, Belagavi, Udaipur",8,Transportation & Mobility
14,GPS tracking and optimisation of routes of garbage trucks,"Jaipur, Jabalpur, Indore, Kakinada",4,Transportation & Mobility
15,Wifi- IT connectivity,"Pune, Surat, Kochi, Coimbatore, Belagavi, Guwahati",6,
16,NMT infrastructure,"Devanagere, Belagavi, Udaipur, Guwahati, Chennai, Bhopal",6,Transportation & Mobility
17,LED street lighting,"Coimbatore, Guwahati, Chennai, Bhopal",4,Transportation & Mobility
18,"Traffic analysis or roads and video survielance inside bus using CCTV surviellance","Pune, Indore, Kakinada",3,Transportation & Mobility
19,Mobile app based SWM and cleaniliness monitoring,"Jaipur, Jabalpur, Indore",3,
20,Fleet management system,"Jaipur, Ahmedabad, Indore,",3,Transportation & Mobility
21,Automatic fare collection system (transport),"Bhubaneshwar, Jaipur, Surat, Ahmedabad, Indore,",5,Transportation & Mobility
22,Variable message sign boards,"Ahmedabad, Indore, Bhopal",3,
23,Optical fibre enabled communication,"Ahmedabad, Indore, Bhopal",3,Wifi
24,Pedestrian infra,"Belgavi, Udaipur, Guwahati",3,Transportation & Mobility
25,Smart bulk metering at WTPs,"Pune, Surat, Kochi",3,
26,24x 7 water supply,"Pune,NDMC, Belagavi",3,Assured Water Supply
27,"Grievance redressal through web, app and phone","Pune, Vizag, Kakinada, Chennai, Bhopal",5,Governance
28,SWM operations and management centre/ system,"Jaipur, Jabalpur, Indore, Belagavi",4,
29,Smart card for all service payments,"Surat, Ahmedabad, Kochi, Indore,",4,Governance
30,Smart Bus stops,"Pune,Jaipur, Devanagere, Belagavi",4,Transportation & Mobility
31,Smart meters for electricity,"NDMC, Udaipur",2,Power Supply
32,Solar power capacity implementation,"NDMC, Belagavi, Guwahati",3,Power Supply
33,e-healthcare,"Vizag, NDMC, Coimbatore, Kakinada",4,Health
34,Air quality monitoring sensors,"NDMC , Coimbatore, Bhopal",3,Reduced Pollution
35,City buses,"Bhubneshwar, Pune, Devangere, Udaipur, Guwahati",5,Transportation & Mobility
36,Hydraullic information system/ flood monitoring,"Guwahati, Chennai",2,
